Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase,Combined_Text,Topic
emnlp2022,Perturbation Augmentation for Fairer NLP,Yes.,4,unwanted often harmful social bias become ever salient nlp research affect dataset lastly discuss outstanding question good evaluate unfairness,2022,December,"Keyphrase: ""Unwanted social bias""",unwanted often harmful social bias become ever salient nlp research affect dataset lastly discuss outstanding question good evaluate unfairness keyphrase unwanted social bias,0
emnlp2022,"The better your Syntax, the better your Semantics? Probing Pretrained Language Models for the English Comparative Correlative",Yes.,5,show three investigate plm able recognise structure cc fail use meaning humanlike performance plm many nlp allege indicate plm still suffer substantial shortcoming central domain linguistic,2022,December,"Keyphrase: ""Limited linguistic understanding""",show three investigate plm able recognise structure cc fail use mean humanlike performance plm many nlp allege indicate plm still suffer substantial shortcoming central domain linguistic keyphrase limit linguistic understanding,4
emnlp2022,LittleBird: Efficient Faster & Longer Transformer for Question Answering,Yes.,5,limitation deal long due attention mechanism,2022,December,"Keyphrase: ""Limited handling of long dependencies""",limitation deal long due attention mechanism keyphrase limit handling long dependency,3
emnlp2022,Mutual Information Alleviates Hallucinations in Abstractive Summarization,Yes.,5,still exhibit tendency hallucinate ie content support source document,2022,December,"Keyphrase: ""Content hallucination""",still exhibit tendency hallucinate ie content support source document keyphrase content hallucination,2
emnlp2022,A Systematic Investigation of Commonsense Knowledge in Large Language Models,Yes.,5,finding highlight limitation pretraine lm acquire commonsense without taskspecific supervision furthermore use fewshot evaluation insufficient achieve humanlevel commonsense performance,2022,December,"Keyphrase: ""Limited acquisition of commonsense""",find highlight limitation pretraine lm acquire commonsense without taskspecific supervision furthermore use fewshot evaluation insufficient achieve humanlevel commonsense performance keyphrase limited acquisition commonsense,4
emnlp2022,SEAL: Interactive Tool for Systematic Error Analysis and Labeling,Yes.,5,however many time systematically fail tail rare group obvious aggregate evaluation,2022,December,"Keyphrase: ""Failure to address rare group tail issues""",however many time systematically fail tail rare group obvious aggregate evaluation keyphrase failure address rare group tail issue,5
acl2022,Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4,humanlike bias undesired social stereotype exist pretrained give wide adoption realworld application mitigate bias become emerge important,2022,May,"Keyphrase: ""Humanlike bias and social stereotypes""",humanlike bias undesire social stereotype exist pretraine give wide adoption realworld application mitigate bias become emerge important keyphrase humanlike bias social stereotype,0
acl2022,Are Prompt-based Models Clueless?,Yes.,5,taskspecific head require lot training make susceptible learn exploit datasetspecific superficial cue generalize dataset analyze fewshot promptbase mnli snli han copa reveal promptbase also exploit superficial cue well instance superficial cue,2022,May,"Keyphrase: ""Overreliance on superficial cues""",taskspecific head require lot training make susceptible learn exploit datasetspecific superficial cue generalize dataset analyze fewshot promptbase mnli snli han copa reveal promptbase also exploit superficial cue well instance superficial cue keyphrase overreliance superficial cue,4
acl2022,Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,Yes.,4,investigate bias transfer hypothesis,2022,May,"Keyphrase: ""Bias transfer""",investigate bias transfer hypothesis keyphrase bias transfer,0
acl2022,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,Yes.,5,pretraine generative like gpt often suffer hallucinate nonexistent incorrect content undermine potential merit real application,2022,May,"Keyphrase: ""Hallucination of nonexistent content""",pretraine generative like gpt often suffer hallucinate nonexistent incorrect content undermine potential merit real application keyphrase hallucination nonexistent content,2
acl2022,Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,Yes.,4,error machine generation become ever subtle hard spot ten error category scarecrowÃ¢such redundancy commonsense error incoherence,2022,May,"Keyphrase: ""Subtle errors and incoherence""",error machine generation become ever subtle hard spot ten error category scarecrowãsuch redundancy commonsense error incoherence keyphrase subtle error incoherence,6
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,5,exist promptbase technique fail semantic distinction wordincontext wic dataset specifically none exist fewshot approach include incontext learning gpt attain performance meaningfully different random baseline,2022,May,"Keyphrase: ""Weak semantic understanding""",exist promptbase technique fail semantic distinction wordincontext wic dataset specifically none exist fewshot approach include incontext learning gpt attain performance meaningfully different random baseline keyphrase weak semantic understanding,4
acl2022,Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,Yes.,5,however discover single hidden state produce probability distribution regardless lm size training size single hidden state embed close embedding possible next word simultaneously interfere word embedding,2022,May,"Keyphrase: ""Interference in word embeddings""",however discover single hidden state produce probability distribution regardless lm size training size single hidden state embed close embed possible next word simultaneously interfere word embed keyphrase interference word embedding,5
acl2022,Coherence boosting: When your pretrained language model is not paying enough attention,Yes.,5,demonstrate insufficiently learn effect distant word nexttoken prediction,2022,May,"Keyphrase: ""Limited learning of distant word effects""",demonstrate insufficiently learn effect distant word nexttoken prediction keyphrase limit learning distant word effect,5
acl2022,Kronecker Decomposition for GPT Compression,Yes.,5,despite superior performance gpt overparameterize nature gpt prohibitive deploy device limited computational power memory,2022,May,"Keyphrase: ""Overparameterization and computational constraints""",despite superior performance gpt overparameterize nature gpt prohibitive deploy device limit computational power memory keyphrase overparameterization computational constraint,3
naacl2022,Provably Confidential Language Modelling,Yes.,5,show memorize privacy information social security number training,2022,July,"Keyphrase: ""Privacy information memorization""",show memorize privacy information social security number training keyphrase privacy information memorization,0
naacl2022,"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5,find certain extent sensitive interaction investigate challenge presence multiple nps behavior systematic suggest even scale gpt fully acquire basic entity track ability,2022,July,"Keyphrase: ""Limited entity tracking ability""",find certain extent sensitive interaction investigate challenge presence multiple nps behavior systematic suggest even scale gpt fully acquire basic entity track ability keyphrase limited entity tracking ability,1
naacl2022,Measuring Fairness with Biased Rulers: A Comparative Study on Bias Metrics for Pre-trained Language Models,Yes.,4,indicate fairness bias evaluation remain challenge contextualize among reason choice remain subjective,2022,July,"Keyphrase: ""Subjective fairness evaluation""",indicate fairness bias evaluation remain challenge contextualize among reason choice remain subjective keyphrase subjective fairness evaluation,0
naacl2022,Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,Yes.,5,current evaluation show significant shortcoming fail effectively map aspect understanding remain challenge exist experiment provide insight limitation exist benchmark dataset stateoftheart,2022,July,"Keyphrase: ""Limited aspect understanding""",current evaluation show significant shortcoming fail effectively map aspect understanding remain challenge exist experiment provide insight limitation exist benchmark dataset stateoftheart keyphrase limited aspect understand,4
naacl2022,Exposing the Limits of Video-Text Models through Contrast Sets,Yes.,5,see performance suffer across erase gap recent clipbased vs early,2022,July,"Keyphrase: ""Performance degradation with evolving data""",see performance suffer across erase gap recent clipbase vs early keyphrase performance degradation evolve,1
naacl2022,You DonÃ¢â‚¬â„¢t Know My Favorite Color: Preventing Dialogue Representations from Revealing SpeakersÃ¢â‚¬â„¢ Private Personas,Yes.,4,privacy concern arise recently,2022,July,"Keyphrase: ""Privacy concerns""",privacy concern arise recently keyphrase privacy concern,0
naacl2022,Methods for Estimating and Improving Robustness of Language Models,Yes.,5,suffer notorious flaw relate preference shallow textual relation full semantic complexity problem weak ability generalise outside training domain,2022,July,"Keyphrase: ""Weak generalization outside training domain""",suffer notorious flaw relate preference shallow textual relation full semantic complexity problem weak ability generalise outside training domain keyphrase weak generalization outside training domain,1
naacl2022,Exploring the Effect of Dialect Mismatched Language Models in Telugu Automatic Speech Recognition,Yes.,5,show dialect variation surface form different lexicon grammar occasionally semantic significantly degrade performance lm mismatch condition,2022,July,"Keyphrase: ""Dialect variation degradation""",show dialect variation surface form different lexicon grammar occasionally semantic significantly degrade performance lm mismatch condition keyphrase dialect variation degradation,5
acl2023,MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,Yes.,4,despite advance pretraine neural prone toxic bring security risk application,2023,July,"Keyphrase: ""Toxicity and security risks""",despite advance pretraine neural prone toxic bring security risk application keyphrase toxicity security risk,0
acl2023,ThinkSum: Probabilistic reasoning over sets using large language models,Yes.,5,recent study show even advanced fail scenario require reasoning multiple object fact make sequence logical deduction,2023,July,"Keyphrase: ""Limited reasoning capabilities""",recent study show even advanced fail scenario require reason multiple object fact make sequence logical deduction keyphrase limited reasoning capability,1
acl2023,Dynamic and Efficient Inference for Text Generation via BERT Family,Yes.,5,suffer inefficient inference computation memory due largescale parameter universal autoregressive decode paradigm,2023,July,"Keyphrase: ""Inefficient inference and computation""",suffer inefficient inference computation memory due largescale parameter universal autoregressive decode paradigm keyphrase inefficient inference computation,3
acl2023,Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,Yes.,4,exist bias mitigation require socialgroupspecific word pairs eg Ã¢Å“manÃ¢ Ã¢ Ã¢Å“womanÃ¢ social attribute eg gender restrict bias mitigation one specify social attribute constraint render impractical costly mitigate bias,2023,July,"Keyphrase: ""Limited bias mitigation options""",exist bias mitigation require socialgroupspecific word pair eg ãåmanã ã ãåwomanã social attribute eg gender restrict bias mitigation one specify social attribute constraint render impractical costly mitigate bias keyphrase limited bias mitigation option,0
acl2023,"On Second Thought, LetÃ¢â‚¬â„¢s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",Yes.,5,find zeroshot cot reasoning sensitive domain significantly increase modelÃ¢s likelihood produce harmful undesirable work suggest zeroshot cot use caution socially important especially marginalize group sensitive topic involve,2023,July,"Keyphrase: ""Harmful biases in sensitive topics""",find zeroshot cot reasoning sensitive domain significantly increase modelãs likelihood produce harmful undesirable work suggest zeroshot cot use caution socially important especially marginalize group sensitive topic involve keyphrase harmful bias sensitive topic,0
acl2023,SCOTT: Self-Consistent Chain-of-Thought Distillation,Yes.,4,even concern little guarantee rationale consistent lmÃ¢s prediction faithfully justify decision,2023,July,"Keyphrase: ""Lack of rationale consistency""",even concern little guarantee rationale consistent lmãs prediction faithfully justify decision keyphrase lack rationale consistency,5
acl2023,Evaluating Open-Domain Question Answering in the Era of Large Language Models,Yes.,5,automate struggle detect hallucination thus unable evaluate,2023,July,"Keyphrase: ""Difficulty in detecting hallucination""",automate struggle detect hallucination thus unable evaluate keyphrase difficulty detect hallucination,2
acl2023,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,Yes.,5,one fatal disadvantage lack factual correctness unfactual text lead low performance also degrade trust validity application,2023,July,"Keyphrase: ""Factual correctness deficiency""",one fatal disadvantage lack factual correctness unfactual text lead low performance also degrade trust validity application keyphrase factual correctness deficiency,6
acl2023,Language model acceptability judgements are not always robust to context,Yes.,5,find judgement generally robust place randomly sample linguistic context unstable contexts match test stimulus syntactic structure sensitivity highly specific syntactic feature context explain modelsÃ¢ implicit incontext learn ability,2023,July,"Keyphrase: ""Limited syntactic structure sensitivity""",find judgement generally robust place randomly sample linguistic context unstable context match test stimulus syntactic structure sensitivity highly specific syntactic feature context explain modelsã implicit incontext learn ability keyphrase limited syntactic structure sensitivity,5
acl2023,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Yes.,5,indicate stateoftheart table qa eg gpt fewshot learning falter adversarial set,2023,July,"Keyphrase: ""Falter in few-shot learning""",indicate stateoftheart table qa eg gpt fewshot learning falter adversarial set keyphrase falter fewshot learning,4
acl2023,Learning Non-linguistic Skills without Sacrificing Linguistic Proficiency,Yes.,5,nonlinguistic skill injection typically come cost,2023,July,"Keyphrase: ""Cost of nonlinguistic skill injection""",nonlinguistic skill injection typically come cost keyphrase cost nonlinguistic skill injection,4
acl2023,Parallel Context Windows for Large Language Models,Yes.,5,apply process long text limit context window,2023,July,"Keyphrase: ""Limited context window""",apply process long text limit context window keyphrase limited context window,3
acl2023,On Ã¢â‚¬Å“Scientific DebtÃ¢â‚¬Â in NLP: A Case for More Rigour in Language Model Pre-Training Research,Yes.,5,current plm research practice often conflate different possible source improvement without conduct proper ablation study principled comparison different comparable condition practice leave illequippe understand pretraine approach use circumstance ii impede reproducibility credit assignment iii render difficult understand,2023,July,Keyphrase: Lack of principled comparison and reproducibility,current plm research practice often conflate different possible source improvement without conduct proper ablation study principle comparison different comparable condition practice leave illequippe understand pretraine approach use circumstance ii impede reproducibility credit assignment iii render difficult understand keyphrase lack principled comparison reproducibility,4
acl2023,WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,Yes.,5,apply benchmark several popular find offtheshelf generally exhibit considerable antiqueer bias,2023,July,"Keyphrase: ""Antiqueer bias""",apply benchmark several popular find offtheshelf generally exhibit considerable antiqueer bias keyphrase antiqueer bias,0
acl2023,Say What You Mean! Large Language Models Speak Too Positively about Negative Commonsense Knowledge,Yes.,5,experiment reveal frequently fail valid sentence ground negative commonsense statistical shortcut negation report bias modeling pretraine cause conflict,2023,July,"Keyphrase: ""Failure in handling negation and bias""",experiment reveal frequently fail valid sentence ground negative commonsense statistical shortcut negation report bias pretraine cause conflict keyphrase failure handle negation bias,5
acl2023,Contrastive Decoding: Open-ended Text Generation as Optimization,Yes.,5,maximum probability poor decode objective openende generation produce short repetitive text hand sampling often produce incoherent text drift original topic,2023,July,"Keyphrase: ""Incoherent text generation""",maximum probability poor decode objective openende generation produce short repetitive text hand sampling often produce incoherent text drift original topic keyphrase incoherent text generation,6
acl2023,CHBias: Bias Evaluation and Mitigation of Chinese Conversational Language Models,Yes.,4,pretraine conversational agent expose safety issue exhibit range stereotypical human bias gender bias experimental show chinese pretraine potentially risky text contain social bias,2023,July,"Keyphrase: ""Safety and societal biases""",pretraine conversational agent expose safety issue exhibit range stereotypical human bias gender bias experimental show chinese pretraine potentially risky text contain social bias keyphrase safety societal bias,0
acl2023,"RARR: Researching and Revising What Language Models Say, Using Language Models",Yes.,5,however sometimes unsupported misleading content user easily determine whether trustworthy lm builtin mechanism attribution external evidence,2023,July,"Keyphrase: ""Lack of transparency and trustworthiness""",however sometimes unsupported misleading content user easily determine whether trustworthy lm builtin mechanism attribution external evidence keyphrase lack transparency trustworthiness,6
acl2023,Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,Yes.,4,societal bias present pretraine critical issue show propagate bias countless downstream application render unfair towards specific group people,2023,July,"Keyphrase: ""Propagating societal bias""",societal bias present pretraine critical issue show propagate bias countless downstream application render unfair towards specific group people keyphrase propagate societal bias,0
acl2023,Controlling the Extraction of Memorized Data from Large Language Models via Prompt-Tuning,Yes.,5,know memorize significant portion training part memorized content show extractable simply query pose privacy risk,2023,July,"Keyphrase: ""Privacy risk due to memorization""",know memorize significant portion training part memorize content show extractable simply query pose privacy risk keyphrase privacy risk due memorization,0
acl2023,A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification,Yes.,5,benchmark often adequately address challenge pose realworld hierarchical classification   observe prone failure case,2023,July,"Keyphrase: ""Failure in real-world hierarchical classification""",benchmark often adequately address challenge pose realworld hierarchical classification observe prone failure case keyphrase failure realworld hierarchical classification,4
acl2023,Making the Most Out of the Limited Context Length: Predictive Power Varies with Clinical Note Type and Note Section,Yes.,5,context length predictor limit part clinical note choose,2023,July,"Keyphrase: ""Limited context understanding""",context length predictor limit part clinical note choose keyphrase limited context understanding,3
acl2023,MathPrompter: Mathematical Reasoning using Large Language Models,Yes.,5,limited performance solve arithmetic reasoning often provide incorrect good aware indicate level confidence response fuel trust deficit impede adoption,2023,July,"Keyphrase: ""Limited arithmetic reasoning performance""",limited performance solve arithmetic reasoning often provide incorrect good aware indicate level confidence response fuel trust deficit impede adoption keyphrase limit arithmetic reasoning performance,1
acl2023,KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications,Yes.,5,learn natural text generation ability also social bias different demographic group realworld pose critical risk deploy llmbase application limitation require localize social bias dataset ensure safe effective deployment,2023,July,"Keyphrase: ""Social bias and deployment risks""",learn natural text generation ability also social bias different demographic group realworld pose critical risk deploy llmbase application limitation require localize social bias dataset ensure safe effective deployment keyphrase social bias deployment risk,0
acl2023,"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world",Yes.,4,responsible ai issue fairness bias toxicity linguistic diversity evaluation context mmlm specifically focus issue nonenglish lowresource,2023,July,"Keyphrase: ""Limited focus on non-English and low-resource languages""",responsible ai issue fairness bias toxicity linguistic diversity evaluation context mmlm specifically focus issue nonenglish lowresource keyphrase limited focus nonenglish lowresource,0
eacl2023,Nationality Bias in Text Generation,Yes.,5,paper examine text generation gpt accentuate preexist societal bias countrybased demonym gpt demonstrate significant bias country low internet user adversarial triggering effectively reduce,2023,May,"Keyphrase: ""Amplification of societal biases""",paper examine text generation gpt accentuate preexist societal bias countrybase demonym gpt demonstrate significant bias country low internet user adversarial triggering effectively reduce keyphrase amplification societal bias,0
eacl2023,"Ã¢â‚¬Å“John is 50 years old, can his son be 65?Ã¢â‚¬Â Evaluating NLP ModelsÃ¢â‚¬â„¢ Understanding of Feasibility",Yes.,5,recent work also find notable failure often failure example involve complex reasoning ability show even stateoftheart gpt gpt struggle,2023,May,"Keyphrase: ""Failure in complex reasoning""",recent work also find notable failure often failure example involve complex reasoning ability show even stateoftheart gpt gpt struggle keyphrase failure complex reasoning,1
eacl2023,MiniALBERT: Model Distillation via Parameter-Efficient Recursive Transformers,Yes.,5,usability lm constrain computational time complexity along increase size issue refer overparameterisation,2023,May,"Keyphrase: ""Computational time complexity constraints""",usability lm constrain computational time complexity along increase size issue refer overparameterisation keyphrase computational time complexity constraint,3
eacl2023,SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models,Yes.,4,common limitation diagnostic test detect social bias nlp may detect stereotypic association prespecifie designer test also test sodapop debiase show limitation,2023,May,"Keyphrase: ""Limited ability to detect social biases""",common limitation diagnostic test detect social bias nlp may detect stereotypic association prespecifie designer test also test sodapop debiase show limitation keyphrase limited ability detect social bias,0
eacl2023,Opportunities and Challenges in Neural Dialog Tutoring,Yes.,5,find although current approach tutoring constrained learn scenario number concept teach possible teacher strategy small poorly less constrained scenario human quality evaluation show groundtruth annotation exhibit low performance term equitable tutoring measure learn opportunity,2023,May,"Keyphrase: ""Limited concept teaching capability""",find although current approach tutoring constrain learn scenario number concept teach possible teacher strategy small poorly less constrained scenario human quality evaluation show groundtruth annotation exhibit low performance term equitable tutoring measure learn opportunity keyphrase limited concept teaching capability,4
eacl2023,Assessing Out-of-Domain Language Model Performance from Few Examples,Yes.,5,pretraine exhibit impressive generalization capability still behave unpredictably certain domain shift give targetdomain example set similar training performance understand ood test,2023,May,"Keyphrase: ""Unpredictable domain shifts""",pretraine exhibit impressive generalization capability still behave unpredictably certain domain shift give targetdomain example set similar training performance understand ood test keyphrase unpredictable domain shift,1
eacl2023,Towards preserving word order importance through Forced Invalidation,Yes.,5,however recent finding reveal pretraine insensitive word order performance nlu remain unchanged even randomly permute word sentence crucial syntactic information destroy,2023,May,"Keyphrase: ""Insensitive to word order""",however recent find reveal pretraine insensitive word order performance nlu remain unchanged even randomly permute word sentence crucial syntactic information destroy keyphrase insensitive word order,5
eacl2023,Adding Instructions during Pretraining: Effective way of Controlling Toxicity in Language Models,Yes.,4,however safely deploy real world application challenge toxic content,2023,May,"Keyphrase: ""Toxic content challenges""",however safely deploy real world application challenge toxic content keyphrase toxic content challenge,0
eacl2023,When Do Pre-Training Biases Propagate to Downstream Tasks? A Case Study in Text Summarization,Yes.,5,subject sociocultural bias previously identify use intrinsic evaluation however intrinsic bias pretraine lm representation propagate downstream finetune nlp like summarization well understand show bias manifest hallucination summarization lead factually incorrect summary,2023,May,"Keyphrase: ""Propagation of sociocultural bias""",subject sociocultural bias previously identify use intrinsic evaluation however intrinsic bias pretraine lm representation propagate downstream finetune nlp like summarization well understand show bias manifest hallucination summarization lead factually incorrect summary keyphrase propagation sociocultural bias,0
eacl2023,Language Generation Models Can Cause Harm: So What Can We Do About It? An Actionable Survey,Yes.,4,go beyond enumerate risk harm work provide survey practical address potential threat societal harm generation,2023,May,"Keyphrase: ""Limited consideration of societal harm""",go beyond enumerate risk harm work provide survey practical address potential threat societal harm generation keyphrase limited consideration societal harm,0
emnlp2023,FISH: A Financial Interactive System for Signal Highlighting,Yes.,5,chatgptÃ¢s decision sensitive order label prompt chatgpt clearly high chance select label early position,2023,December,"Keyphrase: ""Decision sensitivity to label prompts""",chatgptãs decision sensitive order label prompt chatgpt clearly high chance select label early position keyphrase decision sensitivity label prompt,1
emnlp2023,A Unified Framework for Emotion Identification and Generation in Dialogues,Yes.,5,experiment dataset show recent eg instructgpt struggle subquestion even able main question correctly find particularly poorly subquestion write incorrect option,2023,December,"Keyphrase: ""Struggles with subquestions""",experiment dataset show recent eg instructgpt struggle subquestion even able main question correctly find particularly poorly subquestion write incorrect option keyphrase struggle subquestion,5
emnlp2023,Addressing Domain Changes in Task-oriented Conversational Agents through Dialogue Adaptation,Yes.,5,reveal limitation llmbase agentsÃ¢ plan optimization due systematic failure manage longhorizon contexts hallucination state,2023,December,"Keyphrase: ""Struggles with long-horizon context""",reveal limitation llmbase agentsã plan optimization due systematic failure manage longhorizon contexts hallucination state keyphrase struggle longhorizon context,3
emnlp2023,CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,5,find poorly especially word tokenize unfavorably subword tokenization,2023,December,**Keyphrase:** Suboptimal tokenization efficiency,find poorly especially word tokenize unfavorably subword tokenization keyphrase suboptimal tokenization efficiency,5
emnlp2023,Towards LLM-driven Dialogue State Tracking,Yes.,5,despite impressive performance chatgpt significant limitation include closedsource nature request restriction raise privacy concern lack local deployment capability,2023,December,"Keyphrase: ""Closed-source and privacy concerns""",despite impressive performance chatgpt significant limitation include closedsource nature request restriction raise privacy concern lack local deployment capability keyphrase closedsource privacy concern,3
emnlp2023,WeÃ¢â‚¬â„¢re Afraid Language Models ArenÃ¢â‚¬â„¢t Modeling Ambiguity,Yes.,5,find remain extremely challenging include gpt whose disambiguation consider correct   time crowdworker evaluation compare   disambiguation dataset,2023,December,"Keyphrase: ""Challenges in disambiguation accuracy""",find remain extremely challenging include gpt whose disambiguation consider correct time crowdworker evaluation compare disambiguation dataset keyphrase challenge disambiguation accuracy,1
emnlp2023,Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,Yes.,5,however prone hallucinate untruthful nonsensical fail meet user expectation many realworld application,2023,December,"Keyphrase: ""Untruthful hallucinations""",however prone hallucinate untruthful nonsensical fail meet user expectation many realworld application keyphrase untruthful hallucination,2
emnlp2023,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,Yes.,5,however exist code two main limitation first often adopt specific architecture encoderonly decoderonly rely unify encoderdecoder network different downstream lack flexibility operate optimal architecture specific secondly often employ limited set pretraine objective might relevant,2023,December,"Keyphrase: ""Limited architecture flexibility and pretraining objectives""",however exist code two main limitation first often adopt specific architecture encoderonly decoderonly rely unify encoderdecod network different downstream lack flexibility operate optimal architecture specific secondly often employ limit set pretraine objective might relevant keyphrase limited architecture flexibility pretraine objective,3
emnlp2023,Unveiling the Implicit Toxicity in Large Language Models,Yes.,5,show diverse implicit toxic exceptionally difficult detect via simply zeroshot prompting finding suggest pose significant threat undetectable implicit toxic,2023,December,"Keyphrase: ""Difficulty in detecting implicit toxic content""",show diverse implicit toxic exceptionally difficult detect via simply zeroshot prompt finding suggest pose significant threat undetectable implicit toxic keyphrase difficulty detect implicit toxic content,0
emnlp2023,ALCUNA: Large Language Models Meet New Knowledge,Yes.,5,benchmark several reveal performance face new satisfactory particularly reasoning new internal,2023,December,"Keyphrase: ""Limited reasoning capabilities""",benchmark several reveal performance face new satisfactory particularly reason new internal keyphrase limited reasoning capability,1
emnlp2023,Robust Prompt Optimization for Large Language Models Against Distribution Shifts,Yes.,5,reveal prompt optimization technique vulnerable distribution shift subpopulation shift common realworld scenario customer review analysis,2023,December,"Keyphrase: ""Vulnerability to distribution shift""",reveal prompt optimization technique vulnerable distribution shift subpopulation shift common realworld scenario customer review analysis keyphrase vulnerability distribution shift,0
emnlp2023,Knowledge-Augmented Language Model Verification,Yes.,5,yet lm often factually incorrect response give query since may inaccurate incomplete outdated may fail retrieve relevant give query may faithfully reflect retrieve text,2023,December,"Keyphrase: ""Poor factual accuracy""",yet lm often factually incorrect response give query since may inaccurate incomplete outdated may fail retrieve relevant give query may faithfully reflect retrieve text keyphrase poor factual accuracy,6
