Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Cluster
naacl2022,Exploring the Effect of Dialect Mismatched Language Models in Telugu Automatic Speech Recognition,Yes.,5,we show that dialect variations that surface in the form of a different lexicon grammar and occasionally semantics can significantly degrade the performance of the lm under mismatched conditions,2022,July,6
acl2023,MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,Yes.,4,despite advances in large pretrained neural language models they are prone to generating toxic language which brings security risks to their applications,2023,July,7
acl2023,Knowledge of cultural moral norms in large language models,Yes.,4,we find that pretrained english language models predict empirical moral norms across countries worse than the english moral norms reported previously however finetuning language models on the survey data improves inference across countries at the expense of a less accurate estimate of the english moral norms,2023,July,6
acl2023,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,Yes.,5,the robustness of these models has also been called into question recent works have shown that models can rely on shallow patterns in the problem description when generating a solution and our analysis shows that robustness does not appear to continuously improve as a function of size,2023,July,4
acl2023,ALERT: Adapt Language Models to Reasoning Tasks,Yes.,5,it is unclear whether these models are applying reasoning skills they have learnt during pretraining or if they are simply memorizing their training corpus at finer granularity and we also find that when language models are finetuned they tend to overfit to the prompt template which hurts the robustness of models causing generalization,2023,July,4
acl2023,ThinkSum: Probabilistic reasoning over sets using large language models,Yes.,5,recent studies show that even the more advanced llms fail in scenarios that require reasoning over multiple objects or facts and making sequences of logical deductions,2023,July,2
acl2023,Do language models have coherent mental models of everyday things?,Yes.,5,we observe that stateoftheart pretrained language models lms like gpt and macaw have fragments of knowledge about these everyday things but do not have fully coherent parts mental models  accurate  conditional constraint violation,2023,July,6
acl2023,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,Yes.,5,despite the success of zeroshotcot it still suffers from three pitfalls,2023,July,1
acl2023,Dynamic and Efficient Inference for Text Generation via BERT Family,Yes.,5,they suffer from inefficient inference on computation and memory due to their largescale parameters and the universal autoregressive decoding paradigm,2023,July,5
acl2023,Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,Yes.,4,existing bias mitigation methods require socialgroupspecific word pairs eg âœmanâ â âœwomanâ for each social attribute eg gender restricting the bias mitigation to only one specified social attribute further this constraint renders such methods impractical and costly for mitigating bias in,2023,July,7
acl2023,Explanation-based Finetuning Makes Models More Robust to Spurious Cues,Yes.,5,large language models llms are so powerful that they sometimes learn correlations between labels and features that are irrelevant to the task leading to poor generalization on outofdistribution data,2023,July,5
acl2023,"On Second Thought, Letâ€™s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",Yes.,5,we find that zeroshot cot reasoning in sensitive domains significantly increases a modelâs likelihood to produce harmful or undesirable output and our work suggests that zeroshot cot should be used with caution on socially important tasks especially when marginalized groups or sensitive topics are involved,2023,July,7
acl2023,MISGENDERED: Limits of Large Language Models in Understanding Pronouns,Yes.,5,when prompted outofthebox language models perform poorly at correctly predicting neopronouns averaging  accuracy and genderneutral pronouns averaging  accuracy this inability to generalize results from a lack of representation of nonbinary pronouns in training data and memorized associations,2023,July,4
acl2023,SCOTT: Self-Consistent Chain-of-Thought Distillation,Yes.,4,even more concerning there is little guarantee that the generated rationales are consistent with lmâs predictions or faithfully justify the decisions,2023,July,2
acl2023,Evaluating Open-Domain Question Answering in the Era of Large Language Models,Yes.,5,the automated models struggle in detecting hallucinations in llm answers and are thus unable to evaluate llms,2023,July,3
acl2023,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,Yes.,5,one of its most fatal disadvantages is the lack of factual correctness generating unfactual texts not only leads to lower performances but also degrades the trust and validity of their applications,2023,July,1
acl2023,Language model acceptability judgements are not always robust to context,Yes.,5,we find that model judgements are generally robust when placed in randomly sampled linguistic contexts but are unstable when contexts match the test stimuli in syntactic structure and this sensitivity to highly specific syntactic features of the context can only be explained by the modelsâ implicit incontext learning abilities,2023,July,6
acl2023,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Yes.,5,our results indicate that both stateoftheart table qa models and large language models eg gpt with fewshot learning falter in these adversarial sets,2023,July,6
acl2023,Learning Non-linguistic Skills without Sacrificing Linguistic Proficiency,Yes.,5,nonlinguistic skill injection typically comes at a cost for llms,2023,July,1
acl2023,Parallel Context Windows for Large Language Models,Yes.,5,when applied to processing long text large language models llms are limited by their context window,2023,July,5
acl2023,Contrastive Learning with Adversarial Examples for Alleviating Pathology of Language Model,Yes.,5,however these models also suffer from the pathology of overconfidence in the outofdistribution examples potentially making the model difficult to interpret and making the interpretation methods fail to provide faithful attributions,2023,July,4
acl2023,SQuARe: A Large-Scale Dataset of Sensitive Questions and Acceptable Responses Created through Human-Machine Collaboration,Yes.,4,the potential social harms that large language models pose such as generating offensive content and reinforcing biases are steeply rising,2023,July,7
acl2023,Are Machine Rationales (Not) Useful to Humans? Measuring and Improving Human Utility of Free-text Rationales,Yes.,4,we observe that human utility of existing rationales is far from satisfactory and expensive to estimate with human studies existing metrics like task performance of the lm generating the rationales or similarity between generated and gold rationales are not good indicators of their human utility,2023,July,2
acl2023,RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs,Yes.,4,despite their unprecedented success even the largest language models make mistakes and this approach does not apply to blackbox or limited access models such as chatgpt as they cannot be finetuned moreover in the era of large generalpurpose language agents finetuning,2023,July,5
acl2023,Targeted Data Generation: Finding and Fixing Model Weaknesses,Yes.,4,stateoftheart nlp models often fail systematically on specific subgroups of data resulting in unfair outcomes and eroding user trust,2023,July,7
acl2023,On â€œScientific Debtâ€ in NLP: A Case for More Rigour in Language Model Pre-Training Research,Yes.,5,current plm research practices often conflate different possible sources of model improvement without conducting proper ablation studies and principled comparisons between different models under comparable conditions these practices i leave us illequipped to understand which pretraining approaches should be used under what circumstances ii impede reproducibility and credit assignment and iii render it difficult to understand,2023,July,4
acl2023,WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,Yes.,5,we apply our benchmark to several popular llms and find that offtheshelf models generally do exhibit considerable antiqueer bias,2023,July,1
acl2023,When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories,Yes.,5,despite their impressive performance on diverse tasks large language models lms still struggle with tasks requiring rich world knowledge implying the difficulty of encoding a wealth of world knowledge in their parameters and we find that lms struggle with less popular factual knowledge and that retrieval augmentation helps significantly in these cases and scaling on the other hand mainly improves memorization of,2023,July,5
acl2023,Say What You Mean! Large Language Models Speak Too Positively about Negative Commonsense Knowledge,Yes.,5,our experiments reveal that llms frequently fail to generate valid sentences grounded in negative commonsense knowledge and statistical shortcuts and negation reporting bias from language modeling pretraining cause this conflict,2023,July,6
acl2023,How Do In-Context Examples Affect Compositional Generalization?,Yes.,5,we find that the compositional generalization performance can be easily affected by the selection of incontext examples and two strong limitations are observed,2023,July,6
acl2023,Contrastive Decoding: Open-ended Text Generation as Optimization,Yes.,5,maximum probability is a poor decoding objective for openended generation because it produces short and repetitive text on the other hand sampling can often produce incoherent text that drifts from the original topics,2023,July,4
acl2023,CHBias: Bias Evaluation and Mitigation of Chinese Conversational Language Models,Yes.,4,pretrained conversational agents have been exposed to safety issues exhibiting a range of stereotypical human biases such as gender bias and experimental results show that these chinese pretrained models are potentially risky for generating texts that contain social biases,2023,July,7
acl2023,Mitigating Label Biases for In-context Learning,Yes.,5,domainlabel bias restricts llms to randomlevel performance on many tasks regardless of the choice of incontext examples,2023,July,6
acl2023,"RARR: Researching and Revising What Language Models Say, Using Language Models",Yes.,5,however they sometimes generate unsupported or misleading content a user cannot easily determine whether their outputs are trustworthy or not because most lms do not have any builtin mechanism for attribution to external evidence,2023,July,1
acl2023,Ellipsis-Dependent Reasoning: a New Challenge for Large Language Models,Yes.,5,test results show that the best models perform well on nonelliptical examples but struggle with all but the simplest ellipsis structures,2023,July,4
acl2023,Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,Yes.,4,societal biases present in pretrained large language models are a critical issue as these models have been shown to propagate biases in countless downstream applications rendering them unfair towards specific groups of people,2023,July,7
acl2023,Probing Physical Reasoning with Counter-Commonsense Context,Yes.,5,the results show that while large language models can use prepositions such as in and into in the provided context to infer size relationships they fail to use verbs and thus make incorrect judgments led by their prior physical commonsense,2023,July,6
acl2023,"Summarizing, Simplifying, and Synthesizing Medical Evidence using GPT-3 (with Varying Success)",Yes.,5,we find that while gpt is able to summarize and simplify single biomedical articles faithfully it struggles to provide accurate aggregations of findings over multiple documents,2023,July,2
acl2023,Controlling the Extraction of Memorized Data from Large Language Models via Prompt-Tuning,Yes.,5,large language models llms are known to memorize significant portions of their training data parts of this memorized content have been shown to be extractable by simply querying the model which poses a privacy risk,2023,July,5
acl2023,A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification,Yes.,5,these benchmarks often do not adequately address the challenges posed in the realworld such as that of hierarchical classification  we observe llms are more prone to failure in these cases,2023,July,1
acl2023,Making the Most Out of the Limited Context Length: Predictive Power Varies with Clinical Note Type and Note Section,Yes.,5,when the context length for a language model predictor is limited which part of clinical notes should we choose as the input,2023,July,5
acl2023,MathPrompter: Mathematical Reasoning using Large Language Models,Yes.,5,large language models llms have limited performance when solving arithmetic reasoning tasks and often provide incorrect answers and to the best of our knowledge we are not aware of any llms that indicate their level of confidence in their responses which fuels a trust deficit in these models impeding their adoption,2023,July,2
acl2023,KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications,Yes.,5,large language models llms not only learn natural text generation abilities but also social biases against different demographic groups from realworld data this poses a critical risk when deploying llmbased applications and this limitation requires localized social bias datasets to ensure the safe and effective deployment of llms,2023,July,7
acl2023,A Static Evaluation of Code Completion by Large Language Models,Yes.,4,our static analysis reveals that undefined name and unused variable are the most common errors among others made by language models,2023,July,6
acl2023,"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world",Yes.,4,responsible ai issues such as fairness bias and toxicity linguistic diversity and evaluation in the context of mmlms specifically focusing on issues in nonenglish and lowresource languages,2023,July,7
eacl2023,WinoDict: Probing language models for in-context word acquisition,Yes.,5,this benchmark addresses word acquisition one important aspect of the diachronic degradation known to afflict llms as llms are frozen in time at the moment they are trained they are normally unable to reflect the way language changes over time,2023,May,5
eacl2023,Nationality Bias in Text Generation,Yes.,5,this paper examines how a text generation model gpt accentuates preexisting societal biases about countrybased demonyms and gpt demonstrates significant bias against countries with lower internet users and adversarial triggering effectively reduces the same,2023,May,7
eacl2023,"â€œJohn is 50 years old, can his son be 65?â€ Evaluating NLP Modelsâ€™ Understanding of Feasibility",Yes.,5,some recent works have also found notable failures of these models often these failure examples involve complex reasoning abilities and we show that even stateoftheart models such as gpt gpt and t struggle to answer,2023,May,2
eacl2023,On Robustness of Prompt-based Semantic Parsing with Large Pre-trained Language Model: An Empirical Study on Codex,Yes.,5,the existing finetuned neural semantic parsers are vulnerable to adversarial attacks on naturallanguage inputs and the robustness of smaller semantic parsers can be enhanced through adversarial training this approach is not feasible for large language models in realworld scenarios and the large language model of code is vulnerable to carefully crafted adversarial examples,2023,May,7
eacl2023,MiniALBERT: Model Distillation via Parameter-Efficient Recursive Transformers,Yes.,5,the usability of lms is constrained by computational and time complexity along with their increasing size an issue that has been referred to as overparameterisation,2023,May,1
eacl2023,SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models,Yes.,4,a common limitation of diagnostic tests for detecting social biases in nlp models is that they may only detect stereotypic associations that are prespecified by the designer of the test and we also test sodapop on debiased models and show the limitations of,2023,May,7
eacl2023,Robustness Challenges in Model Distillation and Pruning for Natural Language Understanding,Yes.,5,however very few of these studies have analyzed the impact of compression on the generalizability and robustness of compressed models for outofdistribution ood data and the compressed models are significantly less robust than their plm counterparts on ood test sets although they obtain similar performance on indistribution development sets for a task,2023,May,4
eacl2023,Opportunities and Challenges in Neural Dialog Tutoring,Yes.,5,we find that although current approaches can model tutoring in constrained learning scenarios when the number of concepts to be taught and possible teacher strategies are small they perform poorly in less constrained scenarios and our human quality evaluation shows that both models and groundtruth annotations exhibit low performance in terms of equitable tutoring which measures learning opportunities for,2023,May,6
eacl2023,Assessing Out-of-Domain Language Model Performance from Few Examples,Yes.,5,while pretrained language models have exhibited impressive generalization capabilities they still behave unpredictably under certain domain shifts and given a few targetdomain examples and a set of models with similar training performance can we understand how these models will perform on ood test data,2023,May,4
eacl2023,Towards preserving word order importance through Forced Invalidation,Yes.,5,however recent findings have revealed that pretrained language models are insensitive to word order the performance on nlu tasks remains unchanged even after randomly permuting the word of a sentence where crucial syntactic information is destroyed,2023,May,6
eacl2023,Adding Instructions during Pretraining: Effective way of Controlling Toxicity in Language Models,Yes.,4,however safely deploying them in real world applications is challenging because they generate toxic content,2023,May,1
eacl2023,When Do Pre-Training Biases Propagate to Downstream Tasks? A Case Study in Text Summarization,Yes.,5,large language models llms are subject to sociocultural and other biases previously identified using intrinsic evaluations however when and how these intrinsic biases in pretrained lm representations propagate to downstream finetuned nlp tasks like summarization is not well understood and we show that these biases manifest themselves as hallucinations in summarization leading to factually incorrect summaries,2023,May,7
eacl2023,Language Generation Models Can Cause Harm: So What Can We Do About It? An Actionable Survey,Yes.,4,going beyond enumerating the risks of harms this work provides a survey of practical methods for addressing potential threats and societal harms from language generation models,2023,May,7
emnlp2023,FISH: A Financial Interactive System for Signal Highlighting,Yes.,5,chatgptâs decision is sensitive to the order of labels in the prompt chatgpt has a clearly higher chance to select the labels at earlier positions as the answer,2023,December,4
emnlp2023,A Unified Framework for Emotion Identification and Generation in Dialogues,Yes.,5,experiments on our dataset show that recent large language models eg instructgpt struggle to answer the subquestions even if they are able to answer the main questions correctly we find that the models perform particularly poorly in answering subquestions written for the incorrect options,2023,December,6
emnlp2023,Addressing Domain Changes in Task-oriented Conversational Agents through Dialogue Adaptation,Yes.,5,our results reveal limitations in llmbased agentsâ planning optimization due to systematic failures in managing longhorizon contexts and hallucination about the task state,2023,December,2
emnlp2023,GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,Yes.,5,our work adds to a growing body of research underscoring the limitations of chatgpt,2023,December,6
emnlp2023,CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,5,we find that llms perform poorly especially on words which are tokenized unfavorably by subword tokenization,2023,December,6
emnlp2023,Conceptual structure coheres in human cognition but not in large language models,Yes.,5,structures estimated from the llm behavior while individually fairly consistent with those estimated from human behavior depend much more upon the particular task used to generate behavior responsesâresponses generated by the very same model in the three tasks yield estimates of conceptual structure that cohere less with one another than do human structure,2023,December,2
emnlp2023,Towards LLM-driven Dialogue State Tracking,Yes.,5,despite its impressive performance chatgpt has significant limitations including its closedsource nature request restrictions raising data privacy concerns and lacking local deployment capabilities,2023,December,1
emnlp2023,Weâ€™re Afraid Language Models Arenâ€™t Modeling Ambiguity,Yes.,5,we find that the task remains extremely challenging including for gpt whose generated disambiguations are considered correct only  of the time in crowdworker evaluation compared to  for disambiguations in our dataset,2023,December,6
emnlp2023,Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,Yes.,5,however llms are prone to hallucinate untruthful or nonsensical outputs that fail to meet user expectations in many realworld applications,2023,December,3
emnlp2023,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,Yes.,5,however existing code llms have two main limitations first they often adopt a specific architecture encoderonly or decoderonly or rely on a unified encoderdecoder network for different downstream tasks lacking the flexibility to operate in the optimal architecture for a specific task secondly they often employ a limited set of pretraining objectives which might not be relevant to some tasks and,2023,December,5
emnlp2023,Unveiling the Implicit Toxicity in Large Language Models,Yes.,5,we show that llms can generate diverse implicit toxic outputs that are exceptionally difficult to detect via simply zeroshot prompting and our findings suggest that llms pose a significant threat in generating undetectable implicit toxic outputs,2023,December,1
emnlp2023,ALCUNA: Large Language Models Meet New Knowledge,Yes.,5,we benchmark several llms reveals that their performance in face of new knowledge is not satisfactory particularly in reasoning between new and internal knowledge,2023,December,2
emnlp2023,Robust Prompt Optimization for Large Language Models Against Distribution Shifts,Yes.,5,we reveal that these prompt optimization techniques are vulnerable to distribution shifts such as subpopulation shifts which are common for llms in realworld scenarios such as customer reviews analysis,2023,December,1
emnlp2023,Interpreting Embedding Spaces by Conceptualization,Yes.,4,one major drawback of this type of representation is their incomprehensibility to humans and understanding the embedding space is crucial for several important needs including the need to debug the embedding method and compare it to alternatives and the need to detect biases hidden in the model,2023,December,0
emnlp2023,Knowledge-Augmented Language Model Verification,Yes.,5,yet lms often generate the factually incorrect responses to the given queries since their knowledge may be inaccurate incomplete and outdated and the model may fail to retrieve the knowledge relevant to the given query or the model may not faithfully reflect the retrieved knowledge in the generated text,2023,December,2
emnlp2023,Failures Pave the Way: Enhancing Large Language Models through Tuning-free Rule Accumulation,Yes.,5,however due to their inability to capture relationships among samples these frozen llms inevitably keep repeating similar mistakes,2023,December,2
emnlp2023,â€œFifty Shades of Biasâ€: Normative Ratings of Gender Bias in GPT Generated English Text,Yes.,4,with llms increasingly gaining humanlike fluency in text generation gaining a nuanced understanding of the biases these systems can generate is imperative,2023,December,7
emnlp2023,MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations,Yes.,4,llms have a knowledge cutoff and are costly to finetune repeatedly and our findings also highlight the need for further improvements particularly when interpreting unfamiliar words or when composing multiple novel interpretations simultaneously in the same example,2023,December,2
emnlp2023,Instructed Language Models with Retrievers Are Powerful Entity Linkers,Yes.,5,the generative nature still makes the generated content suffer from hallucinations thus unsuitable for entitycentric tasks like entity linking el requiring precise entity predictions over a large knowledge base and the el task remains a persistent hurdle for general llms,2023,December,3
emnlp2023,Does the Correctness of Factual Knowledge Matter for Factual Knowledge-Enhanced Pre-trained Language Models?,Yes.,5,surprisingly throughout our experiments we find that although the knowledge seems to be successfully injected the correctness of injected knowledge only has a very limited effect on the modelsâ downstream performance this finding strongly challenges previous assumptions that the injected factual knowledge is the key for language models to achieve performance improvements on downstream tasks in pretrainfinetune paradigm,2023,December,6
emnlp2023,"The Past, Present and Better Future of Feedback Learning in Large Language Models for Subjective Human Preferences and Values",Yes.,4,it is unclear how to collect and incorporate feedback in a way that is efficient effective and unbiased especially for highly subjective human preferences and values and we encourage a better future of feedback learning in llms by raising five unresolved conceptual and practical challenges,2023,December,1
emnlp2023,"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",Yes.,5,the issue of hallucination has parallelly emerged as a byproduct posing significant concerns and we propose two solution strategies for mitigating hallucinations,2023,December,3
emnlp2023,The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages,Yes.,5,our comprehensive analysis reveals that existing opensource instruction tuned llms still struggle to understand sm across various languages performing close to a random baseline in some cases we also find that although chatgpt outperforms many llms it still falls behind taskspecific finetuned models with a gap of  sparrow score,2023,December,6
emnlp2023,Understanding the Effect of Model Compression on Social Bias in Large Language Models,Yes.,4,large language models llms trained with selfsupervision on vast corpora of web text fit to the social biases of that text without intervention these social biases persist in the modelâs predictions in downstream tasks leading to representational harm,2023,December,7
emnlp2023,Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,Yes.,5,hallucination of text ungrounded in the input is a wellknown problem in neural datatotext generation,2023,December,3
emnlp2023,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Yes.,4,however three pivotal questions remain unanswered,2023,December,1
emnlp2023,Evaluating Large Language Models on Controlled Generation Tasks,Yes.,5,large language models struggle at meeting finegrained hard constraints,2023,December,5
