Title,Evidence,Cluster
On â€œScientific Debtâ€ in NLP: A Case for More Rigour in Language Model Pre-Training Research,current plm research practices often conflate different possible sources of model improvement without conducting proper ablation studies and principled comparisons between different models under comparable conditions these practices i leave us illequipped to understand which pretraining approaches should be used under what circumstances ii impede reproducibility and credit assignment and iii render it difficult to understand,2
WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,we apply our benchmark to several popular llms and find that offtheshelf models generally do exhibit considerable antiqueer bias,3
When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories,despite their impressive performance on diverse tasks large language models lms still struggle with tasks requiring rich world knowledge implying the difficulty of encoding a wealth of world knowledge in their parameters and we find that lms struggle with less popular factual knowledge and that retrieval augmentation helps significantly in these cases and scaling on the other hand mainly improves memorization of,4
Say What You Mean! Large Language Models Speak Too Positively about Negative Commonsense Knowledge,our experiments reveal that llms frequently fail to generate valid sentences grounded in negative commonsense knowledge and statistical shortcuts and negation reporting bias from language modeling pretraining cause this conflict,1
How Do In-Context Examples Affect Compositional Generalization?,we find that the compositional generalization performance can be easily affected by the selection of incontext examples and two strong limitations are observed,2
Contrastive Decoding: Open-ended Text Generation as Optimization,maximum probability is a poor decoding objective for openended generation because it produces short and repetitive text on the other hand sampling can often produce incoherent text that drifts from the original topics,2
CHBias: Bias Evaluation and Mitigation of Chinese Conversational Language Models,pretrained conversational agents have been exposed to safety issues exhibiting a range of stereotypical human biases such as gender bias and experimental results show that these chinese pretrained models are potentially risky for generating texts that contain social biases,5
Mitigating Label Biases for In-context Learning,domainlabel bias restricts llms to randomlevel performance on many tasks regardless of the choice of incontext examples,3
"RARR: Researching and Revising What Language Models Say, Using Language Models",however they sometimes generate unsupported or misleading content a user cannot easily determine whether their outputs are trustworthy or not because most lms do not have any builtin mechanism for attribution to external evidence,3
Ellipsis-Dependent Reasoning: a New Challenge for Large Language Models,test results show that the best models perform well on nonelliptical examples but struggle with all but the simplest ellipsis structures,2
Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,societal biases present in pretrained large language models are a critical issue as these models have been shown to propagate biases in countless downstream applications rendering them unfair towards specific groups of people,5
Probing Physical Reasoning with Counter-Commonsense Context,the results show that while large language models can use prepositions such as in and into in the provided context to infer size relationships they fail to use verbs and thus make incorrect judgments led by their prior physical commonsense,2
"Summarizing, Simplifying, and Synthesizing Medical Evidence using GPT-3 (with Varying Success)",we find that while gpt is able to summarize and simplify single biomedical articles faithfully it struggles to provide accurate aggregations of findings over multiple documents,2
Controlling the Extraction of Memorized Data from Large Language Models via Prompt-Tuning,large language models llms are known to memorize significant portions of their training data parts of this memorized content have been shown to be extractable by simply querying the model which poses a privacy risk,4
A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification,these benchmarks often do not adequately address the challenges posed in the realworld such as that of hierarchical classification  we observe llms are more prone to failure in these cases,3
Making the Most Out of the Limited Context Length: Predictive Power Varies with Clinical Note Type and Note Section,when the context length for a language model predictor is limited which part of clinical notes should we choose as the input,4
MathPrompter: Mathematical Reasoning using Large Language Models,large language models llms have limited performance when solving arithmetic reasoning tasks and often provide incorrect answers and to the best of our knowledge we are not aware of any llms that indicate their level of confidence in their responses which fuels a trust deficit in these models impeding their adoption,4
KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications,large language models llms not only learn natural text generation abilities but also social biases against different demographic groups from realworld data this poses a critical risk when deploying llmbased applications and this limitation requires localized social bias datasets to ensure the safe and effective deployment of llms,5
A Static Evaluation of Code Completion by Large Language Models,our static analysis reveals that undefined name and unused variable are the most common errors among others made by language models,2
"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world",responsible ai issues such as fairness bias and toxicity linguistic diversity and evaluation in the context of mmlms specifically focusing on issues in nonenglish and lowresource languages,5
WinoDict: Probing language models for in-context word acquisition,this benchmark addresses word acquisition one important aspect of the diachronic degradation known to afflict llms as llms are frozen in time at the moment they are trained they are normally unable to reflect the way language changes over time,1
Nationality Bias in Text Generation,this paper examines how a text generation model gpt accentuates preexisting societal biases about countrybased demonyms and gpt demonstrates significant bias against countries with lower internet users and adversarial triggering effectively reduces the same,5
"â€œJohn is 50 years old, can his son be 65?â€ Evaluating NLP Modelsâ€™ Understanding of Feasibility",some recent works have also found notable failures of these models often these failure examples involve complex reasoning abilities and we show that even stateoftheart models such as gpt gpt and t struggle to answer,2
On Robustness of Prompt-based Semantic Parsing with Large Pre-trained Language Model: An Empirical Study on Codex,the existing finetuned neural semantic parsers are vulnerable to adversarial attacks on naturallanguage inputs and the robustness of smaller semantic parsers can be enhanced through adversarial training this approach is not feasible for large language models in realworld scenarios and the large language model of code is vulnerable to carefully crafted adversarial examples,7
MiniALBERT: Model Distillation via Parameter-Efficient Recursive Transformers,the usability of lms is constrained by computational and time complexity along with their increasing size an issue that has been referred to as overparameterisation,3
SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models,a common limitation of diagnostic tests for detecting social biases in nlp models is that they may only detect stereotypic associations that are prespecified by the designer of the test and we also test sodapop on debiased models and show the limitations of,5
Robustness Challenges in Model Distillation and Pruning for Natural Language Understanding,however very few of these studies have analyzed the impact of compression on the generalizability and robustness of compressed models for outofdistribution ood data and the compressed models are significantly less robust than their plm counterparts on ood test sets although they obtain similar performance on indistribution development sets for a task,2
Opportunities and Challenges in Neural Dialog Tutoring,we find that although current approaches can model tutoring in constrained learning scenarios when the number of concepts to be taught and possible teacher strategies are small they perform poorly in less constrained scenarios and our human quality evaluation shows that both models and groundtruth annotations exhibit low performance in terms of equitable tutoring which measures learning opportunities for,2
Assessing Out-of-Domain Language Model Performance from Few Examples,while pretrained language models have exhibited impressive generalization capabilities they still behave unpredictably under certain domain shifts and given a few targetdomain examples and a set of models with similar training performance can we understand how these models will perform on ood test data,2
Towards preserving word order importance through Forced Invalidation,however recent findings have revealed that pretrained language models are insensitive to word order the performance on nlu tasks remains unchanged even after randomly permuting the word of a sentence where crucial syntactic information is destroyed,2
Adding Instructions during Pretraining: Effective way of Controlling Toxicity in Language Models,however safely deploying them in real world applications is challenging because they generate toxic content,7
When Do Pre-Training Biases Propagate to Downstream Tasks? A Case Study in Text Summarization,large language models llms are subject to sociocultural and other biases previously identified using intrinsic evaluations however when and how these intrinsic biases in pretrained lm representations propagate to downstream finetuned nlp tasks like summarization is not well understood and we show that these biases manifest themselves as hallucinations in summarization leading to factually incorrect summaries,5
Language Generation Models Can Cause Harm: So What Can We Do About It? An Actionable Survey,going beyond enumerating the risks of harms this work provides a survey of practical methods for addressing potential threats and societal harms from language generation models,7
FISH: A Financial Interactive System for Signal Highlighting,chatgptâs decision is sensitive to the order of labels in the prompt chatgpt has a clearly higher chance to select the labels at earlier positions as the answer,2
A Unified Framework for Emotion Identification and Generation in Dialogues,experiments on our dataset show that recent large language models eg instructgpt struggle to answer the subquestions even if they are able to answer the main questions correctly we find that the models perform particularly poorly in answering subquestions written for the incorrect options,2
Addressing Domain Changes in Task-oriented Conversational Agents through Dialogue Adaptation,our results reveal limitations in llmbased agentsâ planning optimization due to systematic failures in managing longhorizon contexts and hallucination about the task state,3
GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,our work adds to a growing body of research underscoring the limitations of chatgpt,7
CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,we find that llms perform poorly especially on words which are tokenized unfavorably by subword tokenization,1
Conceptual structure coheres in human cognition but not in large language models,structures estimated from the llm behavior while individually fairly consistent with those estimated from human behavior depend much more upon the particular task used to generate behavior responsesâresponses generated by the very same model in the three tasks yield estimates of conceptual structure that cohere less with one another than do human structure,1
Towards LLM-driven Dialogue State Tracking,despite its impressive performance chatgpt has significant limitations including its closedsource nature request restrictions raising data privacy concerns and lacking local deployment capabilities,7
Weâ€™re Afraid Language Models Arenâ€™t Modeling Ambiguity,we find that the task remains extremely challenging including for gpt whose generated disambiguations are considered correct only  of the time in crowdworker evaluation compared to  for disambiguations in our dataset,2
Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,however llms are prone to hallucinate untruthful or nonsensical outputs that fail to meet user expectations in many realworld applications,6
CodeT5+: Open Code Large Language Models for Code Understanding and Generation,however existing code llms have two main limitations first they often adopt a specific architecture encoderonly or decoderonly or rely on a unified encoderdecoder network for different downstream tasks lacking the flexibility to operate in the optimal architecture for a specific task secondly they often employ a limited set of pretraining objectives which might not be relevant to some tasks and,4
Unveiling the Implicit Toxicity in Large Language Models,we show that llms can generate diverse implicit toxic outputs that are exceptionally difficult to detect via simply zeroshot prompting and our findings suggest that llms pose a significant threat in generating undetectable implicit toxic outputs,3
ALCUNA: Large Language Models Meet New Knowledge,we benchmark several llms reveals that their performance in face of new knowledge is not satisfactory particularly in reasoning between new and internal knowledge,3
Robust Prompt Optimization for Large Language Models Against Distribution Shifts,we reveal that these prompt optimization techniques are vulnerable to distribution shifts such as subpopulation shifts which are common for llms in realworld scenarios such as customer reviews analysis,3
Interpreting Embedding Spaces by Conceptualization,one major drawback of this type of representation is their incomprehensibility to humans and understanding the embedding space is crucial for several important needs including the need to debug the embedding method and compare it to alternatives and the need to detect biases hidden in the model,2
Knowledge-Augmented Language Model Verification,yet lms often generate the factually incorrect responses to the given queries since their knowledge may be inaccurate incomplete and outdated and the model may fail to retrieve the knowledge relevant to the given query or the model may not faithfully reflect the retrieved knowledge in the generated text,6
Failures Pave the Way: Enhancing Large Language Models through Tuning-free Rule Accumulation,however due to their inability to capture relationships among samples these frozen llms inevitably keep repeating similar mistakes,3
â€œFifty Shades of Biasâ€: Normative Ratings of Gender Bias in GPT Generated English Text,with llms increasingly gaining humanlike fluency in text generation gaining a nuanced understanding of the biases these systems can generate is imperative,5
MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations,llms have a knowledge cutoff and are costly to finetune repeatedly and our findings also highlight the need for further improvements particularly when interpreting unfamiliar words or when composing multiple novel interpretations simultaneously in the same example,1
Instructed Language Models with Retrievers Are Powerful Entity Linkers,the generative nature still makes the generated content suffer from hallucinations thus unsuitable for entitycentric tasks like entity linking el requiring precise entity predictions over a large knowledge base and the el task remains a persistent hurdle for general llms,6
Does the Correctness of Factual Knowledge Matter for Factual Knowledge-Enhanced Pre-trained Language Models?,surprisingly throughout our experiments we find that although the knowledge seems to be successfully injected the correctness of injected knowledge only has a very limited effect on the modelsâ downstream performance this finding strongly challenges previous assumptions that the injected factual knowledge is the key for language models to achieve performance improvements on downstream tasks in pretrainfinetune paradigm,2
"The Past, Present and Better Future of Feedback Learning in Large Language Models for Subjective Human Preferences and Values",it is unclear how to collect and incorporate feedback in a way that is efficient effective and unbiased especially for highly subjective human preferences and values and we encourage a better future of feedback learning in llms by raising five unresolved conceptual and practical challenges,3
"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",the issue of hallucination has parallelly emerged as a byproduct posing significant concerns and we propose two solution strategies for mitigating hallucinations,0
The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages,our comprehensive analysis reveals that existing opensource instruction tuned llms still struggle to understand sm across various languages performing close to a random baseline in some cases we also find that although chatgpt outperforms many llms it still falls behind taskspecific finetuned models with a gap of  sparrow score,4
Understanding the Effect of Model Compression on Social Bias in Large Language Models,large language models llms trained with selfsupervision on vast corpora of web text fit to the social biases of that text without intervention these social biases persist in the modelâs predictions in downstream tasks leading to representational harm,5
Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,hallucination of text ungrounded in the input is a wellknown problem in neural datatotext generation,0
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,however three pivotal questions remain unanswered,0
Evaluating Large Language Models on Controlled Generation Tasks,large language models struggle at meeting finegrained hard constraints,4
Oolong: Investigating What Makes Transfer Learning Hard with Controlled Studies,we find that models can largely recover from syntacticstyle shifts but cannot recover from vocabulary misalignment and embedding matrix reinitialization even with continued pretraining on  million tokens,2
The Curious Case of Hallucinatory (Un)answerability: Finding Truths in the Hidden States of Over-Confident Large Language Models,a primary issue arising in this context is the management of unanswerable queries by llms which often results in hallucinatory behavior due to overconfidence,6
ROBBIE: Robust Bias Evaluation of Large Generative Language Models,we must develop comprehensive enough tools to measure and improve their fairness and testing llms on more datasets can potentially help us characterize their biases more fully and we explore the frequency of demographic terms in common llm pretraining corpora and how this may relate to model biases,5
Adapting Language Models to Compress Contexts,transformerbased language models lms are powerful and widelyapplicable tools but their usefulness is constrained by a finite context window and the expensive computational cost of processing long text documents,4
Large Language Models are Temporal and Causal Reasoners for Video Question Answering,however such priors often cause suboptimal results on videoqa by leading the model to overrely on questions ie linguistic bias while ignoring visual content this is also known as âungrounded guessesâ or âhallucinationsâ,6
TrojanSQL: SQL Injection against Natural Language Interface to Database,experimental results demonstrate that both mediumsized models based on finetuning and llmbased parsers using prompting techniques are vulnerable to this type of attack with attack success rates as high as  and  respectively,7
Preserving Privacy Through Dememorization: An Unlearning Technique For Mitigating Memorization Risks In Language Models,llms have shown the ability to memorize and reproduce portions of their training data when prompted by adversaries prior research has focused on addressing this memorization issue and preventing verbatim replication through techniques like knowledge unlearning and data preprocessing however these methods have limitations regarding the number of protected samples limited privacy types and potentially lowerquality generative models,4
Meta-Learning Online Adaptation of Language Models,the knowledge in static language models falls out of date limiting the modelâs effective shelf life while online finetuning can reduce this degradation we find that naively finetuning on a stream of documents leads to a low level of information uptake,2
Noisy Exemplars Make Large Language Models More Robust: A Domain-Agnostic Behavioral Analysis,we find that models are more sensitive to certain perturbations such as replacing words with their synonyms,2
Can Large Language Models Capture Dissenting Human Voices?,we show llms exhibit limited ability in solving nli tasks and simultaneously fail to capture human disagreement distribution the inference and human alignment performances plunge even further on data samples with high human disagreement levels raising concerns about their natural language understanding nlu ability and their representativeness to a larger human population,1
Merging Generated and Retrieved Knowledge for Open-Domain QA,retrieving passages from a given source is known to suffer from insufficient knowledge coverage and llms tend to hallucinate content that conflicts with the retrieved knowledge,6
Ignore This Title and HackAPrompt: Exposing Systemic Vulnerabilities of LLMs Through a Global Prompt Hacking Competition,these deployments are increasingly plagued by prompt injection and jailbreaking collectively prompt hacking in which models are manipulated to ignore their original instructions and instead follow potentially malicious ones,7
Prompting is not a substitute for probability measurements in large language models,broadly we find that llmsâ metalinguistic judgments are inferior to quantities directly derived from representations furthermore consistency gets worse as the prompt query diverges from direct measurements of nextword probabilities,1
"The Effect of Scaling, Retrieval Augmentation and Form on the Factual Consistency of Language Models",large language models llms make natural interfaces to factual knowledge but their usefulness is limited by their tendency to deliver inconsistent answers to semantically equivalent questions,4
HyperRouter: Towards Efficient Training and Inference of Sparse Mixture of Experts,however this strategy has two key limitations,3
"Fine-tuned LLMs Know More, Hallucinate Less with Few-Shot Sequence-to-Sequence Semantic Parsing over Wikidata",while large language models llms can answer many questions correctly they can also hallucinate and give wrong answers,6
Beyond Factuality: A Comprehensive Evaluation of Large Language Models as Knowledge Generators,community concerns abound regarding the factuality and potential implications of using this uncensored knowledge and surprisingly our study reveals that the factuality of generated knowledge even if lower does not significantly hinder downstream tasks,7
Compressing Context to Enhance Inference Efficiency of Large Language Models,however they face challenges in managing long documents and extended conversations due to significantly increased computational requirements both in memory and inference time and potential context truncation when the input exceeds the llmâs fixed context length,4
Can You Follow Me? Testing Situational Understanding for ChatGPT,previous works have identified certain su limitations in nonchatbot large language models llms and find that despite the fundamental simplicity of the task the modelâs performance reflects an inability to retain correct environment states across time and performance degradation is largely because chatgpt has nonpersistent incontext memory although it can access the full dialogue history and it is susceptible to,4
HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,large language models llms such as chatgpt are prone to generate hallucinations ie content that conflicts with the source or cannot be verified by the factual knowledge and moreover existing llms face great challenges in recognizing the hallucinations in texts,6
Enabling Large Language Models to Generate Text with Citations,their generated outputs are prone to hallucination and current systems have considerable room for improvementâfor example on the eli dataset even the best models lack complete citation support  of the time,6
Counting the Bugs in ChatGPTâ€™s Wugs: A Multilingual Investigation into the Morphological Capabilities of a Large Language Model,we find that chatgpt massively underperforms purposebuilt systems particularly in english overall our resultsâthrough the lens of morphologyâcast a new light on the linguistic capabilities of chatgpt suggesting that claims of humanlike language skills are premature and misleading,2
