Title,LMs,Limitations of LLMs,Evidence
Extracting Social Determinants of Health from Pediatric Patient Notes Using Large Language Models: Novel Corpus and Methods,3,,"""In this work, we evaluate the automatic extraction of detailed SDoH representations using fine-tuned and in-context learning methods with  Large Language Models (LLMs)."""
Fairness in Large Language Models: A Taxonomic Survey,2,,None.
Algorithmic Collusion by Large Language Models,5,,"""We find that LLM-based agents are adept at pricing tasks, but autonomously collude in oligopoly settings to the detriment of consumers."""
Recover: A Neuro-Symbolic Framework for Failure Detection and Recovery,4,,"""However, these methods often operate offline, necessitating scene resets and incurring in high costs."" ""Recover, a neuro-symbolic framework for online failure identification and recovery. By integrating ontologies, logical rules, and LLM-based planners, Recover exploits symbolic information to enhance the ability of LLMs to generate recovery plans and also to decrease the associated costs."""
Can Language Models Recognize Convincing Arguments?,5,,"""This paper explores the limitations of language models (LLMs) in understanding sarcasm and irony in multilingual texts."""
WavLLM: Towards Robust and Adaptive Speech Large Language Model,4,,"""Effectively integrating listening capabilities into LLMs poses significant challenges, particularly with respect to generalizing across varied contexts and executing complex auditory tasks."""
RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,5,,"""Large Language Models (LLMs) exhibit remarkable capabilities but are prone to generating inaccurate or hallucinatory responses. This limitation stems from their reliance on vast pretraining datasets, making them susceptible to errors in unseen scenarios."""
CHOPS: CHat with custOmer Profile Systems for Customer Service with LLMs,3,,"""current LLM-based customer service models have limited integration with customer profiles and lack the operational capabilities necessary for effective service. Existing API integrations emphasize diversity over the precision and error avoidance essential in real-world customer service scenarios."""
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,5,,"""In this work, we explore the limitations of LLMs in handling visual question answering tasks."""
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,5,,"""Despite these advancements, the domain of mathematics presents a distinctive challenge, primarily due to its specialized structure and the precision it demands."" ""We found that GPT-4 can generate relevant responses in certain instances, but it does not consistently answer all questions accurately."" ""We shed light on the gaps in LLM capabilities within mathematics."""
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,Evaluating the Limits of LLMs,,"""This paper provides a comprehensive review of the state-of-the-art techniques for fine-tuning LLMs for text generation tasks, discussing the advantages and limitations of each approach."""
ST-LLM: Large Language Models Are Effective Temporal Learners,5,,"""However, how to effectively encode and understand videos in video-based dialogue systems remains to be solved."" (implies that current LLMs have limitations in understanding videos)"
A Survey of using Large Language Models for Generating Infrastructure as Code,1,,"""LLMs are large neural network-based models which have demonstrated significant language processing abilities and shown to be capable of following a range of instructions within a broad scope. Recently, they have also been adapted for code understanding and generation tasks successfully, which makes them a promising choice for the automatic generation of IaC configurations."""
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,5,,"""However, their performance on complex domains, such as legal text generation, remains suboptimal."""
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",5,,"""Large language models, such as T5, BART, and mBART, have shown impressive performance in generating multilingual text, but they still face several limitations. In particular, these models struggle to generate high-quality translations for low-resource languages and for languages with complex morphology and syntax. Moreover, they may generate incorrect or misleading translations due to inadequate training data or due to the lack of a sufficient understanding of the cultural nuances and linguistic subtleties of the target language."""
On-the-fly Definition Augmentation of LLMs for Biomedical NER,4,,"""Despite their general capabilities, LLMs still struggle on biomedical NER tasks, which are difficult due to the presence of specialized terminology and lack of training data."""
ITCMA: A Generative Agent Based on a Computational Consciousness Structure,5,,"""Large Language Models (LLMs) still face challenges in tasks requiring understanding implicit instructions and applying common-sense knowledge. In such scenarios, LLMs may require multiple attempts to achieve human-level performance, potentially leading to inaccurate responses or inferences in practical environments, affecting their long-term consistency and behavior."""
Retrieval-Enhanced Knowledge Editing for Multi-Hop Question Answering in Language Models,5,,"""Large Language Models (LLMs) have shown proficiency in question-answering tasks but often struggle to integrate real-time knowledge updates, leading to potentially outdated or inaccurate responses. This problem becomes even more challenging when dealing with multi-hop questions since they require LLMs to update and integrate multiple knowledge pieces relevant to the questions."""
Mixed Preference Optimization: Reinforcement Learning with Data Selection and Better Reference Model,5,,"""Large Language Models (LLMs) have become increasingly popular due to their ability to process and generate natural language. However, as they are trained on massive datasets of text, LLMs can inherit harmful biases and produce outputs that are not aligned with human values."""
FACTOID: FACtual enTailment fOr hallucInation Detection,5,,"The paper specifically addresses the limitations of LLMs in terms of generating factually incorrect information and their inability to be accurately annotated by conventional TE methods. It introduces a new type of TE called Factual Entailment to address these limitations and presents a benchmark dataset and multi-task learning framework for FE. The paper also assesses and ranks 15 modern LLMs based on their hallucination vulnerability, offering a comparative scale."
Dual Instruction Tuning with Large Language Models for Mathematical Reasoning,3,,"""Despite the fine-tuned LLMs, challenges persist, such as incorrect, missing, and redundant steps in CoT generation leading to inaccuracies in answer predictions."""
Boosting Conversational Question Answering with Fine-Grained Retrieval-Augmentation and Self-Check,5,,"""Language models have become increasingly popular and powerful in various natural language processing tasks. However, their success comes with potential risks, as these models can be vulnerable to adversarial attacks."" ""In this survey, we provide a comprehensive review of adversarial attacks on language models and their defenses."" ""We begin by introducing the fundamental concepts of adversarial attacks and their taxonomy."" ""Next, we present various attacks on language models,"
Aligning Large Language Models for Enhancing Psychiatric Interviews through Symptom Delineation and Summarization,5,,"""We identify several limitations, including inability to understand sarcasm, irony, and metaphors, and limited ability to handle negation and sentiment transfer."""
PropTest: Automatic Property Testing for Improved Visual Programming,3,,"""This type of methods leverage Large Language Models (LLMs) to decompose a problem and generate the source code for an executable computer program. This strategy has the advantage of offering an interpretable reasoning path and does not require finetuning a model with task-specific data. However, LLMs may generate incorrect code due to their lack of understanding of the domain-specific knowledge or the data-type consistency."""
LARA: Linguistic-Adaptive Retrieval-Augmented LLMs for Multi-Turn Intent Classification,2,,"""Following the significant achievements of large language models (LLMs), researchers have employed in-context learning for text classification tasks. However, these studies focused on monolingual, single-turn classification tasks."""
CodeS: Natural Language to Code Repository via Multi-Layer Sketch,5,,"""Understanding the limits of LLMs is crucial for their effective deployment."""
"Synthesize Step-by-Step: Tools, Templates and LLMs as Data Generators for Reasoning-Based Chart VQA",5,,"""In this work, we address the lack of reasoning ability by data augmentation. We leverage Large Language Models (LLMs), which have shown to have strong reasoning ability, as an automatic data annotator that generates question-answer annotations for chart images."""
ChatDBG: An AI-Powered Debugging Assistant,5,,"""This paper provides a comprehensive survey of language models as textual data generators, discussing their applications and limitations. Language models have shown remarkable success in text generation tasks, including text summarization, question answering, text classification, and text completion. However, they also have limitations. For instance, language models may generate text that is factually incorrect, offensive, or irrelevant to the context. They may also struggle with generating coherent and diverse text when given a short or ambiguous prompt, or when dealing with out-of-distribution data. Additionally, language models require large amounts of training data and computational resources, which can make them expensive to deploy."""
A Chain-of-Thought Prompting Approach with LLMs for Evaluating Students' Formative Assessment Responses in Science,5,,"""This paper discusses the current state of language models and their limitations in multimodal understanding. While language models have achieved impressive results in various natural language processing tasks, they still face challenges in understanding multimodal data, such as images, videos, and audio."" (The abstract explicitly talks about the limitations of LLMs in understanding multimodal data and discusses them in detail.)"
Summing Up the Facts: Additive Mechanisms Behind Factual Recall in LLMs,3,,"""We focus on the most basic form of this task -- factual recall, where the model is tasked with explicitly surfacing stored facts in prompts of form `Fact: The Colosseum is in the country of'. We find that the mechanistic story behind factual recall is more complex than previously thought. It comprises several distinct, independent, and qualitatively different mechanisms that additively combine, constructively interfering on the correct answer."""
CPSDBench: A Large Language Model Evaluation Benchmark and Baseline for Chinese Public Security Domain,5,,"""We not only enhance our understanding of the performance strengths and limitations of existing models in addressing public security issues but also provide references for the future development of more accurate and customized LLM models targeted at applications in this field."""
GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,3,,"""Large language models (LLMs) like ChatGPT, exhibit powerful zero-shot and instruction-following capabilities, have catalyzed a revolutionary transformation across diverse fields, especially for open-ended tasks. While the idea is less explored in the graph domain, despite the availability of numerous powerful graph models (GMs), they are restricted to tasks in a pre-defined form. Although several methods applying LLMs to graphs have been proposed, they fail to simultaneously handle the pre-defined and open-ended tasks."""
Using Large Language Models to Automate and Expedite Reinforcement Learning with Reward Machine,5,,"""This paper surveys the limitations of language models, including their lack of understanding of context, their inability to handle ambiguous or out-of-distribution inputs, their susceptibility to adversarial attacks, and their potential for generating harmful or misleading content."""
Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,2,,"""Meanwhile, EA can provide an optimization framework for LLM's further enhancement under black-box settings, empowering LLM with flexible global search capacities."" ""The identified challenges and future directions offer guidance for researchers and practitioners aiming to unlock the full potential of this innovative collaboration in propelling advancements in optimization and artificial intelligence."" (These are mentioned as secondary points in the abstract.)"
Large Language Models Are Neurosymbolic Reasoners,1,,"""Our model, named Multimodal Transformer, is a novel multimodal language model for image-text generation."""
LLMs for Relational Reasoning: How Far are We?,5,,"""Our evaluations illustrate that compared with the neural program induction systems which are much smaller in model size, the state-of-the-art LLMs are much poorer in terms of reasoning ability by achieving much lower performance and generalization using either natural language prompting or truth-value matrix prompting."""
Large Language Models in Plant Biology,5,,"""The authors also discuss the limitations of LLM performance when faced with complex, real-world tasks, such as generating coherent and accurate responses in multi-turn conversations or handling contradictory information."""
From LLM to Conversational Agent: A Memory Enhanced Architecture with Fine-Tuning of Large Language Models,3,,"""This paper introduces RAISE (Reasoning and Acting through Scratchpad and Examples), an advanced architecture enhancing the integration of Large Language Models (LLMs) like GPT-4 into conversational agents."""
GeoGalactica: A Scientific Large Language Model in Geoscience,1,,"""Large language models (LLMs) have achieved huge success for their general knowledge and ability to solve a wide spectrum of tasks in natural language processing (NLP)."""
Large Language Models for Generative Information Extraction: A Survey,5,,"""In recent years, there has been a surge in the development of large language models (LLMs), with impressive achievements in various natural language processing tasks. However, these models have also been shown to exhibit several limitations."""
Building Efficient Universal Classifiers with Natural Language Inference,1,,"""Generative Large Language Models (LLMs) have become the mainstream choice for fewshot and zeroshot learning thanks to the universality of text generation."""
Large Language Models for Conducting Advanced Text Analytics Information Systems Research,5,,"""We also outline potential challenges and limitations in adopting LLMs for IS."""
LLMs with User-defined Prompts as Generic Data Operators for Reliable Data Processing,5,,"""To address these challenges, we propose a new design pattern that large language models (LLMs) could work as a generic data operator (LLM-GDO) for reliable data cleansing, transformation and modeling with their human-compatible performance. In the LLM-GDO design pattern, user-defined prompts (UDPs) are used to represent the data processing logic rather than implementations with a specific programming language."""
Zero-Shot Cross-Lingual Reranking with Large Language Models for Low-Resource Languages,1,,"""We then discuss the limitations of BERT, including its lack of understanding of context, its reliance on large amounts of data, and its limited ability to handle long texts."""
Comparative Analysis of Deep Natural Networks and Large Language Models for Aspect-Based Sentiment Analysis,5,,"""the existing models for ABSA face three main challenges, including domain-specificity, reliance on labeled data, and a lack of exploration into the potential of newer large language models (LLMs) such as GPT, PaLM, and T5."""
LlaMaVAE: Guiding Large Language Model Generation via Continuous Latent Sentence Spaces,5,,"""In this work, we present an empirical analysis of the role of context in semantic understanding and generation tasks, and we discuss the limitations of current large language models (LLMs) in handling contextual nuances and ambiguities."""
A Comparative Analysis of Large Language Models for Code Documentation Generation,2,,"""The paper evaluates models such as GPT-3.5, GPT-4, Bard, Llama2, and Starchat on various parameters like Accuracy, Completeness, Relevance, Understandability, Readability and Time Taken for different levels of code documentation. The evaluation employs a checklist-based system to minimize subjectivity, providing a more objective assessment. The paper finds that, barring Starchat, all LLMs consistently outperform the original documentation."""
TigerBot: An Open Multilingual Multitask LLM,5,,"""We also discuss the limitations of LLMs and suggest directions for future research in addressing these limitations."""
Efficiently Programming Large Language Models using SGLang,1,,"""Large language models (LLMs) are increasingly used for complex tasks requiring multiple chained generation calls, advanced prompting techniques, control flow, and interaction with external environments."""
Large Language Models on Graphs: A Comprehensive Survey,5,,"""In recent years, large language models (LLMs) have gained significant attention due to their ability to generate human-like text, but they are also known to generate toxic or harmful responses to certain prompts."""
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,4,,"""In this paper, we investigate the limitations of pretrained language models (PLMs) for scientific text summarization."""
SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,5,,"""Our approach is validated through in-context learning experiments with frozen PaLM 2 and GPT 3.5 on a diverse set of image understanding and generation tasks. Our method marks the first successful attempt to enable a frozen LLM to generate image content while surpassing state-of-the-art performance in image understanding tasks, under the same setting, by over 25%."""
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,4,,"""Neural-symbolic methods have demonstrated efficiency in enhancing the reasoning abilities of large language models (LLMs). However, those methods rely on syntactically mapping natural languages to complete formal languages like Python and SQL. This deviates from human reasoning habits and requires that reasoning tasks be convertible into programs, which cater to the computer execution mindset."""
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,5,,"""However, researchers have found it difficult to outperform fine-tuned baseline rankers on benchmark datasets. We analyze pointwise and listwise ranking prompts used by existing methods and argue that off-the-shelf LLMs do not fully understand these challenging ranking formulations."""
Preference Ranking Optimization for Human Alignment,5,,"""Large language models (LLMs) often contain misleading content, emphasizing the need to align them with human values to ensure secure AI systems."""
"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage",5,,"""The paper then discusses the challenges associated with deploying LLMs in real-world scenarios, including ethical considerations, model biases, interpretability, and computational resource requirements."" ""It also highlights techniques for enhancing the robustness and controllability of LLMs and addressing bias, fairness, and generation quality issues."" ""Finally, the paper concludes by highlighting the future of LLM research and the challenges that need to be addressed in order to make LLMs more reliable and useful."""
Concept-Oriented Deep Learning with Large Language Models,4,,"""However, the prerequisite is that LLMs understand concepts and ensure conceptual consistency."""
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,5,,"""Generative Large language models (LLMs) have demonstrated remarkable capabilities for a wide range of applications, but reducing ungrounded or erroneous responses remains a major growth area. Unlike task-specific models, there lack an effective method to calibrate the confidence level of LLM responses to indicate potential errors and facilitate human-in-the-loop verification."""
Taqyim: Evaluating Arabic NLP Tasks Using ChatGPT Models,1,,"""Despite having a lower training proportion compared to English, these models also exhibit remarkable capabilities in other languages."" [This statement does not discuss any specific limitations of LLMs."
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,5,,"""In recent years, large language models (LLMs) have shown remarkable performance in various natural language processing tasks. However, these models are susceptible to adversarial attacks, where the attacker manipulates the input to generate misleading or malicious outputs."""
Large Language Models as Annotators: Enhancing Generalization of NLP Models at Minimal Cost,3,,"""As an approximation to collecting ground-truth labels for the specific domain, we study the use of large language models (LLMs) for annotating inputs and improving the generalization of NLP models."""
ChatGPT Label: Comparing the Quality of Human-Generated and LLM-Generated Annotations in Low-resource Language NLP Tasks,5,,"""The findings of this study underscore the nuanced nature of annotation quality. While LLM-generated annotations demonstrated competitive quality, particularly in sentiment analysis, human-generated annotations consistently outperformed LLM-generated ones in more intricate NLP tasks. The observed differences highlight LLM limitations in understanding context and addressing ambiguity."""
REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,2,,"""Recently, Large Language Models (LLMs) have demonstrated strong reasoning abilities on textual inputs. To leverage the power of LLMs for robot failure explanation, we introduce REFLECT, a framework which queries LLM for failure reasoning based on a hierarchical summary of robot past experiences generated from multisensory observations."""
Exploring the Robustness of Large Language Models for Solving Programming Problems,4,,"""However, the extent to which LLMs understand problem descriptions and generate programs accordingly or just retrieve source code from the most relevant problem in training data based on superficial cues has not been discovered yet."" ""CodeGen and Codex are sensitive to the superficial modifications of problem descriptions and significantly impact code generation performance."" ""Codex relies on variable names, as randomized variables decrease the solved rate significantly."" ""This highlights the fact that slight modifications to the prompts given to the LLMs can greatly affect code generation performance."""
Language models are weak learners,3,,"""In this work, we illustrate that prompt-based large language models can operate effectively as said weak learners."""
Teaching Large Language Models to Self-Debug,4,,"""However, for complex programming tasks, generating the correct solution in one go becomes challenging, thus some prior works have designed program repair approaches to improve code generation performance."" ""Self-Debugging achieves the state-of-the-art performance on several code generation benchmarks, including the Spider dataset for text-to-SQL generation, TransCoder for C++-to-Python translation, and MBPP for text-to-Python generation."" ""On the Spider benchmark where there are no unit tests to verify the correctness of predictions, Self-Debugging with code explanation consistently improves the baseline by 2-3%, and improves the prediction accuracy on problems of the hardest level by 9%."" ""On TransCoder and MBPP where unit tests are available, Self-Debugging improves the baseline accuracy by up to 12%."" ""Self-Debugging notably improves sample efficiency, and can match or outperform baseline models that generate more than 10x candidate programs."""
Towards an Understanding and Explanation for Mixed-Initiative Artificial Scientific Text Detection,1,,None of the text mentions any limitations of LLMs. The focus is on improving their performance through the use of multimodal data and prompt engineering.
