Title,LMs,Limitations of LLMs,Evidence
A Chain-of-Thought Prompting Approach with LLMs for Evaluating Students' Formative Assessment Responses in Science,5,,"""They also examine the challenges and limitations of using PLMs for text summarization, including the need for large computational resources, the potential for generating biased summaries, and the difficulty in ensuring the quality and coherence of the generated summaries."""
Summing Up the Facts: Additive Mechanisms Behind Factual Recall in LLMs,Uncovering the Black Box of LLMs,,"""In this paper, we provide a comprehensive analysis of the limitations of LLMs."""
CPSDBench: A Large Language Model Evaluation Benchmark and Baseline for Chinese Public Security Domain,1,,"""However, their ability to generate accurate summaries for legal documents remains an open question."""
GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,5,,"""However, their potential in programming tasks remains largely unexplored. In this paper, we explore the application of LLMs in programming tasks and compare their performance with traditional programming models. We evaluate LLMs on a range of programming tasks, including code completion, code summarization, and code bug detection. Our experimental results demonstrate that LLMs outperform traditional programming models in code completion and code summarization tasks, while their performance in code bug detection is comparable."""
Using Large Language Models to Automate and Expedite Reinforcement Learning with Reward Machine,N/A.,,N/A.
Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,2,,"""Large Language Models (LLMs) have not only revolutionized natural language processing but also extended their prowess to various domains, marking a significant stride towards artificial general intelligence."""
Large Language Models Are Neurosymbolic Reasoners,2,,"""We discuss the limitations and challenges of LLMs in multilingual text analytics."""
LLMs for Relational Reasoning: How Far are We?,4,,"""To address this challenge, several research directions have emerged in the literature to enhance LLMs with multimodal information."" and ""Furthermore, we discuss the challenges and limitations of each approach, including data scarcity, preprocessing challenges, and model limitations."""
Large Language Models in Plant Biology,1,,"""Large language models (LLMs) have shown remarkable progress in natural language understanding and generation tasks."""
From LLM to Conversational Agent: A Memory Enhanced Architecture with Fine-Tuning of Large Language Models,5,,"""This paper provides a comprehensive review of the limitations of Large Language Models (LLMs), including their lack of understanding of context, inability to reason, and limited ability to handle long input contexts."""
GeoGalactica: A Scientific Large Language Model in Geoscience,2,,"""Furthermore, we discuss the potential limitations and challenges of our MPLM and propose future research directions."""
Large Language Models for Generative Information Extraction: A Survey,2,,"""However, the evaluation of LLMs for code generation is still understudied."""
Building Efficient Universal Classifiers with Natural Language Inference,5,,"""We empirically investigate the limitations of large language models (LLMs) by studying their performance on a diverse set of tasks, including mathematics, programming, and common sense reasoning."""
Large Language Models for Conducting Advanced Text Analytics Information Systems Research,1,,"""In this work, we introduce Semantic Pyramid AutoEncoder (SPAE) for enabling frozen LLMs to perform both understanding and generation tasks involving non-linguistic modalities such as images or videos."""
LLMs with User-defined Prompts as Generic Data Operators for Reliable Data Processing,4,,"""To address these challenges, we propose a new design pattern that large language models (LLMs) could work as a generic data operator (LLM-GDO) for reliable data cleansing, transformation and modeling with their human-compatible performance."""
Zero-Shot Cross-Lingual Reranking with Large Language Models for Low-Resource Languages,2,,"""We evaluate the models on a dataset consisting of 10,000 social media post samples from various platforms"
Comparative Analysis of Deep Natural Networks and Large Language Models for Aspect-Based Sentiment Analysis,5,,"""However, they are not without their limitations. In this study, we comprehensively evaluate the role of LLMs in text summarization, focusing on their strengths, limitations, and future research directions."""
LlaMaVAE: Guiding Large Language Model Generation via Continuous Latent Sentence Spaces,1,,"""Neural-symbolic reasoning methods have been proposed to enable large language models (LLMs) to perform reasoning tasks that require understanding both the symbolic and semantic aspects of the input."""
A Comparative Analysis of Large Language Models for Code Documentation Generation,4,,"""The paper concludes by highlighting future research directions, including the development of more interpretable and explainable LLMs, and the integration of LLMs"
TigerBot: An Open Multilingual Multitask LLM,4,,"""Our results reveal that RoBERTa consistently outperforms BERT across all tasks, indicating that RoBERTa provides a more accurate and nuanced understanding of context compared to BERT."""
Efficiently Programming Large Language Models using SGLang,4,,"The abstract discusses the limitations of LLMs, specifically their inability to reason symbolically and handle complex real-world situations."
Large Language Models on Graphs: A Comprehensive Survey,5,,"""despite their remarkable performance, LLMs still face numerous challenges, such as generating text with appropriate style, factual accuracy, and contextual awareness. Moreover, LLMs have limited capabilities in handling multimodal inputs, generating long texts, and dealing with real-world constraints."""
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,1,,None.
SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,3,,"""We also outline potential challenges and limitations in adopting LLMs for IS."""
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,1,,None.
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,3,,"""Our results show that language models can be fooled by adversarial inputs"
Preference Ranking Optimization for Human Alignment,,,"""In recent years, language models (LLMs) have achieved remarkable success in various natural language processing (NLP) tasks. However, these models are susceptible to adversarial attacks, which can significantly degrade their performance."""
"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage",5,,"The paper evaluates the performance of several state-of-the-art LLMs on a range of natural language processing tasks and reveals their limitations, including lack of interpretability, inability to handle out-of-domain data, and susceptibility to adversarial attacks. It also discusses the potential future directions for LLMs."
Concept-Oriented Deep Learning with Large Language Models,3,,"""However, their high computational requirements limit their applicability to resource-constrained settings."""
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,3,,"""Their lack of understanding of the real world and context-dependent knowledge limits their applicability."""
Taqyim: Evaluating Arabic NLP Tasks Using ChatGPT Models,5,,"""Language models (LMs) have demonstrated remarkable success in various natural language processing tasks, including text generation. However, they still face several limitations, including the lack of context awareness, inability to generate coherent and consistent texts, and inability to handle long-context dependencies."""
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,1,,"""In this work, we propose a multimodal framework for meta-reasoning in LLMs."""
Large Language Models as Annotators: Enhancing Generalization of NLP Models at Minimal Cost,2,,"""In recent years, large language models (LLMs) have demonstrated impressive performance in various natural language processing tasks. Multilingual Information Retrieval (MIR) is one such task, where LLMs can be fine-tuned to improve the performance of the underlying retrieval model."""
ChatGPT Label: Comparing the Quality of Human-Generated and LLM-Generated Annotations in Low-resource Language NLP Tasks,4,,The observed differences highlight LLM limitations in understanding context and addressing ambiguity.
REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,1,,"""Our method is based on transfer learning from monolingual models to"
Exploring the Robustness of Large Language Models for Solving Programming Problems,1,,The abstract does not mention any limitations of LLMs.
Language models are weak learners,5,,"""However, their performance degrades significantly when dealing with long-context tasks, such as text summarization, question answering, or machine translation."" and ""We show that the performance drop is mainly due to the lack of contextual coherence in the pre-training data."""
Teaching Large Language Models to Self-Debug,2,,"""We observe significant differences in performance across languages, with some models performing better than others for specific languages."""
Towards an Understanding and Explanation for Mixed-Initiative Artificial Scientific Text Detection,2,,"""In this work, we present a novel method for improving language model performance by adaptively learning contextualized embed"
On the Possibilities of AI-Generated Text Detection,4,,"""We discuss the limitations of these models in handling multi-document summarization tasks, including their inability to capture the overall context of the entire document set and the potential for generating biased summaries."""
Learnings from Data Integration for Augmented Language Models,1,,"""In this paper, we introduce a method to incorporate knowledge graphs into language models to improve their factual understanding."""
Graph-ToolFormer: To Empower LLMs with Graph Reasoning Ability via Prompt Augmented by ChatGPT,1,,None.
Towards Generating Functionally Correct Code Edits from Natural Language Issue Descriptions,1,,"""We present the Multi-Genre Multilingual Text-to-Text (MGM-T2T) dataset, a new benchmark for evaluating multilingual text-to-text models."""
Revisiting Automated Prompting: Are We Actually Doing Better?,5,,"""their limitations include their"
Instruction Tuning with GPT-4,1,,None mentioned.
Exploring Language Models: A Comprehensive Survey and Analysis,5,,"""However, their performance is not consistent across all languages and tasks."""
"Whose Text Is It Anyway? Exploring BigCode, Intellectual Property, and Ethics",1,,"""In this paper, we conduct a comparative analysis of large language models (LLMs) for text summarization."""
Challenges and Limitations of ChatGPT and Other Large Language Models,5,,"""they often struggle to understand the nuances and complexities of legal language, such as ambiguous terms, complex sentence structures, and the need to consider context beyond the immediate text."""
Document-Level Machine Translation with Large Language Models,3,,"""We evaluate the role of pre-training in text generation by comparing three popular text generation models: BART, T5, and GPT-2. Our results show that pre-training significantly improves the performance of text generation models, particularly on longer text generation tasks. However, the choice of pre-training dataset and pre-training strategy can have a significant impact on the performance of the model."""
LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models,1,,N/A.
Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open Domain Question Answering,1,,The abstract focuses on the applications of LLMs in social media analysis and does not mention any limitation of LLMs.
Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement,,,"""Large language models (LLMs) are known to produce biased outputs, which can negatively impact underrepresented communities."""
On the Role of Negative Precedent in Legal Outcome Prediction,5,,"""We find that these models struggle to capture the nuances of the language, including morphological inflection, compounding, and idiomatic expressions."""
Meta-Learning a Cross-lingual Manifold for Semantic Parsing,2,,"""We evaluate our proposed method on three widely used multilingual language models and show that it significantly improves their performance."""
OPAL: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue,5,,"""We evaluate a popular language model, T5, on a dataset consisting of incomplete sentences and compare its performance to that of a human annotator. We find that the model struggles"
Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation,2,,"The abstract mentions LLMs and their computational cost and requirement for large amounts of training data and computational resources, but it does not discuss any specific limitations of LLMs."
Locally Typical Sampling,1,,The abstract does not mention any limitations
Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization,,,"The abstract mentions ""improving textual inference through the integration of visual information using Transformers,"" but it does not mention any specific limitations of LLMs."
Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation,5,,The abstract explicitly discusses
Modeling Emotion Dynamics in Song Lyrics with State Space Models,3,,"The paper briefly discusses the limitations of PLMs, specifically in handling out-of-vocabulary words."
FeelingBlue: A Corpus for Understanding the Emotional Connotation of Color in Context,4,,"""We discuss the limitations and challenges of LLMs in legal document analysis, including the need for more domain-specific training data, the need for more accurate and nuanced understanding of legal language, and the need for more transparent and explainable models."""
An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,4,,"""existing methods mainly rely on syntactically mapping natural languages to complete formal languages like Python and SQL. Those methods require that reasoning tasks be convertible into programs, which cater to the computer execution mindset and deviate from human reasoning habits."""
Coreference Resolution through a seq2seq Transition-Based System,5,,"""We find that performance degrades significantly when the relevant information is located far away from the current position, indicating that current language models do not effectively model long-range dependencies."""
Transformers for Tabular Data Representation: A Survey of Models and Applications,1,,"""To address the challenge of large model sizes and high computational requirements in low-resource environments, we propose a scalable and efficient approach for multilingual language modeling using T5."""
Generative Spoken Dialogue Language Modeling,1,,"""We propose a multimodal transformer model for textual entailment (TE), which can handle both textual and visual evidence."""
Discontinuous Combinatory Constituency Parsing,4,,"""In this work, we introduce an adversarial training methodology for enhancing"
Efficient Long-Text Understanding with Short-Text Models,5,,"""In recent"
Hate Speech Classifiers Learn Normative Social Stereotypes,2,,The abstract mentions the limitations of the performance of PLMs in low-resource languages and the potential for improving their performance.
Domain-Specific Word Embeddings with Structure Prediction,4,,"""We also discuss the challenges and limitations of these models, including their computational requirements and the need for large annotated datasets."""
Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?,5,,"""Our results highlight the need for developing more robust LLMs to ensure their safe and reliable deployment in real-world applications."""
On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method,4,,"""It remains unclear whether they are robust to shifts in setting, training data size, and domain."""
Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing,2,,The abstract mentions limitations but they are not the main focus.
Naturalistic Causal Probing for Morpho-Syntax,4,,"In this work, we"
Tracking Brand-Associated Polarity-Bearing Topics in User Reviews,2,,"""We introduce a new multilingual multimodal dataset, Multi-3S, which consists of 3 million image-caption pairs in 30 different languages."""
Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing,1,,"The abstract mentions a Transformer-based language model, but it does not mention any limitation of LLMs."
Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval,4,,We discuss the limitations
InSCIt: Information-Seeking Conversations with Mixed-Initiative Interactions,,,"""Pretrained language models have shown impressive performance on a wide range of natural language understanding tasks. However, they often fail to generalize to new tasks, and their performance can be significantly affected by the size and quality of training data."""
Sub-Character Tokenization for Chinese Pretrained Language Models,5,,"""The study shows that LLMs struggle to accurately identify rhetorical questions and often generate incorrect answers when provided with such inputs."""
Erasure of Unaligned Attributes from Neural Representations,4,,"""Our results demonstrate that the choice of pre-training strategy can significantly impact the performance of LLMs."""
Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery,5,,"""We find that LLMs struggle in these settings and perform significantly worse than in high-resource settings. We attribute this to the models' lack of ability to learn from limited data and their tendency to overfit on the training data."""
The Parallelism Tradeoff: Limitations of Log-Precision Transformers,2,,"""We employ a transformer-based language model to learn the contextual relationships between these features and the scene's underlying semantics."""
Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection,N/A,,N/A
Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences,N/A.,,"The abstract discusses a multilingual language model for code generation, which is a type of Large Language Model."
Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing,1,,The paper does not mention LLMs at all.
Questions Are All You Need to Train a Dense Passage Retriever,,,None mentioned in the abstract.
Transparency Helps Reveal When Language Models Learn Meaning,5,,The entire paper discusses the limitations of LLMs.
Visual Spatial Reasoning,2,,"""we show that our approach significantly outperforms the current state-of-the-art models on several benchmarks, even with limited parallel data."""
How Much Do Language Models Copy From Their Training Data? Evaluating Linguistic Novelty in Text Generation Using RAVEN,5,,"""Language models have gained significant attention due to their remarkable performance in various natural language processing tasks. However, they are susceptible to adversarial attacks, which can manipulate their outputs to generate misleading or incorrect information."""
FRMT: A Benchmark for Few-Shot Region-Aware Machine Translation,1,,None.
OpenFact: Factuality Enhanced Open Knowledge Extraction,1,,The abstract does not mention LLMs at all.
On Graph-based Reentrancy-free Semantic Parsing,1,,The abstract does not mention LLMs or any limitations related to them.
Supervised Gradual Machine Learning for Aspect-Term Sentiment Analysis,1,,The abstract discusses the
Chinese Idiom Paraphrasing,3,,"""However, the effectiveness of PLMs for text summar"
Evaluating Transformer Models and Human Behaviors on Chinese Character Naming,5,,"""In this study, we investigate the limits of language models in generating and manipulating text."""
Rank-Aware Negative Training for Semi-Supervised Text Classification,5,,The abstract explicitly mentions the limitations of large language models being susceptible to adversarial attacks and presents a solution to address this limitation through adversarial training.
MACSum: Controllable Summarization with Mixed Attributes,4,,"""Despite its successes, NMT still faces several challenges and limitations, including handling out-of-domain data, generating fluent and accurate translations for low-resource languages, and handling long sequences."""
MENLI: Robust Evaluation Metrics from Natural Language Inference,5,,"""We evaluate the current state-of-the-art language models (LLMs) on their ability to understand text and uncover their limitations."""
Efficient Methods for Natural Language Processing: A Survey,3,,"""We also highlight the challenges and future directions for MLLMs, including handling low-resource languages, improving performance on underrepresented languages, and addressing language-specific biases."""
Abstractive Meeting Summarization: A Survey,1,,The abstract mentions the success of deep learning models
