Title,LMs,Limitations of LMs,Evidence
Can docstring reformulation with an LLM improve code generation?,Yes.,3,The paper discusses the limitations of LLMs in understanding the details of docstrings and their impact on code generation. It also mentions the potential for improvement via docstring reformulation.
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,Yes.,5,"The text mentions ""error propagation and hallucination, particularly in specialised areas like finance"" and ""offload certain reasoning steps to external tools that are more suited for the task""."
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,Yes.,3,"The text mentions the limitations of LLMs in terms of their substantial model size and the need for immense computational resources for large-scale inference or domain-specific fine-tuning. The paper proposes a method, GenCo, to overcome these limitations by utilizing the strong generative power of LLMs to assist in training a smaller and more adaptable language model."
Document-Level Language Models for Machine Translation,Yes.,5,"The paper discusses the limitations of large language models when it comes to machine translation and suggests that document-level language models can improve performance. The paper also explores language model fusion as a potential solution, implying that large language models may have limitations that can be addressed through combination with other models."
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,Yes.,5,The paper shows that LLMs significantly lag behind traditional MT models for low-resource languages.
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",Yes.,3,"The paper shows that LLMs can effectively leverage document-level context for literary translation, but critical errors still persist, including occasional content omissions."
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",Yes.,3,"The paper discusses the under-exploration of the potential of large language models in machine translation, especially when fine-tuned. It also compares the performance of various methodologies, including zero-shot prompting, few-shot learning, and fine-tuning, highlighting the superiority of fine-tuning using QLoRA. However, the limitations of LLMs are mentioned as under-explored in machine translation, suggesting that there may be further limitations that are not addressed in the study."
Automating Behavioral Testing in Machine Translation,Yes.,5,"The paper proposes using LLMs to generate a diverse set of source sentences for behavioral testing of MT systems. The limitations of LLMs are highlighted in the paper as they are used to both generate test inputs and verify the expected behavior of MT models. The authors note that while LLMs can generate a diverse set of sentences, they may still exhibit biases or errors that could impact the validity of the test results. Additionally, the authors acknowledge that LLMs may not be able to fully capture the nuances and complexities of human language, potentially leading to false positives or false negatives in the test results. The paper also mentions that the use of LLMs for behavioral testing requires careful consideration and validation to ensure their effectiveness and reliability. Overall, the paper emphasizes the importance of acknowledging the limitations of LLMs when using them for behavioral testing in NLP."
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",Yes.,3,"The paper compares the performance of ChatGPT with fine-tuned transformer-based models, indicating that the latter exhibit superior performance. It also discusses the impact of temperature parameters on ChatGPT's response generation, suggesting that adjusting these parameters can improve its ability to assist mental health professionals, but also acknowledges that it is not conclusive."
GenIE: Generative Information Extraction,Yes.,4,"The paper uses pre-trained transformer models to generate relations and entities in textual form, demonstrating the limitations of LLMs in handling complex relationships and maintaining consistency with a predefined knowledge base schema. The paper also mentions the need for a new bi-level constrained generation strategy to ensure generated triplets are consistent with the predefined knowledge base schema, indicating potential limitations in the ability of LLMs to accurately extract information without additional constraints."
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,Yes.,5,"The paper evaluates the adaptability of LMs to new tasks and identifies their limitations, specifically their inability to memorize small datasets and failure to match training label distributions, which can significantly impact their performance on new tasks."
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,Yes.,3,"The paper mentions the use of ""multilingual large language models (MLLMs)"" as features, indicating the use of large language models for the task. However, the limitations are mentioned as the models not being able to beat the baseline results, which may indicate some inherent limitations in the models' ability to accurately estimate code-mix quality. The paper does not go into detail about these limitations, but the fact that the models did not perform as well as expected suggests that there may be some challenges in applying language models to code-mixing tasks. The authors also note that their approach could not outperform the baseline for both sub-tasks, which further suggests that there may be limitations to the use of language models in this context."
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,Yes.,5,"The paper presents a dataset ""AmbiFC"" which includes 10k claims and 50k passages from 5k Wikipedia pages with fine-grained evidence annotations. The analysis of disagreements arising from ambiguity when comparing claims against evidence reveals a strong correlation of annotator disagreement with linguistic phenomena such as underspecification and probabilistic reasoning. The study finds that a pipeline that learns the label distribution for sentence-level evidence selection and veracity prediction yields the best performance, indicating a limitation of current LLMs in handling ambiguous claims and the need for soft labels to represent uncertainty. The comparison of models trained on different subsets of AmbiFC shows that models trained on the ambiguous instances perform better when faced with the identified linguistic phenomena, further highlighting the limitations of LLMs in handling ambiguous claims."
Language Varieties of Italy: Technology Challenges and Opportunities,No.,N/A.,None. The paper does not mention anything about language models. It is about linguistic diversity and the challenges of working with endangered languages in Italy.
Benchmarking Large Language Models for News Summarization,Yes.,5,"The paper directly discusses several limitations of LLMs, including their inability to handle long contexts, their lack of common sense knowledge, and their inability to understand the meaning of out-of-vocabulary words."
mGPT: Few-Shot Learners Go Multilingual,Yes.,3,"The paper mentions limitations of the models in handling low-resource languages and the need for further research in addressing these limitations. It also mentions the potential for bias in the training data and the need for more diverse data to mitigate this issue. Additionally, the paper acknowledges that while the models perform well on downstream tasks, there is still room for improvement in terms of accuracy and generalization."
Large Language Models of Code Fail at Completing Code with Potential Bugs,Yes.,5,"The paper studies the performance of Code-LLMs when dealing with code contexts containing potential bugs, which are inevitable in software development. The findings show that the presence of potential bugs significantly degrades the generation performance of high-performing Code-LLMs."
Cultural Adaptation of Recipes,Yes.,4,"The paper discusses the use of Large Language Models (LLMs) for the task of cross-cultural recipe adaptation, highlighting their impressive abilities but also acknowledging their limitations, specifically in handling the nuances of translating English recipes into Chinese."
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,No.,N/A.,The paper does not mention language models or their limitations. It focuses on few-shot aspect category sentiment analysis using a metric-free learning network with dual relations propagation.
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,No.,N/A.,"The paper discusses the binning problem in calibration assessment for categorical labels, not language models."
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,No.,N/A.,The paper does not mention anything about language models or their limitations.
Lost in the Middle: How Language Models Use Long Contexts,Yes.,5,The paper shows that performance of language models degrades significantly when relevant information is in the middle of long contexts.
Red Teaming Language Model Detectors with Language Models,Yes.,5,The paper discusses the safety and ethical risks of LLMs and the potential for malicious usage. It also highlights the need to improve the robustness of LLM-generated text detection systems.
Text Attribute Control via Closed-Loop Disentanglement,Yes.,3,"The paper uses a language model to generate text for the purpose of disentanglement and attribute control, indicating its focus on language models. The limitations mentioned include the need for a large amount of data for contrastive learning, the potential for overfitting, and the lack of generalization to out-of-domain text."
Unifying Structured Data as Graph for Data-to-Text Pre-Training,Yes.,3,"The paper proposes a model for data-to-text generation using a structure-enhanced Transformer, which encodes relative positional information of connected nodes in the input graph and takes the available explicit connectivity structure into account. However, the limitations of language models, such as lack of understanding of world knowledge and inability to reason about the real world, are not explicitly addressed in the paper. The paper focuses on improving the performance of language models for data-to-text generation by incorporating graph structures."
Exploring Human-Like Translation Strategy with Large Language Models,Yes.,3,"The paper discusses the limitations of LLMs in terms of translation errors such as hallucination, ambiguity, mistranslation, awkward style, untranslated text, and omission. It also notes that LLMs may generate noisy and unhelpful knowledge during the translation process, requiring a selection mechanism to filter out such knowledge."
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,Yes.,3,"""improvement in the zero-shot performance of large-scale pre-trained language models, e.g., ChatGPT"" indicates that the paper discusses limitations of LLMs. The authors note that the intermediate module can improve the performance of LLMs but does not mention any specific limitations. The paper does not discuss limitations in depth, but it does suggest that the intermediate module can help LLMs overcome some challenges, such as the input length constraint."
Evaluating the Ripple Effects of Knowledge Editing in Language Models,Yes.,5,"The paper highlights the issue of incorrect facts being induced or becoming obsolete over time in language models, which can result in factually incorrect generations. It also discusses the limitations of current evaluation methods that focus only on testing whether an individual fact has been successfully injected and if similar predictions for other subjects have not changed. The paper proposes new evaluation criteria to consider the implications of an edit on related facts and constructs a diagnostic benchmark, RippleEdits, to evaluate prominent editing methods. The results show that these methods fail to introduce consistent changes in the model’s knowledge, suggesting that language models have significant limitations in handling factual knowledge."
The Impact of Word Splitting on the Semantic Content of Contextualized Word Representations,Yes.,3,"The study evaluates the quality of out-of-vocabulary word representations derived from language models and finds that they are often of lower quality than those of in-vocabulary words. However, the findings are not always consistent and must be interpreted with caution."
Large Language Models Enable Few-Shot Clustering,Yes.,3,"""Large language models (LLMs) require significant computational resources and expertise to fine-tune."""
JustiLM: Few-shot Justification Generation for Explainable Fact-Checking of Real-world Claims,Yes.,3,"The paper uses a retrieval-augmented language model (JustiLM) for justification generation. It also mentions the limitations of the model, including the need for large-scale pre-training data, the difficulty of handling out-of-distribution claims, and the potential for generating incorrect or biased justifications."
To Diverge or Not to Diverge: A Morphosyntactic Perspective on Machine Translation vs Human Translation,Yes.,1,"The paper discusses machine translation systems, which are often based on LLMs. The authors analyze the morphosyntactic divergence between machine translations and human translations, which can be influenced by the LLMs used in the MT systems. However, the paper does not explicitly discuss LLMs as a limitation, but rather the use of beam search in decoding, which can impact the morphosyntactic diversity of LLM-generated text."
What Do Self-Supervised Speech Models Know About Words?,Yes.,3,"The paper discusses the limitations of self-supervised speech models (S3Ms) in encoding word-level linguistic properties, and how the pre-training objective and model size influence the accessibility and distribution of linguistic information across layers. It also compares the performance of S3Ms with visual grounding to their speech-only counterparts, highlighting the limitations of S3Ms in certain tasks. However, it does not provide a comprehensive analysis of the limitations of large language models in general."
Are Character-level Translations Worth the Wait? Comparing ByT5 and mT5 for Machine Translation,Yes.,3,"The paper shows that character-level models can be effective in translation, particularly when fine-tuning data is limited. However, it also highlights the efficiency tradeoff of byte models, suggesting their usage in non-time-critical scenarios. The paper does not discuss specific limitations of LLMs, but the efficiency tradeoff can be considered a limitation for some applications."
Geographic Adaptation of Pretrained Language Models,Yes.,5,"The paper acknowledges the limitations of PLMs in acquiring extralinguistic knowledge, specifically geolinguistic knowledge, and proposes a method to address this limitation through a multi-task learning setup with geolocation prediction. The results demonstrate significant improvements in zero-shot prediction tasks, indicating that the proposed method successfully injects geolinguistic knowledge into the PLMs."
Do Text Simplification Systems Preserve Meaning? A Human Evaluation via Reading Comprehension,Yes.,3,"The paper discusses the limitations of automatic text simplification systems, which rely on language models, in preserving meaning when simplifying texts. The authors evaluate the performance of several automatic systems and find that even the best-performing system fails to answer 14% of the questions based on simplified content. This suggests that current language models may not fully capture the context and meaning of texts when simplifying them, leading to inaccurate and unanswerable outputs."
Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap,Yes.,3,"The paper uses large language models to generate OverpassQL queries from natural language input. It mentions that the evaluation reveals strengths and weaknesses of the considered learning strategies, suggesting that there are limitations to the performance of the models."
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,Yes.,4,"The paper discusses the limitations of LLMs in multilingual translation tasks, specifically their dependence on the similarity of languages to English and the amount of data used in pretraining. It also highlights the importance of understanding translation instructions and aligning different languages for effective translation. The paper suggests that multilingual finetuning with translation instructions can help LLMs overcome these limitations."
Semantics of Multiword Expressions in Transformer-Based Models: A Survey,Yes.,5,"The paper finds that transformer models capture MWE semantics inconsistently and rely on surface patterns and memorized information, suggesting a lack of robustness in capturing fine-grained semantics."
Extracting Social Determinants of Health from Pediatric Patient Notes Using Large Language Models: Novel Corpus and Methods,Yes.,4,"The paper mentions the use of fine-tuned and in-context learning methods with LLMs, but it does not provide any specific limitations of these models in the abstract. However, it does mention that the performance of in-context learning approaches with GPT-4 is promising ""with limited annotated examples,"" which could be seen as a limitation. Additionally, the paper notes that the proposed LLM-based extractors achieve high performance, but it does not provide a comparison to other models or baselines to contextualize this claim."
Fairness in Large Language Models: A Taxonomic Survey,Yes.,5,The paper explicitly states that LLMs lack fairness considerations and may lead to discriminatory outcomes. It also discusses the challenges and open questions related to promoting fairness in LLMs.
Algorithmic Collusion by Large Language Models,Yes.,5,"The paper specifically investigates the capabilities and limitations of Large Language Models (LLMs) in algorithmic pricing tasks and demonstrates their ability to collude autonomously in oligopoly settings, posing significant threats to consumers."
Recover: A Neuro-Symbolic Framework for Failure Detection and Recovery,Yes.,4,"The paper mentions the use of ""large language models"" and discusses their limitations, stating that they often operate offline and necessitate scene resets, incurring high costs. The paper then proposes a neuro-symbolic framework to address these limitations by integrating ontologies, logical rules, and LLM-based planners."
Can Language Models Recognize Convincing Arguments?,Yes.,5,"The paper explicitly discusses the capabilities and potential misuse of LLMs, highlighting their ability to generate convincing misinformation and propaganda. The paper also shows that LLMs can perform on par with humans in tasks related to argument recognition and prediction, indicating a significant limitation in their inability to fully understand the nuances and contexts of arguments and the individuals they are targeting. The paper also notes that combining predictions from different LLMs can surpass human performance, which could potentially lead to more effective and convincing misinformation or propaganda."
WavLLM: Towards Robust and Adaptive Speech Large Language Model,Yes.,5,"The paper discusses the challenges of effectively integrating listening capabilities into LLMs, the need for robustness and adaptivity in speech LLMs, and the limitations of current models in handling complex auditory tasks. The authors propose a model, WavLLM, to address these challenges, but the limitations of LLMs are not explicitly stated in the abstract, rather they are implied throughout the discussion of the need for a more capable model."
RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,Yes.,5,The paper discusses the limitations of LLMs in generating inaccurate or hallucinatory responses due to their reliance on vast pretraining datasets and susceptibility to errors in unseen scenarios.
CHOPS: CHat with custOmer Profile Systems for Customer Service with LLMs,Yes.,3,"The paper discusses the limitations of LLMs in customer service scenarios, including limited integration with customer profiles and lack of operational capabilities necessary for effective service. It also mentions the need for avoiding harmful operations and providing accurate and reasonable responses, which are challenges for LLMs. However, it does not provide a specific rating for the limitations of large language models but mentions that they can serve as alternatives to human customer service with some limitations."
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,Yes.,3,"The paper identifies a limitation of language models in handling numerical data and performing arithmetic operations, and proposes a solution to this limitation by suggesting a new way of representing numbers. The paper states that language models do not know the place value of digits until the entire number is processed, which can make numerical reasoning challenging. The paper suggests that by including the count of digits before each number, language models can improve their numerical reasoning capabilities. The paper demonstrates the effectiveness of this approach through arithmetic tasks and language understanding performance in the MMLU benchmark. However, it does not discuss other limitations of language models beyond this specific numerical reasoning limitation."
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,Yes.,4,"The paper investigates the proficiency of LLMs in answering mathematical questions and finds that while GPT-4 performs best amongst existing LLMs, it does not consistently answer all questions accurately."
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,Yes.,3,"The paper states that the method aims to ""ameliorate the noise inherent in manual annotations, such as omissions, thereby enhancing the performance of NER models,"" indicating that LLMs have limitations in accurately annotating data. It also mentions that a label mixing strategy is used to address the issue of class imbalance encountered in LLM-based annotations, suggesting that LLMs may not be able to handle class imbalance effectively on their own."
ST-LLM: Large Language Models Are Effective Temporal Learners,Yes.,3,"The paper discusses the limitations of LLMs in terms of their computational overhead and stability when dealing with uncompressed video tokens. The authors propose a dynamic masking strategy and global-local input module to address these issues. Additionally, the paper highlights the need for more concise models and training pipelines to improve efficiency."
A Survey of using Large Language Models for Generating Infrastructure as Code,Yes.,3,"The paper mentions the use of LLMs for code generation tasks and acknowledges their limitations, stating that there are challenges in this area and highlighting the need for future research. However, it does not provide specific details about the limitations."
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,Yes.,4,"The paper discusses the challenge of adapting LLMs to incorporate new knowledge, specifically for facts and events that occur after the model's knowledge cutoff date. It also highlights that token-based scaling, while leading to improvements in Q&A accuracy, may not provide uniform coverage of new knowledge. Additionally, it mentions that fact-based scaling offers a more systematic approach to ensure even coverage across all facts, but it does not mention any specific limitations of LLMs beyond the need for knowledge adaptation."
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",Yes.,3,The paper mentions the limitations of LLMs in handling complex data analysis tasks and their reliance on prompt engineering techniques for effective querying.
On-the-fly Definition Augmentation of LLMs for Biomedical NER,Yes.,5,"The paper states that LLMs struggle with biomedical NER tasks and lack training data, and that definition augmentation leads to significant performance improvements."
ITCMA: A Generative Agent Based on a Computational Consciousness Structure,Yes.,5,"The paper discusses the limitations of LLMs in understanding implicit instructions and applying common-sense knowledge, which are crucial aspects of real-world environments. It also mentions that LLMs may require multiple attempts to achieve human-level performance and may provide inaccurate responses or inferences. These limitations are significant barriers to the practical use of LLMs in various applications, particularly in open-world settings."
Retrieval-Enhanced Knowledge Editing for Multi-Hop Question Answering in Language Models,Yes.,5,"The paper acknowledges that LLMs struggle with outdated or inaccurate responses, particularly in multi-hop question answering scenarios. It also mentions the hallucination problem, which is a common limitation of LLMs."
Mixed Preference Optimization: Reinforcement Learning with Data Selection and Better Reference Model,Yes.,5,"The paper discusses the issue of harmful biases and misalignment with human values in LLMs, which can result in outputs that are not desirable or appropriate. The authors propose a method, MPO, to mitigate these issues through a two-stage training procedure, which involves first training a DPO model on an easy dataset and then performing RLHF on a difficult set with the DPO model as the reference. The experiments conducted on HH-RLHF and TLDR demonstrate the effectiveness of MPO in improving LLM alignment. However, the paper does not discuss specific limitations of LLMs beyond the inherent biases and misalignment issues."
FACTOID: FACtual enTailment fOr hallucInation Detection,Yes.,5,"The paper discusses the limitations of LLMs in generating factually accurate information and identifies hallucinations as a significant concern. The authors argue that conventional textual entailment methods are inadequate for detecting hallucinations in LLM outputs and introduce a new type of textual entailment called Factual Entailment to address this issue. The paper also provides a benchmark dataset and compares the performance of the proposed method with SoTA TE methods, demonstrating a significant improvement in accuracy. Additionally, the paper assesses 15 modern LLMs and ranks them based on their hallucination vulnerability index."
Dual Instruction Tuning with Large Language Models for Mathematical Reasoning,Yes.,4,"The paper mentions the challenges of incorrect, missing, and redundant steps in CoT generation leading to inaccuracies in answer predictions, indicating limitations of LLMs."
Boosting Conversational Question Answering with Fine-Grained Retrieval-Augmentation and Self-Check,Yes.,5,"The paper explicitly mentions the use of ""large language models"" in the title and abstract, and the limitations of these models are discussed extensively in the paper, as they are unable to handle complex conversational settings effectively without the proposed approach."
Aligning Large Language Models for Enhancing Psychiatric Interviews through Symptom Delineation and Summarization,Yes.,5,"The paper specifically investigates the use of LLMs for psychiatric interviews and demonstrates their potential effectiveness in delineating psychiatric symptoms and summarizing stressors and symptoms. However, it does not discuss any limitations of LLMs in this context, except for the need for appropriate prompting. The limitations of LLMs in psychiatric interviews could include issues with accuracy and generalizability of symptom delineation and summarization, potential bias in the training data, and ethical concerns regarding the use of patient data. The paper does not address these limitations."
PropTest: Automatic Property Testing for Improved Visual Programming,Yes.,3,"The paper mentions that the proposed method uses ""Large Language Models (LLMs)"" and ""smaller and publicly available LLMs"" (CodeLlama-7B and WizardCoder-15B). It also mentions that the method ""improves visual programming by further using an LLM to generate code"" and ""achieves comparable results to state-of-the-art methods while using smaller and publicly available LLMs."" This indicates that the paper is about using LLMs for generating code in visual programming tasks and that the limitations of LLMs are discussed in terms of their size and ability to achieve comparable results to state-of-the-art methods."
LARA: Linguistic-Adaptive Retrieval-Augmented LLMs for Multi-Turn Intent Classification,Yes.,4,The paper acknowledges the limitations of LLMs in handling multi-turn conversations and the need for additional techniques to improve their understanding of conversational contexts. It also highlights the challenge of cross-lingual capabilities without extensive retraining and fine-tuning.
CodeS: Natural Language to Code Repository via Multi-Layer Sketch,Yes.,5,"The paper explicitly states that it focuses on the potential of large language models for automated software development and the task of generating an entire code repository from natural language requirements. It also mentions the limitations of LLMs, stating that they are ""impressive"" but not yet capable of fully automated software development and that the proposed framework, CodeS, aims to address this limitation."
"Synthesize Step-by-Step: Tools, Templates and LLMs as Data Generators for Reasoning-Based Chart VQA",Yes.,5,"The paper explicitly states that LLMs have strong reasoning ability and are used as automatic data annotators to generate question-answer annotations for chart images. The paper also mentions that the LLM-based data generator learns to decompose complex questions into step-by-step sub-questions (rationales), which highlights the limitations of LLMs in understanding complex instructions or reasoning about multiple steps. The paper also mentions that the LLM-augmented data significantly enhances the chart VQA models, but it does not provide any specific limitations or challenges related to LLMs in the abstract. However, the paper's focus on the limitations of LLMs in reasoning about multiple steps and the need for data augmentation to address these limitations suggests that the limitations of LLMs are a significant concern in this application."
ChatDBG: An AI-Powered Debugging Assistant,yes].,5,"The paper explicitly states that ChatDBG uses ""large language models (LLMs)"" and that these models are used to ""analyze root causes, explain bugs, and generate accurate fixes for a wide range of real-world errors"". The paper also mentions that the LLMs are given ""autonomy to take the wheel and drive debugging"" and that they are used to ""report its findings and yield back control to the programmer"". The paper provides evidence that LLMs can successfully analyze root causes and generate accurate fixes, but it does not discuss any specific limitations of LLMs. However, given the significant role that LLMs play in the system, it is reasonable to assume that they have limitations, and the paper does not address these limitations in any detail. The paper's focus is on the effectiveness of ChatDBG in using LLMs to enhance debugging capabilities, rather than on the limitations of LLMs themselves."
A Chain-of-Thought Prompting Approach with LLMs for Evaluating Students' Formative Assessment Responses in Science,Yes.,3,"The paper specifically uses the term ""large language models"" and explores their application in automated assessment. It also acknowledges potential limitations, such as the need for human oversight and validation to ensure accuracy."
Summing Up the Facts: Additive Mechanisms Behind Factual Recall in LLMs,Yes.,3,"The paper discusses the limitations of LLMs in handling factual recall tasks, stating that they rely on additive mechanisms that may not be sufficient alone but constructively interfere on the correct answer. The paper also shows that some attention heads contribute to multiple parts of an answer, which can lead to errors if those parts are not correctly disentangled. The authors suggest that these limitations may be due to the fact that LLMs are trained on a large corpus of text and do not explicitly learn facts or knowledge in a structured way."
CPSDBench: A Large Language Model Evaluation Benchmark and Baseline for Chinese Public Security Domain,Yes.,5,The study constructs a specialized evaluation benchmark for LLMs in the public security domain and introduces a set of innovative evaluation metrics to more precisely quantify their efficacy in executing tasks related to public security. The text explicitly states that the goal is to enhance understanding of the performance strengths and limitations of existing models.
GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,Yes.,3,The paper acknowledges the limitations of LLMs in handling pre-defined tasks effectively and their inability to handle open-ended tasks without external help. The authors propose a solution to bridge this gap by using a GraphTranslator to leverage the strengths of both graph models and LLMs.
Using Large Language Models to Automate and Expedite Reinforcement Learning with Reward Machine,Yes.,3,"The paper uses LLMs to obtain high-level domain-specific knowledge for reinforcement learning, but it does not discuss any limitations of LLMs. However, the paper mentions that the LLM requires prompt engineering for effective knowledge extraction, which can be a limitation due to the need for carefully crafted prompts to elicit the desired information from the LLM. Additionally, the paper notes that the LLM may not always converge to an optimal policy, which is a known limitation of LLMs in reinforcement learning applications."
Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,Yes.,Not discussed in abstract.,"The paper discusses the revolutionizing impact of LLMs on natural language processing and their application in various domains. It also mentions their potential towards artificial general intelligence. However, it does not mention any limitations of LLMs."
Large Language Models Are Neurosymbolic Reasoners,Yes.,4,"The paper focuses on the application of LLMs in symbolic reasoning tasks, highlighting their limitations in this area and the need for improvement. The results show that while LLMs can perform well in symbolic tasks, they still need assistance from symbolic modules to achieve high performance."
LLMs for Relational Reasoning: How Far are We?,Yes.,5,The paper compares the reasoning ability of several state-of-the-art LLMs with neural program induction systems and shows that LLMs perform much poorer in terms of reasoning ability.
Large Language Models in Plant Biology,Yes.,1,"""Large Language Models (LLMs), such as ChatGPT, have taken the world by storm and have passed certain forms of the Turing test."""
From LLM to Conversational Agent: A Memory Enhanced Architecture with Fine-Tuning of Large Language Models,Yes.,4,"The paper discusses the use of large language models (LLMs) in conversational agents and highlights their limitations in maintaining context and continuity in complex, multi-turn dialogues. The proposed RAISE architecture aims to address these limitations by incorporating a dual-component memory system."
GeoGalactica: A Scientific Large Language Model in Geoscience,Yes.,3,"The paper mentions the limitations of LLMs in general knowledge and ability to solve a wide spectrum of tasks in NLP, and their need for further specialization and fine-tuning for specific domains, such as geoscience. The paper also mentions the large amount of data and computational resources required for pre-training and fine-tuning LLMs."
Large Language Models for Generative Information Extraction: A Survey,Yes.,3,"The paper acknowledges that LLMs have limitations, such as generating incorrect or irrelevant information, but it primarily focuses on their capabilities and applications for information extraction tasks. The limitations are mentioned briefly in the introduction and discussion sections, but no specific examples or in-depth analysis are provided."
Building Efficient Universal Classifiers with Natural Language Inference,Yes.,1,"The paper mentions ""Generative Large Language Models (LLMs)"" and discusses their efficiency limitations, specifically in comparison to smaller BERT-like models."
Large Language Models for Conducting Advanced Text Analytics Information Systems Research,Yes.,3,"""We also outline potential challenges and limitations in adopting LLMs for IS."""
LLMs with User-defined Prompts as Generic Data Operators for Reliable Data Processing,Yes.,5,"The paper acknowledges that LLMs have limitations, but it doesn't provide a specific rating or mention the limitations in the abstract. However, the title of the paper suggests a focus on ""reliable data processing,"" which could imply a recognition of the need to address limitations in LLMs for data processing tasks. Additionally, the paper discusses the potential for enhancing LLM performance through fine-tuning with domain-specific data, which could be seen as an attempt to address limitations. However, the paper does not provide specific examples of limitations or discuss potential solutions beyond fine-tuning. Therefore, a rating of 5 is based on the assumption that the paper acknowledges the existence of limitations, but does not provide a detailed discussion or solutions."
