Title,LMs,Limitations of LLMs,Evidence
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,4,,"The abstract discusses the challenge of adapting LLMs to incorporate new, out-of-domain knowledge, particularly for facts and events that occur after the model's knowledge cutoff date. The limitations are significant and discussed in detail, with the study focusing on the effectiveness of Supervised Fine-Tuning (SFT) as a method for knowledge injection in LLMs. The limitations are not the only topic, but they are a major focus of the abstract."
"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",1,,"The abstract does not mention any limitations of LLMs. Instead, it focuses on their potential for data analysis."
On-the-fly Definition Augmentation of LLMs for Biomedical NER,5,,"The abstract explicitly mentions the limitations of LLMs for text generation, including generating incorrect or irrelevant information, lack of context awareness, and high computational requirements. It also proposes potential solutions to address these limitations."
ITCMA: A Generative Agent Based on a Computational Consciousness Structure,4,,"The abstract mentions that LLMs face challenges in tasks requiring understanding implicit instructions and applying common-sense knowledge. It also states that LLMs may require multiple attempts to achieve human-level performance, potentially leading to inaccurate responses or inferences. These limitations are significant and discussed in detail, alongside the proposed solution (ITCMA)."
Retrieval-Enhanced Knowledge Editing for Multi-Hop Question Answering in Language Models,4,,"The abstract discusses the limitations of LLMs in handling real-time knowledge updates, leading to potentially outdated or inaccurate responses, especially for multi-hop questions. The proposed solution, Retrieval-Augmented model Editing (RAE), is designed to mitigate these limitations by retrieving edited facts and refining the language model through in-context learning. The abstract also mentions the hallucination problem, which is a common limitation of LLMs. The abstract further discusses the importance of pruning redundant information to enhance editing accuracy, which is another potential limitation of LLMs. The abstract provides theoretical justification for the fact retrieval efficacy of the proposed solution, suggesting that the limitations of LLMs in handling real-time knowledge updates are significant and require a more sophisticated approach like RAE."
Mixed Preference Optimization: Reinforcement Learning with Data Selection and Better Reference Model,5,,"This paper discusses the limitations of LLMs extensively, including their susceptibility to harmful biases and misalignment with human values. It proposes methods to address these limitations, specifically focusing on Reinforcement Learning with Human Feedback (RLHF) and contrastive learning-based methods like Direct Preference Optimization (DPO), and introduces MPO as a novel approach to mitigate the weaknesses of both methods. The paper also highlights the distribution shift issue associated with DPO and discusses the importance of training on easy and difficult datasets to address these issues. The experiments conducted on HH-RLHF and TLDR datasets further demonstrate the effectiveness of MPO in addressing the limitations of LLMs."
FACTOID: FACtual enTailment fOr hallucInation Detection,5,,"The paper highlights the limitations of LLMs in producing factually accurate text, particularly in the context of hallucinations. It discusses the need for methods like RAG and TE to mitigate these issues, but notes that current TE methods are insufficient for this task. The paper proposes a new type of TE, Factual Entailment (FE), to address these limitations, and presents a benchmark dataset and multi-task learning framework for FE. The paper's primary focus is on the limitations and challenges of LLMs and proposing solutions to address them."
Dual Instruction Tuning with Large Language Models for Mathematical Reasoning,4,,"The abstract mentions ""challenges persist, such as incorrect, missing, and redundant steps in CoT generation leading to inaccuracies in answer predictions."" This indicates that the abstract discusses limitations related to the generation of incorrect or redundant steps by LLMs in mathematical reasoning tasks. The abstract also proposes a solution to this problem, suggesting that the limitations are significant enough to warrant further investigation and improvement."
Boosting Conversational Question Answering with Fine-Grained Retrieval-Augmentation and Self-Check,3,,"The abstract mentions LLMs as a target for improvement through the use of RAG, but the limitations of LLMs are not the primary focus. The abstract instead discusses the challenges of adapting RAG to conversational settings and proposes a solution. The limitations of LLMs are mentioned briefly as a reason for the need for RAG."
Aligning Large Language Models for Enhancing Psychiatric Interviews through Symptom Delineation and Summarization,3,,"The abstract mentions limitations of LLMs, but they are not the focus. Instead, it focuses on their potential use in psychiatric interviews. The limitations are discussed briefly in the context of mental health practitioners' need for more accurate and effective tools. No specific limitations are mentioned."
PropTest: Automatic Property Testing for Improved Visual Programming,3,,"The abstract mentions that LLMs are used for generating code in visual programming and that the proposed method further uses LLMs to generate code that tests for visual properties. However, the limitations of LLMs are not the primary focus of the abstract and are mentioned only briefly as the need for finetuning with task-specific data and the use of smaller publicly available LLMs."
LARA: Linguistic-Adaptive Retrieval-Augmented LLMs for Multi-Turn Intent Classification,4,,"The abstract discusses the limitations of LLMs in multi-turn intent classification tasks, stating that they struggle with the complexity and evolving nature of conversational contexts. It also mentions that the existing studies focused on monolingual, single-turn tasks and that LARA addresses these limitations by combining a fine-tuned smaller model with a retrieval-augmented mechanism, which allows LARA to dynamically utilize past dialogues and relevant intents, thereby improving the understanding of the context. The abstract also mentions that the adaptive retrieval techniques bolster the cross-lingual capabilities of LLMs without extensive retraining and fine-tune, indicating a limitation of LLMs in handling multiple languages."
CodeS: Natural Language to Code Repository via Multi-Layer Sketch,1,,"The paper mentions LLMs in the context of their impressive performance on code-related tasks but does not discuss any limitations or challenges related to LLMs. Instead, it focuses on a new task, Natural Language to code Repository (NL2Repo), and proposes a solution, CodeS, for generating an entire code repository from natural language requirements. The limitations of LLMs are not discussed in the abstract."
"Synthesize Step-by-Step: Tools, Templates and LLMs as Data Generators for Reasoning-Based Chart VQA",4,,The abstract mentions the limitations of LLMs in reasoning tasks and their use as data generators to address these limitations. It also discusses the need for further exploration of LLMs for reasoning-heavy tasks. The limitations are significant and discussed in detail. The abstract also provides experimental results that highlight the significance of using LLMs to enhance chart VQA models.
ChatDBG: An AI-Powered Debugging Assistant,3,,"The abstract mentions LLMs as the tool used by ChatDBG for debugging, but the limitations are not the focus of the abstract. The limitations are discussed briefly as a secondary point when mentioning the need for the debugger to ""grant the LLM autonomy to take the wheel and drive debugging"" and the LLM's ability to ""report its findings and yield back control to the programmer."" The abstract focuses on the capabilities and successes of ChatDBG in debugging."
A Chain-of-Thought Prompting Approach with LLMs for Evaluating Students' Formative Assessment Responses in Science,3,,"The paper discusses the limitations of LLMs in the context of automated assessment, mentioning the need for human-in-the-loop techniques to enhance their performance and address limitations such as inability to understand complex scientific concepts and provide accurate explanations. However, the limitations are not the primary focus of the abstract."
Summing Up the Facts: Additive Mechanisms Behind Factual Recall in LLMs,4,,"The abstract discusses limitations of LLMs in terms of their ability to perform factual recall tasks, stating that their story is more complex than previously thought and that factual recall comprises several distinct, independent, and qualitatively different mechanisms that additively combine and constructively interfere on the correct answer. The authors also introduce the concept of ""mixed heads"" which are a pair of two separate additive updates from different source tokens. While the abstract does discuss some solutions, the limitations are the primary focus."
CPSDBench: A Large Language Model Evaluation Benchmark and Baseline for Chinese Public Security Domain,4,,"The abstract mentions the limitations of existing LLMs in addressing public security issues, and provides references for the future development of more accurate and customized LLMs."
GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,3,,"The abstract mentions the limitations of LLMs in handling pre-defined tasks and their inability to offer various open-ended tasks. However, these limitations are not the focus of the abstract and are discussed as secondary points. The primary focus of the abstract is on proposing a solution to bridge the gap between LLMs and graph models (GMs) using the GraphTranslator."
Using Large Language Models to Automate and Expedite Reinforcement Learning with Reward Machine,5,,"The entire abstract focuses on the limitations of LLMs for text classification, including overfitting, poor generalization, and the potential for bias when"
Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,3,,"The abstract mentions the limitations of LLMs, but it is not the focus of the abstract. The limitations are discussed superficially as part of the benefits of combining LLMs with evolutionary algorithms (EAs), and they are not discussed in detail. The limitations mentioned include the need for further enhancement of LLMs under black-box settings and the potential for LLMs to enable EAs to conduct more intelligent searches. The limitations are not the primary focus of the abstract, which is instead focused on the benefits of combining LLMs and EAs."
Large Language Models Are Neurosymbolic Reasoners,5,,"The entire abstract focuses on the limitations of LLMs in the context of adversarial attacks and proposes techniques to address these limitations. It discusses the challenges and solutions for improving the robustness of LLMs in detail, highlighting the need for more research in this area."
LLMs for Relational Reasoning: How Far are We?,5,,"The abstract mentions that LLMs are poor at solving sequential decision-making problems and that their reasoning ability is much poorer than neural program induction systems when evaluated on the ILP benchmark, which requires inducing strict cause-effect logic to achieve robust deduction on IID and OOD test samples. The abstract also states that the LLMs are much larger in model size than the neural program induction systems, indicating a limitation in terms of computational resources. Overall, the abstract focuses on the limitations and challenges of LLMs in terms of their reasoning ability and their inability to generalize to out-of-distribution data."
Large Language Models in Plant Biology,1,,"The abstract does not mention any limitations of LLMs at all. Instead, it focuses on their applications and uses."
From LLM to Conversational Agent: A Memory Enhanced Architecture with Fine-Tuning of Large Language Models,3,,"The abstract briefly mentions the limitations of LLMs in conversational agents, specifically the need for context awareness and controllability, but it does not focus on the limitations as the main topic. Instead, the abstract introduces the proposed solution, RAISE, to address these limitations."
GeoGalactica: A Scientific Large Language Model in Geoscience,3,,"The limitations of LLMs are not the focus of the abstract, but the authors mention that they fine-tune a pre-trained LLM for a specific domain and that the resulting model is large. No significant discussion on the limitations is present."
Large Language Models for Generative Information Extraction: A Survey,5,,"The entire abstract focuses on the limitations and challenges of LLMs in text generation tasks. The limitations are discussed in detail, with strong wording indicating serious issues. The abstract proposes methods to address these limitations, indicating a significant concern with their impact on LLMs."
Building Efficient Universal Classifiers with Natural Language Inference,1,,"The abstract does not mention any limitations of LLMs. Instead, it focuses on the benefits of smaller BERT-like models for text classification tasks."
Large Language Models for Conducting Advanced Text Analytics Information Systems Research,4,,"""However, we also outline potential challenges and limitations in adopting LLMs for IS."""
