Source ,Title,Talks about LLMs,Rate,Evidence
emnlp2022,"The better your Syntax, the better your Semantics? Probing Pretrained Language Models for the English Comparative Correlative",Yes.,5,"""Our results show that all three investigated PLMs are able to recognise the structure of the CC but fail to use its meaning. While human-like performance of PLMs on many NLP tasks has been alleged, this indicates that PLMs still suffer from substantial shortcomings in central domains of linguistic knowledge."""
emnlp2022,Is a Question Decomposition Unit All We Need?,Yes.,2,"""building new LMs may not be an ideal option owing to the cost, time and environmental impact associated with it."""
emnlp2022,SLING: Sino Linguistic Evaluation of Large Language Models,Yes.,3,"""Our experiments show that the average accuracy for LMs is far below human performance (69.7% vs. 97.1%),"" and ""we find that most LMs have a strong gender and number (singular/plural) bias, and they perform better on local phenomena than hierarchical ones."""
emnlp2022,Differentially Private Language Models for Secure Data Sharing,Yes.,3,"""In practice, these approaches are often dissatisfying in terms of the quality of their output language due to the strong noise required for local differential privacy."""
emnlp2022,LittleBird: Efficient Faster & Longer Transformer for Question Answering,Yes.,5,"""But it has a limitation dealing with long inputs due to its attention mechanism."""
emnlp2022,PLOG: Table-to-Logic Pretraining for Logical Table-to-Text Generation,,,
emnlp2022,Rethinking the Authorship Verification Experimental Setups,No.,1,The abstract does not mention LLMs or any other language models.
emnlp2022,Invariant Language Modeling,Yes.,5,"""Yet, they suffer from spurious correlations, poor out-of-domain generalization, and biases."""
emnlp2022,InforMask: Unsupervised Informative Masking for Language Model Pretraining,,,
emnlp2022,Mutual Information Alleviates Hallucinations in Abstractive Summarization,Yes.,5,"""these models still exhibit the tendency to hallucinate, i.e., output content not supported by the source document."""
emnlp2022,Fine-tuned Language Models are Continual Learners,,,
emnlp2022,Bernice: A Multilingual Pre-trained Encoder for Twitter,Yes.,1,"""The language of Twitter differs significantly from that of other domains commonly included in large language model training."""
emnlp2022,Just Fine-tune Twice: Selective Differential Privacy for Large Language Models,Yes.,3,"""applying differential privacy (DP), a canonical notion with provable privacy guarantees for machine learning models, to those models remains challenging due to the trade-off between model utility and privacy loss."""
emnlp2022,Textual Manifold-based Defense Against Natural Language Adversarial Examples,Yes.,3,"""Despite the recent success of large pretrained language models in NLP, they are susceptible to adversarial examples."""
emnlp2022,FLUTE: Figurative Language Understanding through Textual Explanations,Yes.,1,"""We show how utilizing GPT-3 in conjunction with human annotators (novices and experts) can aid in scaling up the creation of datasets even for such complex linguistic phenomena as figurative language."""
emnlp2022,One size does not fit all: Investigating strategies for differentially-private learning across NLP tasks,Yes.,2,"""stricter privacy guarantees in differentially-private stochastic gradient descent (DP-SGD) generally degrade model performance."""
emnlp2022,Tutoring Helps Students Learn Better: Improving Knowledge Distillation for BERT with Tutor Network,Yes.,3,"""typical KD approaches for language models have overlooked the difficulty of training examples, suffering from incorrect teacher prediction transfer and sub-efficient training."""
emnlp2022,Multitask Instruction-based Prompting for Fallacy Recognition,Yes.,1,"""we approach these differences across datasets as multiple tasks and show how instruction-based prompting in a multitask setup based on the T5 model improves the results against approaches built for a specific dataset such as T5, BERT or GPT-3."""
emnlp2022,Towards Table-to-Text Generation with Pretrained Language Model: A Table Structure Understanding and Text Deliberating Approach,Yes.,3,"""Although remarkable progress on the neural table-to-text methods has been made, the generalization issues hinder the applicability of these models due to the limited source tables."" and ""However, how to effectively bridge the gap between the structured table and the text input by fully leveraging table information to fuel the pretrained model is still not well explored."""
emnlp2022,Rainier: Reinforced Knowledge Introspector for Commonsense Question Answering,Yes.,3,"""knowledge retrieved from knowledge bases are incomplete and knowledge generated from language models are inconsistent."""
emnlp2022,Few-shot Learning with Multilingual Generative Language Models,Yes.,3,"""their training data is dominated by English, potentially limiting their cross-lingual generalization."""
emnlp2022,Active Example Selection for In-Context Learning,Yes.,3,"""We demonstrate that in-context learning performance can be highly unstable across samples of examples, indicating the idiosyncrasies of how language models acquire information."" and ""However, the improvement diminishes on larger GPT-3 models, suggesting emerging capabilities of large language models."""
emnlp2022,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Yes.,5,"""Despite their strong performance on many tasks, pre-trained language models have been shown to struggle on out-of-distribution compositional generalization."" and ""Overall, our study highlights limitations of current techniques for effectively leveraging model scale for compositional generalization, while our analysis also suggests promising directions for future work."""
emnlp2022,Improving Large-scale Paraphrase Acquisition and Generation,Yes.,1,"""the best pre-trained language model fine-tuned on our dataset achieves the state-of-the-art performance of 84.2 F1 for automatic paraphrase identification."""
emnlp2022,Entropy- and Distance-Based Predictors From GPT-2 Attention Patterns Predict Reading Times Over and Above GPT-2 Surprisal,Yes.,1,"""Transformer-based large language models are trained to make predictions about the next word by aggregating representations of previous tokens through their self-attention mechanism."""
emnlp2022,"Learning Cross-Task Dependencies for Joint Extraction of Entities, Events, Event Arguments, and Relations",,,
emnlp2022,Correcting Diverse Factual Errors in Abstractive Summarization via Post-Editing and Language Model Infilling,Yes.,3,"""Abstractive summarization models often generate inconsistent summaries containing factual errors or hallucinated content."""
emnlp2022,Fine-Tuning Pre-trained Transformers into Decaying Fast Weights,Yes.,3,"""Autoregressive Transformers are strong language models but incur O(T) complexity during per-token generation due to the self-attention mechanism."""
emnlp2022,Adapting a Language Model While Preserving its General Knowledge,Yes.,3,"""However, existing DA-training methods are in some sense blind as they do not explicitly identify what knowledge in the LM should be preserved and what should be changed by the domain corpus."""
emnlp2022,Continual Training of Language Models for Few-Shot Learning,Yes.,1,"""This paper proposes the problem of continually extending an LM by incrementally post-train the LM with a sequence of unlabeled domain corpora to expand its knowledge without forgetting its previous skills."""
emnlp2022,Graph-Induced Transformers for Efficient Multi-Hop Question Answering,Yes.,3,"""Previous approaches to MHQA relied on leveraging the graph information along with the pre-trained language model (PLM) encoders. However, this trend exhibits the following drawbacks"
emnlp2022,Pneg: Prompt-based Negative Response Generation for Dialogue Response Selection Task,Yes.,1,"""To overcome these limitations, this paper proposes a simple but efficient method for generating adversarial negative responses leveraging a large-scale language model."""
emnlp2022,Neighborhood Contrastive Learning for Scientific Document Representations with Citation Embeddings,Yes.,1,"""Furthermore, we demonstrate that it can train (or tune) language models sample-efficiently and that it can be combined with recent training-efficient methods."""
emnlp2022,A Systematic Investigation of Commonsense Knowledge in Large Language Models,Yes.,5,"""Our findings highlight the limitations of pre-trained LMs in acquiring commonsense knowledge without task-specific supervision; furthermore, using larger models or few-shot evaluation is insufficient to achieve human-level commonsense performance."""
emnlp2022,SEAL: Interactive Tool for Systematic Error Analysis and Labeling,Yes.,5,"""However, many times these models systematically fail on tail data or rare groups not obvious in aggregate evaluation."""
emnlp2022,Knowledge Distillation Transfer Sets and their Impact on Downstream NLU Tasks,Yes.,2,"""the generic corpora used to pretrain the teacher and the corpora associated with the downstream target domain are often significantly different, which raises a natural question"
emnlp2022,Grafting Pre-trained Models for Multimodal Headline Generation,Yes.,3,"""A major challenge in simply gluing language model and video-language model is the modality balance, which is aimed at combining visual-language complementary abilities."""
emnlp2022,QUILL: Query Intent with Large Language Models using Retrieval Augmentation and Multi-stage Distillation,Yes.,3,"""Search queries though pose a unique challenge, given their short-length and lack of nuance or context. Complicated feature engineering efforts do not always lead to downstream improvements as their performance benefits may be offset by increased complexity of knowledge distillation."""
acl2022,AlephBERT: Language Model Pre-training and Evaluation from Sub-Word to Sentence Level,Yes.,1,"""First, so far, Hebrew resources for training large language models are not of the same magnitude as their English counterparts. Second, most benchmarks available to evaluate progress in Hebrew NLP require morphological boundaries which are not available in the output of standard PLMs."""
acl2022,GLM: General Language Model Pretraining with Autoregressive Blank Infilling,Yes.,1,"""We propose a General Language Model (GLM) based on autoregressive blank infilling to address this challenge."""
acl2022,Towards Comprehensive Patent Approval Predictions:Beyond Traditional Document Classification,No.,1,The abstract focuses on patent approval predictions and does not mention language models or their limitations.
acl2022,Answer-level Calibration for Free-form Multiple Choice Question Answering,Yes.,3,"""it often requires task-specific heuristics such as length normalization, or probability calibration."""
acl2022,Meta-learning via Language Model In-context Tuning,Yes.,1,"""Inspired by the recent progress in large language models,"" and ""we fine-tune a pre-trained language model (LM) to predict the target label given the input sequence on a collection of tasks."""
acl2022,RoCBert: Robust Chinese Bert with Multimodal Contrastive Pretraining,Yes.,3,"""Large-scale pretrained language models have achieved SOTA results on NLP tasks. However, they have been shown vulnerable to adversarial attacks especially for logographic languages like Chinese."""
acl2022,Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4,"""Human-like biases and undesired social stereotypes exist in large pretrained language models. Given the wide adoption of these models in real-world applications, mitigating such biases has become an emerging and important task."""
acl2022,A Closer Look at How Fine-tuning Changes BERT,Yes.,1,"""Finally, by comparing the representations before and after fine-tuning, we discover that fine-tuning does not introduce arbitrary changes to representations; instead, it adjusts the representations to downstream tasks while largely preserving the original spatial structure of the data points."""
acl2022,GPT-D: Inducing Dementia-related Linguistic Anomalies by Deliberate Degradation of Artificial Neural Language Models,Yes.,2,"""questions remain about their ability to generalize beyond the small reference sets that are publicly available for research."""
acl2022,Distributionally Robust Finetuning BERT for Covariate Drift in Spoken Language Understanding,Yes.,2,"""Experiments show that a state-of-the-art BERT-based model suffers performance loss under this drift."""
acl2022,CTRLEval: An Unsupervised Reference-Free Metric for Evaluating Controlled Text Generation,Yes.,1,"""Experimental results show that our metric has higher correlations with human judgments than other baselines, while obtaining better generalization of evaluating generated texts from different models and with different qualities."""
acl2022,Are Prompt-based Models Clueless?,Yes.,5,"""models with a task-specific head require a lot of training data, making them susceptible to learning and exploiting dataset-specific superficial cues that do not generalize to other datasets"" and ""Analyzing few-shot prompt-based models on MNLI, SNLI, HANS, and COPA has revealed that prompt-based models also exploit superficial cues. While the models perform well on instances with superficial cues"
acl2022,Contextual Representation Learning beyond Masked Language Modeling,Yes.,3,"""it adopts sampled embeddings as anchors to estimate and inject contextual semantics to representations, which limits the efficiency and effectiveness of MLMs."""
acl2022,Unsupervised Corpus Aware Language Model Pre-training for Dense Passage Retrieval,Yes.,2,"""fragility to training data noise and ii) requiring large batches to robustly learn the embedding space."""
acl2022,Confidence Based Bidirectional Global Context Aware Training Framework for Neural Machine Translation,No.,1,The abstract discusses neural machine translation (NMT) models and their limitations but does not mention LLMs or their limitations.
acl2022,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Yes.,5,"""Models generated many false answers that mimic popular misconceptions and have the potential to deceive humans."" and ""The largest models were generally the least truthful."""
acl2022,ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection,,,
acl2022,NumGLUE: A Suite of Fundamental yet Challenging Mathematical Reasoning Tasks,,,
acl2022,Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,Yes.,4,"""We investigate the bias transfer hypothesis"
acl2022,ePiC: Employing Proverbs in Context as a Benchmark for Abstract Language Understanding,Yes.,3,"""Our experiments show that neural language models struggle on these tasks compared to humans, and these tasks pose multiple learning challenges."""
acl2022,Bag-of-Words vs. Graph vs. Sequence in Text Classification: Questioning the Necessity of Text-Graphs and the Surprising Strength of a Wide MLP,Yes.,1,"""Moreover, we fine-tune a sequence-based BERT and a lightweight DistilBERT model, which both outperform all state-of-the-art models."""
acl2022,Compression of Generative Pre-trained Language Models via Quantization,Yes.,3,"""Despite various methods to compress BERT or its variants, there are few attempts to compress generative PLMs, and the underlying difficulty remains unclear."" and ""We find that previous quantization methods fail on generative tasks due to the homogeneous word embeddings caused by reduced capacity and the varied distribution of weights."""
acl2022,KinyaBERT: a Morphology-aware Kinyarwanda Language Model,Yes.,3,"""the unsupervised sub-word tokenization methods commonly used in these models (e.g., byte-pair encoding - BPE) are sub-optimal at handling morphologically rich languages."" and ""naive sequencing of morphemes into a standard BERT architecture is inefficient at capturing morphological compos"
acl2022,Flooding-X: Improving BERT’s Resistance to Adversarial Attacks via Loss-Restricted Fine-Tuning,Yes.,1,"""We experimentally show that our method improves BERT’s resistance to textual adversarial attacks by a large margin, and achieves state-of-the-art robust accuracy on various text classification and GLUE tasks."""
acl2022,What does the sea say to the shore? A BERT based DST style approach for speaker to dialogue attribution in novels,No.,1,The abstract does not mention LLMs or any of their limitations.
acl2022,Probing Simile Knowledge from Pre-trained Language Models,Yes.,1,"""The knowledge embedded in PLMs may be useful for SI and SG tasks. Nevertheless, there are few works to explore it."""
acl2022,SHIELD: Defending Textual Neural Networks against Multiple Black-Box Adversarial Attacks with Stochastic Multi-Expert Patcher,Yes.,2,"""In particular, the state-of-the-art transformer models (e.g., BERT, RoBERTa) require great time and computation resources."""
acl2022,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,Yes.,5,"""Large pretrained generative models like GPT-3 often suffer from hallucinating non-existent or incorrect content, which undermines their potential merits in real applications."""
acl2022,Low-Rank Softmax Can Have Unargmaxable Classes in Theory but Rarely in Practice,Yes.,3,"""In theory, the result is some words may be impossible to be predicted via argmax, irrespective of input features, and empirically, there is evidence this happens in small language models (Demeter et al., 2020)."""
acl2022,Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,Yes.,4,"""errors in machine generations become ever subtler and harder to spot,"" and ""the ten error categories of Scarecrow—such as redundancy, commonsense errors, and incoherence."""
acl2022,Transkimmer: Transformer Learns to Layer-wise Skim,No.,1,The abstract focuses on improving the computational efficiency of Transformer-based models and does not specifically discuss LLMs or their limitations.
acl2022,ABC: Attention with Bounded-memory Control,Yes.,3,"""However, their attention mechanism comes with a quadratic complexity in sequence lengths, making the computational overhead prohibitive, especially for long sequences."""
acl2022,Cluster & Tune: Boost Cold Start Performance in Text Classification,Yes.,1,"""the common practice of fine-tuning pre-trained models, such as BERT, for a target classification task, is prone to produce poor performance."""
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,5,"""existing prompt-based techniques fail on the semantic distinction task of the Word-in-Context (WiC) dataset. Specifically, none of the existing few-shot approaches (including the in-context learning of GPT-3) can attain a performance that is meaningfully different from the random baseline."""
acl2022,Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,Yes.,5,"""However, we discover that this single hidden state cannot produce all probability distributions regardless of the LM size or training data size because the single hidden state embedding cannot be close to the embeddings of all the possible next words simultaneously when there are other interfering word embeddings between them."""
acl2022,Fantastically Ordered Prompts and Where to Find Them: Overcoming Few-Shot Prompt Order Sensitivity,,,
acl2022,Coherence boosting: When your pretrained language model is not paying enough attention,Yes.,5,"""We demonstrate that large language models have insufficiently learned the effect of distant words on next-token prediction."""
acl2022,Improving the Generalizability of Depression Detection by Leveraging Clinical Questionnaires,No.,1,The abstract does not mention LLMs or any form of language models.
acl2022,Internet-Augmented Dialogue Generation,Yes.,3,"""Large language models, even though they store an impressive amount of knowledge within their weights, are known to hallucinate facts when generating dialogue; moreover, those facts are frozen in time at the point of model training."""
acl2022,Text-Free Prosody-Aware Generative Spoken Language Modeling,Yes.,3,"""Unfortunately, because the units used in GSLM discard most prosodic information, GSLM fails to leverage prosody for better comprehension and does not generate expressive speech."""
acl2022,P-Tuning: Prompt Tuning Can Be Comparable to Fine-tuning Across Scales and Tasks,Yes.,3,"""prior work reveals that prompt tuning does not perform well for normal-sized pretrained models. We also find that existing methods of prompt tuning cannot handle hard sequence labeling tasks, indicating a lack of universality."""
acl2022,Does BERT Know that the IS-A Relation Is Transitive?,,,
acl2022,Data Contamination: From Memorization to Exploitation,Yes.,5,"""It is not clear to what extent models exploit the contaminated data for downstream tasks."" and ""Our results highlight the importance of analyzing massive web-scale datasets to verify that progress in NLP is obtained by better language understanding and not better data exploitation."""
acl2022,Kronecker Decomposition for GPT Compression,Yes.,5,"""Despite the superior performance of GPT, this overparameterized nature of GPT can be very prohibitive for deploying this model on devices with limited computational power or memory."""
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,3,"""existing prompt-based techniques fail on the semantic distinction task of the Word-in-Context (WiC) dataset"" and ""none of the existing few-shot approaches (including the in-context learning of GPT-3) can attain a performance that is meaningfully different from the random baseline."""
acl2022,"Fire Burns, Sword Cuts: Commonsense Inductive Bias for Exploration in Text-based Games",Yes.,1,"""We propose CommExpl, an exploration technique that injects external commonsense knowledge, via a pretrained language model (LM), into the agent during training."""
acl2022,"When classifying grammatical role, BERT doesn’t care about word order... except when it matters",,,
acl2022,A Recipe for Arbitrary Text Style Transfer with Large Language Models,Yes.,1,"""In this paper, we leverage large language models (LLMs) to perform zero-shot text style transfer."""
acl2022,Exploring Cross-lingual Text Detoxification with Large Multilingual Language Models.,Yes.,3,"""tested state-of-the-art models are not able to perform cross-lingual detoxification and direct fine-tuning on exact language is currently inevitable and motivating the need of further research in this direction."""
acl2022,Cue-bot: A Conversational Agent for Assistive Technology,Yes.,1,"""Language model technologies can be very powerful tools in enabling these users to carry out daily communication and social interactions."""
acl2022,Zero- and Few-Shot NLP with Pretrained Language Models,Yes.,1,"""our goal is to reveal new research opportunities to the audience, which will hopefully bring us closer to address existing challenges in this domain."""
naacl2022,Learning Natural Language Generation with Truncated Reinforcement Learning,Yes.,1,"""TrufLL thus enables to train a language agent by solely interacting with its environment without any task-specific prior knowledge; it is only guided with a task-agnostic language model."""
naacl2022,Language Model Augmented Monotonic Attention for Simultaneous Translation,Yes.,1,"""we propose a framework to aid monotonic attention with an external language model to improve its decisions."""
naacl2022,Enhancing Self-Attention with Knowledge-Assisted Attention Maps,Yes.,3,"""the attention maps, which record the attention scores between tokens in self-attention mechanism, are sometimes ineffective as they are learned implicitly without the guidance of explicit semantic knowledge."""
naacl2022,Knowledge-Grounded Dialogue Generation with a Unified Knowledge Representation,Yes.,1,"""Knowledge-grounded dialogue systems are challenging to build due to the lack of training data and heterogeneous knowledge sources."""
naacl2022,Reframing Human-AI Collaboration for Generating Free-Text Explanations,Yes.,3,"""while models often produce factual, grammatical, and sufficient explanations, they have room to improve along axes such as providing novel information and supporting the label."""
naacl2022,Provably Confidential Language Modelling,Yes.,5,"""Large language models are shown to memorize privacy information such as social security numbers in training data."""
