title,Mentions LLM Limitations
Towards Language Models That Can See: Computer Vision Through the LENS of Natural Language,yes
On the Exploitability of Instruction Tuning,yes
Towards Measuring the Representation of Subjective Global Opinions in Language Models,yes
Multi-Site Clinical Federated Learning using Recursive and Attentive Models and NVFlare,no
Taqyim: Evaluating Arabic NLP Tasks Using ChatGPT Models,no
An Adversarial Multi-Task Learning Method for Chinese Text Correction with Semantic Detection,no
Leveraging GPT-4 for Food Effect Summarization to Enhance Product-Specific Guidance Development via Iterative Prompting,yes
CBBQ: A Chinese Bias Benchmark Dataset Curated with Human-AI Collaboration for Large Language Models,yes
Inferring the Goals of Communicating Agents from Actions and Instructions,no
Enhancing Dialogue Generation via Dynamic Graph Knowledge Aggregation,no
A Framework for Identifying Depression on Social Media: MentalRiskES@IberLEF 2023,no
Is ChatGPT a Biomedical Expert? -- Exploring the Zero-Shot Performance of Current GPT Models in Biomedical Tasks,no
ChatLaw: Open-Source Legal Large Language Model with Integrated External Knowledge Bases,no
Mastering Nordschleife -- A comprehensive race simulation for AI strategy decision-making in motorsports,no
Prompting Large Language Models for Zero-Shot Domain Adaptation in Speech Recognition,yes
Query Understanding in the Age of Large Language Models,yes
Curious Replay for Model-based Adaptation,no
Most Language Models can be Poets too: An AI Writing Assistant and Constrained Text Generation Studio,no
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,yes
"Beyond the Hype: Assessing the Performance, Trustworthiness, and Clinical Suitability of GPT3.5",yes
Let Segment Anything Help Image Dehaze,no
MAT: Mixed-Strategy Game of Adversarial Training in Fine-tuning,no
HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,yes
Evaluating GPT-3.5 and GPT-4 on Grammatical Error Correction for Brazilian Portuguese,yes
Large Language Models as Annotators: Enhancing Generalization of NLP Models at Minimal Cost,yes
DMNER: Biomedical Entity Recognition by Detection and Matching,no
REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,yes
SparseOptimizer: Sparsify Language Models through Moreau-Yosida Regularization and Accelerate via Compiler Co-design,no
LeanDojo: Theorem Proving with Retrieval-Augmented Language Models,yes
Extending Context Window of Large Language Models via Positional Interpolation,no
MyCrunchGPT: A chatGPT assisted framework for scientific machine learning,no
CamemBERT-bio: Leveraging Continual Pre-training for Cost-Effective Models on French Biomedical Data,no
"Unleashing the Power of User Reviews: Exploring Airline Choices at Catania Airport, Italy",no
"Paradigm Shift in Sustainability Disclosure Analysis: Empowering Stakeholders with CHATREPORT, a Language Model-Based Tool",yes
Using Large Language Models to Provide Explanatory Feedback to Human Tutors,no
Gender Bias in BERT -- Measuring and Analysing Biases through Sentiment Rating in a Realistic Downstream Classification Task,yes
IDOL: Indicator-oriented Logic Pre-training for Logical Reasoning,no
Shikra: Unleashing Multimodal LLM's Referential Dialogue Magic,no
DSRM: Boost Textual Adversarial Training with Distribution Shift Risk Minimization,no
Investigating Cross-Domain Behaviors of BERT in Review Understanding,no
Evaluation of OpenAI Codex for HPC Parallel Programming Models Kernel Generation,no
WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,yes
LM4HPC: Towards Effective Language Model Application in High-Performance Computing,no
InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,yes
Large Multimodal Models: Notes on CVPR 2023 Tutorial,no
LongCoder: A Long-Range Pre-trained Language Model for Code Completion,no
Composing Parameter-Efficient Modules with Arithmetic Operations,no
Are aligned neural networks adversarially aligned?,yes
Kosmos-2: Grounding Multimodal Large Language Models to the World,no
MotionGPT: Human Motion as a Foreign Language,no
Automatic Assessment of Divergent Thinking in Chinese Language with TransDis: A Transformer-Based Language Model Approach,no
Ontology Enrichment from Texts: A Biomedical Dataset for Concept Discovery and Placement,no
SugarCrepe: Fixing Hackable Benchmarks for Vision-Language Compositionality,no
Transfer Learning across Several Centuries: Machine and Historian Integrated Method to Decipher Royal Secretary's Diary,no
Exploring the Robustness of Large Language Models for Solving Programming Problems,yes
ParameterNet: Parameters Are All You Need,no
Data-Driven Approach for Formality-Sensitive Machine Translation: Language-Specific Handling and Synthetic Data Generation,no
Fauno: The Italian Large Language Model that will leave you senza parole!,no
Constraint-aware and Ranking-distilled Token Pruning for Efficient Transformer Inference,yes
The Neuro-Symbolic Inverse Planning Engine (NIPE): Modeling Probabilistic Social Inferences from Linguistic Inputs,no
RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,yes
Addressing Cold Start Problem for End-to-end Automatic Speech Scoring,no
Let's Do a Thought Experiment: Using Counterfactuals to Improve Moral Reasoning,yes
Revolutionizing Cyber Threat Detection with Large Language Models: A privacy-preserving BERT-based Lightweight Model for IoT/IIoT Devices,no
Unveiling the Potential of Sentiment: Can Large Language Models Predict Chinese Stock Price Movements?,no
Switch-BERT: Learning to Model Multimodal Interactions by Switching Attention and Input,no
Interactive Design by Integrating a Large Pre-Trained Language Model and Building Information Modeling,no
Low-Rank Prune-And-Factorize for Language Model Compression,no
Chain-of-Thought Prompt Distillation for Multimodal Named Entity Recognition and Multimodal Relation Extraction,yes
Language models are weak learners,yes
Chinese Fine-Grained Financial Sentiment Analysis with Large Language Models,yes
Full Automation of Goal-driven LLM Dialog Threads with And-Or Recursors and Refiner Oracles,yes
UAlberta at SemEval-2023 Task 1: Context Augmentation and Translation for Multilingual Visual Word Sense Disambiguation,no
On the Uses of Large Language Models to Interpret Ambiguous Cyberattack Descriptions,yes
DesCo: Learning Object Recognition with Rich Language Descriptions,no
"Symbolic Chain-of-Thought Distillation: Small Models Can Also ""Think"" Step-by-Step",yes
H$_2$O: Heavy-Hitter Oracle for Efficient Generative Inference of Large Language Models,yes
Thinking Like an Annotator: Generation of Dataset Labeling Instructions,no
"My Boli: Code-mixed Marathi-English Corpora, Pretrained Language Models and Evaluation Benchmarks",yes
LLM-assisted Generation of Hardware Assertions,yes
Large Language Models as Sous Chefs: Revising Recipes with GPT-3,no
Comparison of Pre-trained Language Models for Turkish Address Parsing,no
Large Sequence Models for Sequential Decision-Making: A Survey,no
Can GPT-4 Support Analysis of Textual Data in Tasks Requiring Highly Specialized Domain Expertise?,yes
Spatio-temporal Storytelling? Leveraging Generative Models for Semantic Trajectory Analysis,no
Math Word Problem Solving by Generating Linguistic Variants of Problem Statements,no
L3Cube-MahaSent-MD: A Multi-domain Marathi Sentiment Analysis Dataset and Transformer Models,no
IERL: Interpretable Ensemble Representation Learning -- Combining CrowdSourced Knowledge and Distributed Semantic Representations,yes
Is Pre-training Truly Better Than Meta-Learning?,no
Beyond Scale: the Diversity Coefficient as a Data Quality Metric Demonstrates LLMs are Pre-trained on Formally Diverse Data,yes
Potential Benefits of Employing Large Language Models in Research in Moral Education and Development,no
Deconstructing Classifiers: Towards A Data Reconstruction Attack Against Text Classification Models,yes
LLM-Assisted Content Analysis: Using Large Language Models to Support Deductive Coding,yes
Resume Information Extraction via Post-OCR Text Processing,no
Bring Your Own Data! Self-Supervised Evaluation for Large Language Models,yes
Max-Margin Token Selection in Attention Mechanism,no
Voicebox: Text-Guided Multilingual Universal Speech Generation at Scale,no
System-Level Natural Language Feedback,no
Comparing the Efficacy of Fine-Tuning and Meta-Learning for Few-Shot Policy Imitation,yes
A Survey on Multimodal Large Language Models,no
ChatGPT may excel in States Medical Licensing Examination but falters in basic Linear Algebra,no
Exploring the Potential of AI-Generated Synthetic Datasets: A Case Study on Telematics Data with ChatGPT,no
Knowledge-Infused Self Attention Transformers,yes
Efficient Online Processing with Deep Neural Networks,yes
Multimodal Search on Iconclass using Vision-Language Pre-Trained Models,no
Product Information Extraction using ChatGPT,yes
MME: A Comprehensive Evaluation Benchmark for Multimodal Large Language Models,no
Stress Testing BERT Anaphora Resolution Models for Reaction Extraction in Chemical Patents,no
Implementing contextual biasing in GPU decoder for online ASR,no
ToolQA: A Dataset for LLM Question Answering with External Tools,yes
Exploring Qualitative Research Using LLMs,no
Correcting discount-factor mismatch in on-policy policy gradient methods,yes
DiversiGATE: A Comprehensive Framework for Reliable Large Language Models,no
TACO: Temporal Latent Action-Driven Contrastive Loss for Visual Reinforcement Learning,no
Visual Adversarial Examples Jailbreak Aligned Large Language Models,yes
Prompt to GPT-3: Step-by-Step Thinking Instructions for Humor Generation,yes
"""Filling the Blanks'': Identifying Micro-activities that Compose Complex Human Activities of Daily Living",no
Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,yes
Towards Explainable Evaluation Metrics for Machine Translation,yes
Apolitical Intelligence? Auditing Delphi's responses on controversial political issues in the US,yes
"Public Attitudes Toward ChatGPT on Twitter: Sentiments, Topics, and Occupations",no
Quantizable Transformers: Removing Outliers by Helping Attention Heads Do Nothing,yes
AudioPaLM: A Large Language Model That Can Speak and Listen,no
"Cross-lingual Cross-temporal Summarization: Dataset, Models, Evaluation",no
Beyond Chemical Language: A Multimodal Approach to Enhance Molecular Property Prediction,no
Predictive Patentomics: Forecasting Innovation Success and Valuation with ChatGPT,yes
Mapping and Cleaning Open Commonsense Knowledge Bases with Generative Translation,no
Generative Multimodal Entity Linking,yes
Vec2Vec: A Compact Neural Network Approach for Transforming Text Embeddings with High Fidelity,no
SoftGPT: Learn Goal-oriented Soft Object Manipulation Skills by Generative Pre-trained Heterogeneous Graph Transformer,no
From Word Models to World Models: Translating from Natural Language to the Probabilistic Language of Thought,no
Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,yes
Identifying and Extracting Rare Disease Phenotypes with Large Language Models,yes
FLAG: Finding Line Anomalies (in code) with Generative AI,yes
ARIES: A Corpus of Scientific Paper Edits Made in Response to Peer Reviews,yes
A Reference-less Quality Metric for Automatic Speech Recognition via Contrastive-Learning of a Multi-Language Model with Self-Supervision,no
NoRefER: a Referenceless Quality Metric for Automatic Speech Recognition via Semi-Supervised Language Model Fine-Tuning with Contrastive Learning,no
Evaluating Large Language Models with NeuBAROCO: Syllogistic Reasoning Ability and Human-like Biases,yes
FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair,yes
Joint Prompt Optimization of Stacked LLMs using Variational Inference,yes
Understanding Social Reasoning in Language Models with Language Models,yes
Testing of Detection Tools for AI-Generated Text,yes
GPT-Based Models Meet Simulation: How to Efficiently Use Large-Scale Pre-Trained Language Models Across Simulation Tasks,yes
Solving and Generating NPR Sunday Puzzles with Large Language Models,yes
Limits for Learning with Language Models,yes
"Investigating Pre-trained Language Models on Cross-Domain Datasets, a Step Closer to General AI",no
Opening the Black Box: Analyzing Attention Weights and Hidden States in Pre-trained Language Models for Non-language Tasks,yes
OphGLM: Training an Ophthalmology Large Language-and-Vision Assistant based on Instructions and Dialogue,yes
Which Spurious Correlations Impact Reasoning in NLI Models? A Visual Interactive Diagnosis through Data-Constrained Counterfactuals,no
Mass-Producing Failures of Multimodal Systems with Language Models,no
Interactive Molecular Discovery with Natural Language,yes
Opportunities and Risks of LLMs for Scalable Deliberation with Polis,yes
Deep Fusion: Efficient Network Training via Pre-trained Initializations,no
Exploring New Frontiers in Agricultural NLP: Investigating the Potential of Large Language Models for Food Applications,no
SPRINT: Scalable Policy Pre-Training via Language Instruction Relabeling,no
Open-Domain Text Evaluation via Meta Distribution Modeling,yes
On Compositionality and Improved Training of NADO,no
Learning to Generate Better Than Your LLM,no
Learning Profitable NFT Image Diffusions via Multiple Visual-Policy Guided Reinforcement Learning,no
Lingua Manga: A Generic Large Language Model Centric System for Data Curation,no
DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models,yes
A Simple and Effective Pruning Approach for Large Language Models,yes
Towards Environmentally Equitable AI via Geographical Load Balancing,yes
Harnessing the Power of Adversarial Prompting and Large Language Models for Robust Hypothesis Generation in Astronomy,no
Textbooks Are All You Need,no
An empirical study of using radiology reports and images to improve ICU mortality prediction,no
Improving Image Captioning Descriptiveness by Ranking and LLM-based Fusion,yes
FAIR: A Causal Framework for Accurately Inferring Judgments Reversals,no
"Event Stream GPT: A Data Pre-processing and Modeling Library for Generative, Pre-trained Transformers over Continuous-time Sequences of Complex Events",no
Hallucination is the last thing you need,yes
Pushing the Limits of 3D Shape Generation at Scale,no
TrustGPT: A Benchmark for Trustworthy and Responsible Large Language Models,yes
Give Us the Facts: Enhancing Large Language Models with Knowledge Graphs for Fact-aware Language Modeling,yes
"Blackbird language matrices (BLM), a new task for rule-like generalization in neural networks: Motivations and Formal Specifications",yes
Why can neural language models solve next-word prediction? A mathematical perspective,no
Democratizing LLMs for Low-Resource Languages by Leveraging their English Dominant Abilities with Linguistically-Diverse Prompts,yes
RS5M and GeoRSCLIP: A Large Scale Vision-Language Dataset and A Large Vision-Language Model for Remote Sensing,no
A GPT-4 Reticular Chemist for Guiding MOF Discovery,no
ChatGPT Chemistry Assistant for Text Mining and Prediction of MOF Synthesis,yes
Evaluating the Zero-shot Robustness of Instruction-tuned Language Models,yes
A Novel Counterfactual Data Augmentation Method for Aspect-Based Sentiment Analysis,no
InRank: Incremental Low-Rank Learning,no
Eight challenges in developing theory of intelligence,no
LoSparse: Structured Compression of Large Language Models based on Low-Rank and Sparse Approximation,no
Quilt-1M: One Million Image-Text Pairs for Histopathology,no
Evaluating Privacy Questions From Stack Overflow: Can ChatGPT Compete?,no
Large Language Models are Fixated by Red Herrings: Exploring Creative Problem Solving and Einstellung Effect using the Only Connect Wall Dataset,yes
SynerGPT: In-Context Learning for Personalized Drug Synergy Prediction and Drug Design,no
JiuZhang 2.0: A Unified Chinese Pre-trained Language Model for Multi-task Mathematical Problem Solving,no
Temporal Data Meets LLM -- Explainable Financial Time Series Forecasting,yes
RepoFusion: Training Code Models to Understand Your Repository,yes
Deep Reinforcement Learning for ESG financial portfolio management,no
"LARG, Language-based Automatic Reward and Goal Generation",no
Fine-Tuning Language Models for Scientific Writing Support,no
BayLing: Bridging Cross-lingual Alignment and Instruction Following through Interactive Translation for Large Language Models,yes
Multilingual Few-Shot Learning via Language Model Retrieval,no
MotionGPT: Finetuned LLMs Are General-Purpose Motion Generators,no
Unsupervised Text Embedding Space Generation Using Generative Adversarial Networks for Text Synthesis,yes
Replace and Report: NLP Assisted Radiology Report Generation,no
Path to Medical AGI: Unify Domain-specific Medical LLMs with the Lowest Cost,yes
Fine-tuning Large Enterprise Language Models via Ontological Reasoning,yes
Cases of EFL Secondary Students' Prompt Engineering Pathways to Complete a Writing Task with ChatGPT,no
PLASTIC: Improving Input and Label Plasticity for Sample Efficient Reinforcement Learning,no
The Manipulation Problem: Conversational AI as a Threat to Epistemic Agency,no
Developing Effective Educational Chatbots with ChatGPT prompts: Insights from Preliminary Tests in a Case Study on Social Media Literacy (with appendix),yes
Leveraging ChatGPT As Text Annotation Tool For Sentiment Analysis,no
The Importance of Human-Labeled Data in the Era of LLMs,yes
Deceptive AI Ecosystems: The Case of ChatGPT,no
Evolutionary Verbalizer Search for Prompt-based Few Shot Text Classification,no
Efficiently Measuring the Cognitive Ability of LLMs: An Adaptive Testing Perspective,no
Can We Trust AI-Generated Educational Content? Comparative Analysis of Human and AI-Generated Learning Resources,yes
"News Verifiers Showdown: A Comparative Performance Evaluation of ChatGPT 3.5, ChatGPT 4.0, Bing AI, and Bard in News Fact-Checking",yes
Instant Soup: Cheap Pruning Ensembles in A Single Pass Can Draw Lottery Tickets from Large Models,no
MISMATCH: Fine-grained Evaluation of Machine-generated Text with Mismatch Error Types,no
Generation of Radiology Findings in Chest X-Ray by Leveraging Collaborative Knowledge,no
KEST: Kernel Distance Based Efficient Self-Training for Improving Controllable Text Generation,no
Enhancing the Prediction of Emotional Experience in Movies using Deep Neural Networks: The Significance of Audio and Language,no
CLARA: Classifying and Disambiguating User Commands for Reliable Interactive Robotic Agents,yes
LLMVA-GEBC: Large Language Model with Video Adapter for Generic Event Boundary Captioning,yes
Persian Semantic Role Labeling Using Transfer Learning and BERT-Based Models,no
CorNav: Autonomous Agent with Self-Corrected Planning for Zero-Shot Vision-and-Language Navigation,no
FutureTOD: Teaching Future Knowledge to Pre-trained Language Model for Task-Oriented Dialogue,no
Active Policy Improvement from Multiple Black-box Oracles,no
Snowman: A Million-scale Chinese Commonsense Knowledge Graph Distilled from Foundation Model,no
Bloated Disclosures: Can ChatGPT Help Investors Process Information?,no
ZeRO++: Extremely Efficient Collective Communication for Giant Model Training,no
GPT4 is Slightly Helpful for Peer-Review Assistance: A Pilot Study,no
Structured Thoughts Automaton: First Formalized Execution Model for Auto-Regressive Language Models,no
Data Selection for Fine-tuning Large Language Models Using Transferred Shapley Values,yes
Just One Byte (per gradient): A Note on Low-Bandwidth Decentralized Language Model Finetuning Using Shared Randomness,no
Investigating Prompting Techniques for Zero- and Few-Shot Visual Question Answering,no
Evaluating Superhuman Models with Consistency Checks,yes
ClinicalGPT: Large Language Models Finetuned with Diverse Medical Data and Comprehensive Evaluation,yes
Investigating Masking-based Data Generation in Language Models,no
AD-AutoGPT: An Autonomous GPT for Alzheimer's Disease Infodemiology,no
Friend or Foe? Exploring the Implications of Large Language Models on the Science System,yes
Learning to Summarize and Answer Questions about a Virtual Robot's Past Actions,no
Is Self-Repair a Silver Bullet for Code Generation?,yes
Revealing the impact of social circumstances on the selection of cancer therapy through natural language processing of social work notes,no
Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,yes
Process Knowledge-infused Learning for Clinician-friendly Explanations,yes
Unlocking the Potential of User Feedback: Leveraging Large Language Model as User Simulator to Enhance Dialogue System,yes
Investigating the Utility of Surprisal from Large Language Models for Speech Synthesis Prosody,yes
FALL-E: A Foley Sound Synthesis Model and Strategies,no
Mimicking Better by Matching the Approximate Action Distribution,no
Full Parameter Fine-tuning for Large Language Models with Limited Resources,yes
Understanding Deep Generative Models with Generalized Empirical Likelihoods,no
Inspire creativity with ORIBA: Transform Artists' Original Characters into Chatbots through Large Language Model,no
Politeness Stereotypes and Attack Vectors: Gender Stereotypes in Japanese and Korean Language Models,yes
Pushing the Limits of ChatGPT on NLP Tasks,yes
DreamCatcher: Revealing the Language of the Brain with fMRI using GPT Embedding,no
ReactGenie: A Development Framework for Complex Multimodal Interactions Using Large Language Models,no
CHORUS: Foundation Models for Unified Data Discovery and Exploration,no
Clickbait Detection via Large Language Models,yes
CMLM-CSE: Based on Conditional MLM Contrastive Learning for Sentence Embeddings,no
Clickbait Classification and Spoiling Using Natural Language Processing,no
Schema-learning and rebinding as mechanisms of in-context learning and emergence,yes
Building blocks for complex tasks: Robust generative event extraction for radiology reports under domain shifts,no
Thrilled by Your Progress! Large Language Models (GPT-4) No Longer Struggle to Pass Assessments in Higher Education Programming Courses,yes
Explaining Legal Concepts with Augmented Large Language Models (GPT-4),yes
Ensembled Prediction Intervals for Causal Outcomes Under Hidden Confounding,no
Retrieving-to-Answer: Zero-Shot Video Question Answering with Frozen Large Language Models,yes
Opportunities and Challenges for ChatGPT and Large Language Models in Biomedicine and Health,yes
Inverse Scaling: When Bigger Isn't Better,yes
Simplified Temporal Consistency Reinforcement Learning,no
"Explore, Establish, Exploit: Red Teaming Language Models from Scratch",yes
"The pop song generator: designing an online course to teach collaborative, creative AI",no
SIGHT: A Large Annotated Dataset on Student Insights Gathered from Higher Education Transcripts,yes
Language-Guided Music Recommendation for Video via Prompt Analogies,yes
Semantic HELM: A Human-Readable Memory for Reinforcement Learning,no
Matching Pairs: Attributing Fine-Tuned Models to their Pre-Trained Large Language Models,yes
Propagating Knowledge Updates to LMs Through Distillation,no
Can Language Models Teach Weaker Agents? Teacher Explanations Improve Students via Personalization,yes
KoLA: Carefully Benchmarking World Knowledge of Large Language Models,yes
Your Room is not Private: Gradient Inversion Attack on Reinforcement Learning,no
Are ChatGPT and Other Similar Systems the Modern Lernaean Hydras of AI?,no
SCALE: Scaling up the Complexity for Advanced Language Model Evaluation,yes
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",yes
Stochastic Re-weighted Gradient Descent via Distributionally Robust Optimization,no
CMMLU: Measuring massive multitask language understanding in Chinese,yes
ChessGPT: Bridging Policy Learning and Language Modeling,no
Domain-specific ChatBots for Science using Embeddings,no
Can ChatGPT pass the Vietnamese National High School Graduation Examination?,no
Opportunities for Large Language Models and Discourse in Engineering Design,no
"Macaw-LLM: Multi-Modal Language Modeling with Image, Audio, Video, and Text Integration",yes
Mapping Researcher Activity based on Publication Data by means of Transformers,no
DiPlomat: A Dialogue Dataset for Situated Pragmatic Reasoning,yes
Voting Booklet Bias: Stance Detection in Swiss Federal Communication,no
Exploring the MIT Mathematics and EECS Curriculum Using Large Language Models,no
Towards Benchmarking and Improving the Temporal Reasoning Capability of Large Language Models,no
DocumentNet: Bridging the Data Gap in Document Pre-Training,no
MetricPrompt: Prompting Model as a Relevance Metric for Few-shot Text Classification,no
Interleaving Pre-Trained Language Models and Large Language Models for Zero-Shot NL2SQL Generation,yes
BED: Bi-Encoder-Based Detectors for Out-of-Distribution Detection,no
PRISMA-DFLLM: An Extension of PRISMA for Systematic Literature Reviews using Domain-specific Finetuned Large Language Models,no
Langevin Thompson Sampling with Logarithmic Communication: Bandits and Reinforcement Learning,no
World-to-Words: Grounded Open Vocabulary Acquisition through Fast Mapping in Vision-Language Models,no
Radiology-GPT: A Large Language Model for Radiology,no
Toward Grounded Commonsense Reasoning,yes
Language to Rewards for Robotic Skill Synthesis,yes
Towards AGI in Computer Vision: Lessons Learned from GPT and Large Language Models,yes
"AssistGPT: A General Multi-modal Assistant that can Plan, Execute, Inspect, and Learn",yes
Revealing the structure of language model capabilities,no
WizardCoder: Empowering Code Large Language Models with Evol-Instruct,no
MiniLLM: Knowledge Distillation of Large Language Models,yes
PoetryDiffusion: Towards Joint Semantic and Metrical Manipulation in Poetry Generation,no
Building a Corpus for Biomedical Relation Extraction of Species Mentions,no
A semantically enhanced dual encoder for aspect sentiment triplet extraction,no
Unifying Large Language Models and Knowledge Graphs: A Roadmap,yes
CLIPXPlore: Coupled CLIP and Shape Spaces for 3D Shape Exploration,no
Assessing the Effectiveness of GPT-3 in Detecting False Political Statements: A Case Study on the LIAR Dataset,no
Language models are not naysayers: An analysis of language models on negation benchmarks,yes
INT2.1: Towards Fine-Tunable Quantized Large Language Models with Error Correction through Low-Rank Adaptation,yes
h2oGPT: Democratizing Large Language Models,no
Large-scale Language Model Rescoring on Long-form Data,yes
AVIS: Autonomous Visual Information Seeking with Large Language Model Agent,yes
Beyond Black Box AI-Generated Plagiarism Detection: From Sentence to Document Level,yes
"AutoML in the Age of Large Language Models: Current Challenges, Future Opportunities and Risks",yes
Can ChatGPT Enable ITS? The Case of Mixed Traffic Control via Reinforcement Learning,yes
FLamE: Few-shot Learning from Natural Language Explanations,yes
XrayGPT: Chest Radiographs Summarization using Medical Vision-Language Models,yes
arXiVeri: Automatic table verification with GPT,yes
One-for-All: Generalized LoRA for Parameter-Efficient Fine-tuning,no
MOFI: Learning Image Representations from Noisy Entity Annotated Images,no
Questioning the Survey Responses of Large Language Models,yes
WebGLM: Towards An Efficient Web-Enhanced Question Answering System with Human Preferences,yes
Artificial Artificial Artificial Intelligence: Crowd Workers Widely Use Large Language Models for Text Production Tasks,yes
ReadProbe: A Demo of Retrieval-Enhanced Large Language Models to Support Lateral Reading,no
Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,yes
Mol-Instructions: A Large-Scale Biomolecular Instruction Dataset for Large Language Models,yes
ChatGPT vs Human-authored Text: Insights into Controllable Text Summarization and Sentence Style Transfer,no
Monolingual and Cross-Lingual Knowledge Transfer for Topic Classification,no
NoCoLA: The Norwegian Corpus of Linguistic Acceptability,yes
SqueezeLLM: Dense-and-Sparse Quantization,yes
Human-Like Intuitive Behavior and Reasoning Biases Emerged in Language Models -- and Disappeared in GPT-4,no
Large Language Models Sometimes Generate Purely Negatively-Reinforced Text,yes
Improving Zero-Shot Detection of Low Prevalence Chest Pathologies using Domain Pre-trained Language Models,no
TART: A plug-and-play Transformer module for task-agnostic reasoning,yes
"Assigning AI: Seven Approaches for Students, with Prompts",yes
Adding guardrails to advanced chatbots,no
PauseSpeech: Natural Speech Synthesis via Pre-trained Language Model and Pause-based Prosody Modeling,no
Knowledge-Prompted Estimator: A Novel Approach to Explainable Machine Translation Assessment,yes
Probing Quantifier Comprehension in Large Language Models: Another Example of Inverse Scaling,yes
Lost in Translation: Large Language Models in Non-English Content Analysis,yes
EriBERTa: A Bilingual Pre-Trained Language Model for Clinical Natural Language Processing,no
Waffling around for Performance: Visual Classification with Random Words and Broad Concepts,yes
Scalable 3D Captioning with Pretrained Models,no
MovieFactory: Automatic Movie Creation from Text using Large Generative Models for Language and Images,no
