title,Mentions LLM Limitations
BITS Pilani at HinglishEval: Quality Evaluation for Code-Mixed Hinglish Text Using Transformers,no
Local Slot Attention for Vision-and-Language Navigation,yes
MSDF: A General Open-Domain Multi-Skill Dialog Framework,no
Methods for Estimating and Improving Robustness of Language Models,yes
Deep Multi-Task Models for Misogyny Identification and Categorization on Arabic Social Media,no
Know your audience: specializing grounded language models with listener subtraction,no
Characteristics of Harmful Text: Towards Rigorous Benchmarking of Language Models,yes
Paraformer: Fast and Accurate Parallel Transformer for Non-autoregressive End-to-End Speech Recognition,no
A Language Model With Million Sample Context For Raw Audio Using Transformer Architectures,no
Self-Generated In-Context Learning: Leveraging Auto-regressive Language Models as a Demonstration Generator,no
An Open-Domain QA System for e-Governance,no
PreCogIIITH at HinglishEval : Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,no
Accelerating Inference and Language Model Fusion of Recurrent Neural Network Transducers via End-to-End 4-bit Quantization,no
Detecting Harmful Online Conversational Content towards LGBTQIA+ Individuals,no
Emergent Abilities of Large Language Models,no
Estimating Confidence of Predictions of Individual Classifiers and Their Ensembles for the Genre Classification Task,yes
A Survey : Neural Networks for AMR-to-Text,no
"Prioritized Training on Points that are Learnable, Worth Learning, and Not Yet Learnt",no
SBERT studies Meaning Representations: Decomposing Sentence Embeddings into Explainable Semantic Features,yes
RDU: A Region-based Approach to Form-style Document Understanding,no
CERT: Continual Pre-Training on Sketches for Library-Oriented Code Generation,no
LST: Ladder Side-Tuning for Parameter and Memory Efficient Transfer Learning,no
Memory-Based Model Editing at Scale,yes
Optimal Clipping and Magnitude-aware Differentiation for Improved Quantization-aware Training,no
Language Models are General-Purpose Interfaces,no
JiuZhang: A Chinese Pre-trained Language Model for Mathematical Problem Understanding,no
Transition-based Abstract Meaning Representation Parsing with Contextual Embeddings,no
Self-critiquing models for assisting human evaluators,no
Improving Pre-trained Language Model Fine-tuning with Noise Stability Regularization,no
Dealing with Sparse Rewards in Continuous Control Robotics via Heavy-Tailed Policies,no
DeepEmotex: Classifying Emotion in Text Messages using Deep Transfer Learning,no
Bridging the Gap Between Training and Inference of Bayesian Controllable Language Models,yes
Comparative Snippet Generation,no
From Human Days to Machine Seconds: Automatically Answering and Generating Machine Learning Final Exams,no
Measuring the Carbon Intensity of AI in Cloud Instances,yes
A Multi-Task Benchmark for Korean Legal Language Understanding and Judgement Prediction,no
Putting GPT-3's Creativity to the (Alternative Uses) Test,no
Unsupervised and Few-shot Parsing from Pretrained Language Models,no
Sort by Structure: Language Model Ranking as Dependency Probing,no
Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,yes
Extracting Zero-shot Common Sense from Large Language Models for Robot 3D Scene Understanding,no
SsciBERT: A Pre-trained Language Model for Social Science Texts,no
Joint Encoder-Decoder Self-Supervised Pre-training for ASR,no
Context-based out-of-vocabulary word recovery for ASR systems in Indian languages,no
Abstraction not Memory: BERT and the English Article System,no
Learning to Generate Prompts for Dialogue Generation through Reinforcement Learning,no
Revealing Single Frame Bias for Video-and-Language Learning,no
Always Keep your Target in Mind: Studying Semantics and Improving Performance of Neural Lexical Substitution,no
Searching for Optimal Subword Tokenization in Cross-domain NER,no
OCHADAI at SemEval-2022 Task 2: Adversarial Training for Multilingual Idiomaticity Detection,no
DynaMaR: Dynamic Prompt with Mask Token Representation,no
Neuro-Symbolic Procedural Planning with Commonsense Prompting,yes
Global Mixup: Eliminating Ambiguity with Clustering,no
What do tokens know about their characters and how do they know it?,no
Improving Contrastive Learning of Sentence Embeddings with Case-Augmented Positives and Retrieved Negatives,no
Spam Detection Using BERT,no
A computational psycholinguistic evaluation of the syntactic abilities of Galician BERT models at the interface of dependency resolution and training time,no
Domain-specific Language Pre-training for Dialogue Comprehension on Clinical Inquiry-Answering Conversations,yes
A sentiment analysis model for car review texts based on adversarial training and whole word mask BERT,no
OrdinalCLIP: Learning Rank Prompts for Language-Guided Ordinal Regression,no
Making Large Language Models Better Reasoners with Step-Aware Verifier,yes
Exploring Cross-lingual Textual Style Transfer with Large Multilingual Language Models,yes
Offline RL for Natural Language Generation with Implicit Language Q Learning,yes
Sentiment Analysis of Online Travel Reviews Based on Capsule Network and Sentiment Lexicon,no
"Speech Detection Task Against Asian Hate: BERT the Central, While Data-Centric Studies the Crucial",no
Fault-Aware Neural Code Rankers,yes
Actuarial Applications of Natural Language Processing Using Transformers: Case Studies for Using Text Features in an Actuarial Context,no
Comparing Performance of Different Linguistically-Backed Word Embeddings for Cyberbullying Detection,no
ZeroQuant: Efficient and Affordable Post-Training Quantization for Large-Scale Transformers,no
Extreme Compression for Pre-trained Transformers Made Simple and Efficient,yes
Visual Clues: Bridging Vision and Language Foundations for Image Paragraph Captioning,no
Differentially Private Model Compression,yes
"Relevance in Dialogue: Is Less More? An Empirical Comparison of Existing Metrics, and a Novel Simple Metric",no
Extracting Similar Questions From Naturally-occurring Business Conversations,no
Findings of the The RuATD Shared Task 2022 on Artificial Text Detection in Russian,no
TCE at Qur'an QA 2022: Arabic Language Question Answering Over Holy Qur'an Using a Post-Processed Ensemble of BERT-based Models,no
Latent Topology Induction for Understanding Contextualized Representations,no
Automatic Generation of Programming Exercises and Code Explanations using Large Language Models,no
"Code Generation Tools (Almost) for Free? A Study of Few-Shot, Pre-Trained Language Models on Code",no
Decentralized Training of Foundation Models in Heterogeneous Environments,no
A Multi-Policy Framework for Deep Learning-Based Fake News Detection,no
On Reinforcement Learning and Distribution Matching for Fine-Tuning Language Models with no Catastrophic Forgetting,no
Cross-View Language Modeling: Towards Unified Cross-Lingual Cross-Modal Pre-training,no
Romantic-Computing,no
MaskOCR: Text Recognition with Masked Encoder-Decoder Pretraining,no
Assessing Group-level Gender Bias in Professional Evaluations: The Case of Medical Student End-of-Shift Feedback,no
Order-sensitive Shapley Values for Evaluating Conceptual Soundness of NLP Models,yes
FHIST: A Benchmark for Few-shot Classification of Histological Images,no
The Contribution of Lyrics and Acoustics to Collaborative Understanding of Mood,no
A Mixture-of-Expert Approach to RL-based Dialogue Management,yes
"On the Usefulness of Embeddings, Clusters and Strings for Text Generator Evaluation",no
Timing is Everything: Learning to Act Selectively with Costly Actions and Budgetary Constraints,no
Knowledge Graph - Deep Learning: A Case Study in Question Answering in Aviation Safety Domain,no
The CLRS Algorithmic Reasoning Benchmark,no
hmBERT: Historical Multilingual Language Models for Named Entity Recognition,no
A Unified Framework for Emotion Identification and Generation in Dialogues,no
Leveraging Pre-Trained Language Models to Streamline Natural Language Interaction for Self-Tracking,no
FinBERT-MRC: financial named entity recognition using BERT under the machine reading comprehension paradigm,no
Automatic Short Math Answer Grading via In-context Meta-learning,yes
Billions of Parameters Are Worth More Than In-domain Training Data: A case study in the Legal Case Entailment Task,no
ZusammenQA: Data Augmentation with Specialized Models for Cross-lingual Open-retrieval Question Answering System,no
Multi-Agent Reinforcement Learning is a Sequence Modeling Problem,no
E2S2: Encoding-Enhanced Sequence-to-Sequence Pretraining for Language Understanding and Generation,no
Rites de Passage: Elucidating Displacement to Emplacement of Refugees on Twitter,no
COVID-19 Literature Mining and Retrieval using Text Mining Approaches,no
CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,yes
Urdu News Article Recommendation Model using Natural Language Processing Techniques,no
Micro-Expression Recognition Based on Attribute Information Embedding and Cross-modal Contrastive Learning,no
Learning Locality and Isotropy in Dialogue Modeling,no
MiniDisc: Minimal Distillation Schedule for Language Model Compression,no
Happenstance: Utilizing Semantic Search to Track Russian State Media Narratives about the Russo-Ukrainian War On Reddit,no
Teaching Models to Express Their Uncertainty in Words,no
Multimodal Fake News Detection via CLIP-Guided Learning,no
Few-shot Subgoal Planning with Language Models,no
Controllable Text Generation with Neurally-Decomposed Oracle,no
Diffusion-LM Improves Controllable Text Generation,no
Multimodal Masked Autoencoders Learn Transferable Representations,no
FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,no
StereoKG: Data-Driven Knowledge Graph Construction for Cultural Knowledge and Stereotypes,no
kNN-Prompt: Nearest Neighbor Zero-Shot Inference,no
Tranception: protein fitness prediction with autoregressive transformers and inference-time retrieval,yes
Quark: Controllable Text Generation with Reinforced Unlearning,yes
Differentially Private Decoding in Large Language Models,yes
Training and Inference on Any-Order Autoregressive Models the Right Way,no
Discovering Policies with DOMiNO: Diversity Optimization Maintaining Near Optimality,no
Federated Split BERT for Heterogeneous Text Classification,no
Leveraging Dependency Grammar for Fine-Grained Offensive Language Detection using Graph Convolutional Networks,no
Matryoshka Representation Learning,no
BiT: Robustly Binarized Multi-distilled Transformer,yes
Transcormer: Transformer for Sentence Scoring with Sliding Language Modeling,yes
NaturalProver: Grounded Mathematical Proof Generation with Language Models,no
"Understanding Factual Errors in Summarization: Errors, Summarizers, Datasets, Error Detectors",yes
PLOG: Table-to-Logic Pretraining for Logical Table-to-Text Generation,yes
"Train Flat, Then Compress: Sharpness-Aware Minimization Learns More Compressible Models",no
Large Language Models are Few-Shot Clinical Information Extractors,yes
Investigating the Benefits of Free-Form Rationales,no
Ground-Truth Labels Matter: A Deeper Look into Input-Label Demonstrations,no
Training Language Models with Memory Augmentation,no
Few-shot Reranking for Multi-hop QA via Language Model Prompting,no
Lifelong Learning Natural Language Processing Approach for Multilingual Data Classification,no
Multimodal Knowledge Alignment with Reinforcement Learning,no
Autoformalization with Large Language Models,no
ORCA: Interpreting Prompted Language Models via Locating Supporting Data Evidence in the Ocean of Pretraining Data,no
RobustLR: Evaluating Robustness to Logical Perturbation in Deductive Reasoning,yes
Perturbation Augmentation for Fairer NLP,yes
Gradient-Based Constrained Sampling from Language Models,yes
RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,yes
Is a Question Decomposition Unit All We Need?,no
Segmenting Numerical Substitution Ciphers,no
Text-to-Face Generation with StyleGAN2,no
Memorization in NLP Fine-tuning Methods,yes
Fine-grained Contrastive Learning for Relation Extraction,no
Conditional set generation using Seq2seq models,no
Low Resource Style Transfer via Domain Adaptive Meta Learning,no
Improving CTC-based ASR Models with Gated Interlayer Collaboration,no
Know Where You're Going: Meta-Learning for Parameter-Efficient Fine-Tuning,no
Sparse*BERT: Sparse Models Generalize To New tasks and Domains,no
Do we need Label Regularization to Fine-tune Pre-trained Language Models?,yes
FLUTE: Figurative Language Understanding through Textual Explanations,no
Sparse Mixers: Combining MoE and Mixing to build a more efficient BERT,no
Fine-tuned Language Models are Continual Learners,yes
Toxicity Detection with Generative Prompt-based Inference,yes
Medical Scientific Table-to-Text Generation with Human-in-the-Loop under the Data Sparsity Constraint,yes
K-12BERT: BERT for K-12 education,no
Garden-Path Traversal in GPT-2,no
Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,yes
EdiT5: Semi-Autoregressive Text-Editing with T5 Warm-Start,no
PoeLM: A Meter- and Rhyme-Controllable Language Model for Unsupervised Poetry Generation,yes
Enhancing Continual Learning with Global Prototypes: Counteracting Negative Representation Drift,no
RetroMAE: Pre-Training Retrieval-oriented Language Models Via Masked Auto-Encoder,no
Word-order typology in Multilingual BERT: A case study in subordinate-clause detection,yes
ATTEMPT: Parameter-Efficient Multi-task Tuning via Attentional Mixtures of Soft Prompts,no
The Authenticity Gap in Human Evaluation,yes
Large Language Models are Zero-Shot Reasoners,yes
Formulating Few-shot Fine-tuning Towards Language Model Pre-training: A Pilot Study on Named Entity Recognition,no
PERT: A New Solution to Pinyin to Character Conversion Task,no
On the Role of Bidirectionality in Language Model Pre-Training,no
Penguins Don't Fly: Reasoning about Generics through Instantiations and Exceptions,no
FlexiBERT: Are Current Transformer Architectures too Homogeneous and Rigid?,no
On Measuring Social Biases in Prompt-Based Multi-Task Learning,yes
Challenges in Measuring Bias via Open-Ended Language Generation,yes
Simple Recurrence Improves Masked Language Models,no
Learning to Ignore Adversarial Attacks,no
On the Paradox of Learning to Reason from Data,yes
HyperTree Proof Search for Neural Theorem Proving,no
Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,no
"Towards Automated Document Revision: Grammatical Error Correction, Fluency Edits, and Beyond",no
A Question-Answer Driven Approach to Reveal Affirmative Interpretations from Verbal Negations,no
Multilingual Extraction and Categorization of Lexical Collocations with Graph-aware Transformers,no
Outliers Dimensions that Disrupt Transformers Are Driven by Frequency,yes
Looking for a Handsome Carpenter! Debiasing GPT-3 Job Advertisements,yes
The Diminishing Returns of Masked Language Models to Science,no
KOLD: Korean Offensive Language Dataset,no
RL with KL penalties is better viewed as Bayesian inference,yes
BBTv2: Towards a Gradient-Free Future with Large Language Models,no
Prompt Tuning for Discriminative Pre-trained Language Models,no
RuNNE-2022 Shared Task: Recognizing Nested Named Entities,no
Supporting Vision-Language Model Inference with Confounder-pruning Knowledge Prompt,no
BanglaNLG and BanglaT5: Benchmarks and Resources for Evaluating Low-Resource Natural Language Generation in Bangla,no
Vector-Quantized Input-Contextualized Soft Prompts for Natural Language Understanding,no
Artificial intelligence for topic modelling in Hindu philosophy: mapping themes between the Upanishads and the Bhagavad Gita,no
Parameter-Efficient Sparsity for Large Language Models Fine-Tuning,yes
Improving Short Text Classification With Augmented Data Using GPT-3,yes
What should I Ask: A Knowledge-driven Approach for Follow-up Questions Generation in Conversational Surveys,no
The Geometry of Multilingual Language Model Representations,no
Thor: Wielding Hammers to Integrate Language Models and Automated Theorem Provers,yes
A Graph Enhanced BERT Model for Event Prediction,no
GraphMAE: Self-Supervised Masked Graph Autoencoders,no
Instruction Induction: From Few Examples to Natural Language Task Descriptions,no
A Domain-adaptive Pre-training Approach for Language Bias Detection in News,no
Memorization Without Overfitting: Analyzing the Training Dynamics of Large Language Models,no
Language Models with Image Descriptors are Strong Few-Shot Video-Language Learners,no
Housekeep: Tidying Virtual Households using Commonsense Reasoning,no
Life after BERT: What do Other Muppets Understand about Language?,no
Revisiting Pre-trained Language Models and their Evaluation for Arabic Natural Language Understanding,no
Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,no
HLATR: Enhance Multi-stage Text Retrieval with Hybrid List Aware Transformer Reranking,no
Scenario-based Multi-product Advertising Copywriting Generation for E-Commerce,no
Pre-training Data Quality and Quantity for a Low-Resource Language: New Corpus and BERT Models for Maltese,no
Computable Artificial General Intelligence,no
A Study on Transformer Configuration and Training Objective,no
Named Entity Linking with Entity Representation by Multiple Embeddings,no
Scaling Laws and Interpretability of Learning from Repeated Data,yes
DeepStruct: Pretraining of Language Models for Structure Prediction,no
Current Trends and Approaches in Synonyms Extraction: Potential Adaptation to Arabic,no
UViM: A Unified Modeling Approach for Vision with Learned Guiding Codes,no
Learning Task-relevant Representations for Generalization via Characteristic Functions of Reward Sequence Distributions,no
Progressive Class Semantic Matching for Semi-supervised Text Classification,no
Adversarial Body Shape Search for Legged Robots,no
Prototypical Calibration for Few-shot Learning of Language Models,no
Visually-Augmented Language Modeling,no
Adversarial joint attacks on legged robots,no
Exploring Extreme Parameter Compression for Pre-trained Language Models,no
Evaluating and Inducing Personality in Pre-trained Language Models,no
KERPLE: Kernelized Relative Positional Embedding for Length Extrapolation,no
Automated Scoring for Reading Comprehension via In-context BERT Tuning,yes
Towards Understanding Gender-Seniority Compound Bias in Natural Language Generation,yes
Overcoming Language Disparity in Online Content Classification with Multimodal Learning,yes
Enhancing Slot Tagging with Intent Features for Task Oriented Natural Language Understanding using BERT,no
RankGen: Improving Text Generation with Large Ranking Models,no
Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,yes
ArabGlossBERT: Fine-Tuning BERT on Context-Gloss Pairs for WSD,no
Wojood: Nested Arabic Named Entity Corpus and Recognition using BERT,no
"Great Power, Great Responsibility: Recommendations for Reducing Energy for Training Language Models",yes
Acceptability Judgements via Examining the Topology of Attention Maps,no
Automatic Spoken Language Identification using a Time-Delay Neural Network,no
Psychiatric Scale Guided Risky Post Screening for Early Detection of Depression,no
Nebula-I: A General Framework for Collaboratively Training Deep Learning Models on Low-Bandwidth Cloud Clusters,no
A Weakly-Supervised Iterative Graph-Based Approach to Retrieve COVID-19 Misinformation Topics,no
Are Prompt-based Models Clueless?,yes
Transformer-based Program Synthesis for Low-Data Environments,yes
Debiasing Neural Retrieval via In-batch Balancing Regularization,no
Entailment Tree Explanations via Iterative Retrieval-Generation Reasoner,no
LeRaC: Learning Rate Curriculum,no
Masked Autoencoders As Spatiotemporal Learners,no
Minimising Biasing Word Errors for Contextual ASR with the Tree-Constrained Pointer Generator,no
GPoeT-2: A GPT-2 Based Poem Generator,no
Evaluation of Transfer Learning for Polish with a Text-to-Text Model,no
PASH at TREC 2021 Deep Learning Track: Generative Enhanced Model for Multi-stage Ranking,no
ViralBERT: A User Focused BERT-Based Approach to Virality Prediction,no
AvatarCLIP: Zero-Shot Text-Driven Generation and Animation of 3D Avatars,no
Feature Aggregation in Zero-Shot Cross-Lingual Transfer Using Multilingual BERT,no
SKILL: Structured Knowledge Infusion for Large Language Models,no
SAMU-XLSR: Semantically-Aligned Multimodal Utterance-level Cross-Lingual Speech Representation,no
SEMI-FND: Stacked Ensemble Based Multimodal Inference For Faster Fake News Detection,no
Harnessing Multilingual Resources to Question Answering in Arabic,no
The Primacy Bias in Deep Reinforcement Learning,no
Qualitative Differences Between Evolutionary Strategies and Reinforcement Learning Methods for Control of Autonomous Agents,no
Chemical transformer compression for accelerating both training and inference of molecular modeling,no
"Heroes, Villains, and Victims, and GPT-3: Automated Extraction of Character Roles Without Training Data",no
The AI Teacher Test: Measuring the Pedagogical Ability of Blender and GPT-3 in Educational Dialogues,yes
What GPT Knows About Who is Who,yes
Downstream Transformer Generation of Question-Answer Pairs with Preprocessing and Postprocessing Pipelines,no
Transkimmer: Transformer Learns to Layer-wise Skim,yes
TiBERT: Tibetan Pre-trained Language Model,no
Classifiers are Better Experts for Controllable Text Generation,no
Topic Modelling on Consumer Financial Protection Bureau Data: An Approach Using BERT Based Embeddings,no
Discovering Latent Concepts Learned in BERT,yes
Learning Lip-Based Audio-Visual Speaker Embeddings with AV-HuBERT,no
Naturalistic Causal Probing for Morpho-Syntax,no
Fake News Quick Detection on Dynamic Heterogeneous Information Networks,no
RASAT: Integrating Relational Structures into Pretrained Seq2Seq Model for Text-to-SQL,no
Unified Distributed Environment,no
Bootstrapping Text Anonymization Models with Distant Supervision,no
PathologyBERT -- Pre-trained Vs. A New Transformer Language Model for Pathology Domain,yes
A Study of the Attention Abnormality in Trojaned BERTs,no
Controlling Translation Formality Using Pre-trained Multilingual Language Models,no
"Analyzing Hate Speech Data along Racial, Gender and Intersectional Axes",no
Weakly Supervised Text Classification using Supervision Signals from a Language Model,no
Improving Contextual Representation with Gloss Regularized Pre-training,no
ViT5: Pretrained Text-to-Text Transformer for Vietnamese Language Generation,no
TIE: Topological Information Enhanced Structural Reading Comprehension on Web Pages,no
Localized Vision-Language Matching for Open-vocabulary Object Detection,no
Is the Computation of Abstract Sameness Relations Human-Like in Neural Language Models?,no
Efficient and Training-Free Control of Language Generation,no
Towards Answering Open-ended Ethical Quandary Questions,yes
SimCPSR: Simple Contrastive Learning for Paper Submission Recommendation System,no
NER-MQMRC: Formulating Named Entity Recognition as Multi Question Machine Reading Comprehension,no
AdaVAE: Exploring Adaptive GPT-2s in Variational Auto-Encoders for Language Modeling,no
AppTek's Submission to the IWSLT 2022 Isometric Spoken Language Translation Task,no
"A time-varying study of Chinese investor sentiment, stock market liquidity and volatility: Based on deep learning BERT model and TVP-VAR model",no
"Structured, flexible, and robust: benchmarking and improving large language models towards more human-like behavior in out-of-distribution reasoning tasks",yes
Ontology-Driven and Weakly Supervised Rare Disease Identification from Clinical Notes,no
Aggregating Pairwise Semantic Differences for Few-Shot Claim Veracity Classification,no
Clinical Prompt Learning with Frozen Language Models,yes
Towards the Generation of Musical Explanations with GPT-3,yes
Query-Based Keyphrase Extraction from Long Documents,yes
Towards Unified Prompt Tuning for Few-shot Text Classification,yes
Reducing Activation Recomputation in Large Transformer Models,yes
UL2: Unifying Language Learning Paradigms,no
Extracting Latent Steering Vectors from Pretrained Language Models,no
Problems with Cosine as a Measure of Embedding Similarity for High Frequency Words,yes
Symphony Generation with Permutation Invariant Language Model,no
Ratatouille: A tool for Novel Recipe Generation,no
The Importance of Context in Very Low Resource Language Modeling,no
Deep learning based Chinese text sentiment mining and stock market correlation research,no
From Distillation to Hard Negative Sampling: Making Sparse Neural IR Models More Effective,no
Long Document Re-ranking with Modular Re-ranker,no
LayoutXLM vs. GNN: An Empirical Evaluation of Relation Extraction for Documents,no
Multi-segment preserving sampling for deep manifold sampler,no
Research on the correlation between text emotion mining and stock market based on deep learning,no
A Dataset and BERT-based Models for Targeted Sentiment Analysis on Turkish Texts,no
A Balanced Data Approach for Evaluating Cross-Lingual Transfer: Mapping the Linguistic Blood Bank,no
Automated Evaluation for Student Argumentative Writing: A Survey,no
Robust (Controlled) Table-to-Text Generation with Structure-Aware Equivariance Learning,no
Multimodal Semi-Supervised Learning for Text Recognition,no
On the Use of BERT for Automated Essay Scoring: Joint Learning of Multi-Scale Essay Representation,no
Beyond Distributional Hypothesis: Let Language Models Learn Meaning-Text Correspondence,yes
Context-Aware Abbreviation Expansion Using Large Language Models,yes
AKI-BERT: a Pre-trained Clinical Language Model for Early Prediction of Acute Kidney Injury,no
Vector Representations of Idioms in Conversational Systems,yes
Improving Downstream Task Performance by Treating Numbers as Entities,no
"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",yes
A Data Cartography based MixUp for Pre-trained Language Models,no
The Unreliability of Explanations in Few-shot Prompting for Textual Reasoning,yes
Prompt Distribution Learning,no
RaFoLa: A Rationale-Annotated Corpus for Detecting Indicators of Forced Labour,no
Language Models Can See: Plugging Visual Controls in Text Generation,no
Exploiting Global and Local Hierarchies for Hierarchical Text Classification,no
FastRE: Towards Fast Relation Extraction with Convolutional Encoder and Improved Cascade Binary Tagging Framework,no
Robust Conversational Agents against Imperceptible Toxicity Triggers,yes
Language Models in the Loop: Incorporating Prompting into Weak Supervision,no
Using virtual edges to extract keywords from texts modeled as complex networks,no
Provably Confidential Language Modelling,yes
