Title,Talks about LLMs,Rate,Evidence,Published
Ensuring Safe and High-Quality Outputs: A Guideline Library Approach for Language Models,Yes.,5.,"""Large Language Models (LLMs) exhibit impressive capabilities but also present risks such as biased content generation and privacy issues.""",2024
"E5: Zero-shot Hierarchical Table Analysis using Augmented LLMs via Explain, Extract, Execute, Exhibit and Extrapolate",Yes.,4.,"""their application to hierarchical tables is constrained by the reliance on manually curated exemplars and the model’s token capacity limitations.""",2024
"S3Eval: A Synthetic, Scalable, Systematic Evaluation Suite for Large Language Model",Yes.,5.,"""The rapid development of Large Language Models (LLMs) has led to great strides in model capabilities like long-context understanding and reasoning. However, as LLMs are able to process longer contexts, it becomes more challenging to evaluate whether they have acquired certain capabilities, since the length",2024
MMC: Advancing Multimodal Chart Understanding with Large-scale Instruction Tuning,Yes.,4.,"""Extensive experiments on MMC-Benchmark reveal the limitations of existing LMMs on correctly interpreting charts, even for the most recent GPT-4V model.""",2024
AutoPRM: Automating Procedural Supervision for Multi-Step Reasoning via Controllable Question Decomposition,Yes.,3.,"""Recent advancements in large language models (LLMs) have shown promise in multi-step reasoning tasks, yet their reliance on extensive manual labeling to provide procedural feedback remains a significant impediment.""",2024
SEMQA: Semi-Extractive Multi-Source Question Answering,Yes.,3.,"""Yet, attributing and verifying their generated abstractive answers can be difficult, and automatically evaluating their accuracy remains an ongoing challenge.""",2024
Fine-Tuning Language Models with Reward Learning on Policy,Yes.,3.,"""Despite its popularity, however, (fixed) reward models may suffer from inaccurate off-distribution, since policy optimization continuously shifts LLMs’ data distribution.""",2024
IterAlign: Iterative Constitutional Alignment of Large Language Models,Yes.,3.,"""However, these methods require either heavy human annotations or explicitly pre-defined constitutions, which are labor-intensive and resource-consuming.""",2024
Large Language Models Help Humans Verify Truthfulness – Except When They Are Convincingly Wrong,Yes.,5.,"""Users reading LLM explanations are significantly more efficient than those using search engines while achieving similar accuracy. However, they over-rely on the LLMs when the explanation is wrong."" and ""natural language explanations by LLMs may not be a reliable replacement for reading the retrieved",2024
Evaluating Large Language Models as Generative User Simulators for Conversational Recommendation,Yes.,3.,"""Through evaluation of baseline simulators, we demonstrate these tasks effectively reveal deviations of language models from human behavior, and offer insights on how to reduce the deviations with model selection and prompting strategies.""",2024
JAMDEC: Unsupervised Authorship Obfuscation using Constrained Decoding over Small Language Models,Yes.,3.,"""Our approach builds on small language models such as GPT2-XL in order to help avoid disclosing the original content to proprietary LLM’s APIs, while also reducing the performance gap between small and large language models via algorithmic enhancement.""",2024
MSciNLI: A Diverse Benchmark for Scientific Natural Language Inference,Yes.,3.,"""Furthermore, we show that domain shift degrades the performance of scientific NLI models which demonstrates the diverse characteristics of different domains in our dataset.""",2024
SELF-GUARD: Empower the LLM to Safeguard Itself,Yes.,4.,"""Safety training involves fine-tuning the LLM with adversarial samples, which activate the LLM’s capabilities against jailbreak. However, it is not always effective in countering new attacks and often leads to potential performance degradation."" and ""Safeguards, on the other hand, are methods using",2024
COSIGN: Contextual Facts Guided Generation for Knowledge Graph Completion,Yes.,1.,"""a contextual facts organizer is proposed to learn the organized capabilities of LLMs through knowledge distillation.""",2024
Toward Informal Language Processing: Knowledge of Slang in Large Language Models,Yes.,1.,"""Recent advancement in large language models (LLMs) has offered a strong potential for natural language systems to process informal language.""",2024
Ghostbuster: Detecting Text Ghostwritten by Large Language Models,Yes.,1.,"""We introduce Ghostbuster, a state-of-the-art system for detecting AI-generated text.""",2024
End-to-End Beam Retrieval for Multi-Hop Question Answering,Yes.,1.,"""To establish a complete QA system, we incorporate a supervised reader or a large language model (LLM).""",2024
Leveraging Generative Large Language Models with Visual Instruction and Demonstration Retrieval for Multimodal Sarcasm Detection,Yes.,1.,"""we propose a generative multimodal sarcasm model consisting of a designed instruction template and a demonstration retrieval module based on the large language model.""",2024
Ungrammatical-syntax-based In-context Example Selection for Grammatical Error Correction,Yes.,3.,"""However, applying LLMs to grammatical error correction (GEC) is still a challenging task.""",2024
BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer,Yes.,3.,"""Our findings reveal significant room for improvement in few-shot in-context cross-lingual transfer. Strong multilingual pre-trained or instruction-tuned models such as BLOOM or ChatGPT often lag behind much smaller mT5-base models given the same number of few-shot samples, particularly in low-resource languages.""",2024
zrLLM: Zero-Shot Relational Learning on Temporal Knowledge Graphs with Large Language Models,Yes.,3.,"""they face a strong challenge in modeling the unseen zero-shot relations that have no prior graph context.""",2024
Embodied Executable Policy Learning with Language-based Scene Summarization,Yes.,3.,"""the performance of pretrained LLMs heavily relies on domain-specific templated text data, which may be infeasible in real-world robot learning tasks with image-based observations. Moreover, existing LLMs with text inputs lack the capability to evolve with non-expert interactions with environments.""",2024
Metacognitive Prompting Improves Understanding in Large Language Models,Yes.,3.,"""the nuanced understanding abilities of these models, crucial for processing and interpreting complex information, remain underexplored.""",2024
MART: Improving LLM Safety with Multi-round Automatic Red-Teaming,Yes.,4.,"""Red-teaming is a common practice for mitigating unsafe behaviors in Large Language Models (LLMs), which involves thoroughly assessing LLMs to identify potential flaws and addressing them with responsible and accurate responses. While effective, manual red-teaming is costly, and existing automatic red-teaming typically discovers safety risks",2024
Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings,Yes.,5.,"""Our experiments reveal that",2024
The Colorful Future of LLMs: Evaluating and Improving LLMs as Emotional Supporters for Queer Youth,Yes.,5.,"""However, they tend to be generic, not empathetic enough, and lack personalization, resulting in nonreliable and potentially harmful advice.""",2024
QualEval: Qualitative Evaluation for Model Improvement,Yes.,2.,"""Quantitative evaluation metrics have been pivotal in gauging the advancements of AI systems like large language models (LLMs). However, due to the intricate nature of real-world tasks, a single scalar to quantify and compare performance trivializes the fine-grained nuances of model behavior.""",2024
A Wolf in Sheep’s Clothing: Generalized Nested Jailbreak Prompts can Fool Large Language Models Easily,,,,2024
Bridging the Novice-Expert Gap via Models of Decision-Making: A Case Study on Remediating Math Mistakes,Yes.,1.,"""Our work explores the potential of large language models (LLMs) to close the novice-expert knowledge gap in remediating math mistakes.""",2024
ReTA: Recursively Thinking Ahead to Improve the Strategic Reasoning of Large Language Models,Yes.,5.,"""Experimental results demonstrate that existing state-of-the-art LLMs and reasoning schemes are largely ineffective for strategic reasoning tasks.""",2024
Program-Aided Reasoners (Better) Know What They Know,Yes.,3.,"""However, while accuracy is essential, it is also important for such reasoners to 'know what they know', which can be quantified through the calibration of the model.""",2024
"First Tragedy, then Parse: History Repeats Itself in the New Era of Large Language Models",Yes.,4.,"""We argue that disparities in scale are transient and researchers can work to reduce them; that data, rather than hardware, is still a bottleneck for many applications; that meaningful realistic evaluation is still an open problem; and that there is still room for speculative approaches.""",2024
Found in the Middle: Permutation Self-Consistency Improves Listwise Ranking in Large Language Models,Yes.,5.,"""Large language models (LLMs) exhibit positional bias in how they use context, which especially affects listwise ranking.""",2024
From Language Modeling to Instruction Following: Understanding the Behavior Shift in LLMs after Instruction Tuning,Yes.,1.,"""Large Language Models (LLMs) have achieved remarkable success, where instruction tuning is the critical step in aligning LLMs with user intentions.""",2024
LLM-based Medical Assistant Personalization with Short- and Long-Term Memory Coordination,Yes.,3.,"""the resource consumption is unaffordable"" and ""a mere memory module is inadequate and fully training an LLM can be excessively costly.""",2024
How Well Do Large Language Models Truly Ground?,Yes.,5.,"""To reduce issues like hallucinations and lack of control in Large Language Models (LLMs),"" and ""We perform experiments across 25 LLMs of different sizes and training methods and provide insights into factors that influence grounding performance.""",2024
MILL: Mutual Verification with Large Language Models for Zero-Shot Query Expansion,Yes.,3.,"""Generation-based methods, utilizing large language models (LLMs), generally lack corpus-specific knowledge and entail high fine-tuning costs.""",2024
PaD: Program-aided Distillation Can Teach Small Models Reasoning Better than Chain-of-thought Fine-tuning,Yes.,3.,"""While large language models (LLMs) excel in various natural language processing tasks, their huge size and the inaccessibility of parameters present challenges for practical deployment.""",2024
"MEGAVERSE: Benchmarking Large Language Models Across Languages, Modalities, Models and Tasks",Yes.,3.,"""There has been a surge in LLM evaluation research to understand LLM capabilities and limitations."" and ""We also perform a study on data contamination and find that several models are likely to be contaminated with multilingual evaluation benchmarks, necessitating approaches to detect and handle contamination while assessing the",2024
Unlocking Emergent Modularity in Large Language Models,Yes.,2.,"""Despite the benefits of modularity, most Language Models (LMs) are still treated as monolithic models in the pre-train and fine-tune paradigm, with their emergent modularity locked and underutilized.""",2024
PatentEval: Understanding Errors in Patent Generation,Yes.,3.,"""These approaches provide valuable insights into the capabilities and limitations of current language models in the specialized field of patent text generation.""",2024
Contextual Refinement of Translations: Large Language Models for Sentence and Document-Level Post-Editing,Yes.,3.,"""Large language models (LLMs) have demonstrated considerable success in various natural language processing tasks, but open-source LLMs have yet to attain state-of-the-art performance in Neural Machine Translation (NMT)."" and ""Surprisingly, our initial experiments found that fine-tuning",2024
How Trustworthy are Open-Source LLMs? An Assessment under Malicious Demonstrations Shows their Vulnerabilities,Yes.,5.,"""However, there is still a limited understanding of their trustworthiness"" and ""scrutinizing them across eight different aspects including toxicity, stereotypes, ethics, hallucination, fairness, sycophancy, privacy, and robustness against adversarial demonstrations"" and ""our result analysis reveals that models with superior performance in general NLP tasks do not always have greater trustworthiness; in fact, larger",2024
Paraphrase and Solve: Exploring and Exploiting the Impact of Surface Form on Mathematical Reasoning in Large Language Models,Yes.,5.,"""We find that subtle alterations in the surface form can significantly impact the answer distribution and the solve rate, exposing the language model’s lack of robustness and sensitivity to the surface form in reasoning through complex problems.""",2024
TriSum: Learning Summarization Ability from Large Language Models with Structured Rationale,Yes.,3.,"""However, their large size and computational demands, coupled with privacy concerns in data transmission, limit their use in resource-constrained and privacy-centric settings.""",2024
GenRES: Rethinking Evaluation for Generative Relation Extraction in the Era of Large Language Models,Yes.,3.,"""prompting LLMs with a fixed set of relations or entities can cause hallucinations.""",2024
TopicGPT: A Prompt-based Topic Modeling Framework,Yes.,1.,"""we introduce TopicGPT, a prompt-based framework that uses large language models (LLMs) to uncover latent topics in a text collection.""",2024
ChatGPT as an Attack Tool: Stealthy Textual Backdoor Attack via Blackbox Generative Model Trigger,Yes.,1.,"""The rise of advanced generative models, such as GPT-4, with their capacity for human-like rewriting, makes these attacks increasingly challenging to detect.""",2024
LoRETTA: Low-Rank Economic Tensor-Train Adaptation for Ultra-Low-Parameter Fine-Tuning of Large Language Models,Yes.,3.,"""existing PEFT methods are still limited by the growing number of trainable parameters with the rapid deployment of Large Language Models (LLMs).""",2024
Do Localization Methods Actually Localize Memorized Data in LLMs? A Tale of Two Benchmarks,Yes.,4.,"""methods for localization have never been systematically and directly evaluated"" and ""even successful methods identify neurons that are not specific to a single memorized sequence.""",2024
Instructional Fingerprinting of Large Language Models,,,,2024
Uncertainty Quantification for In-Context Learning of Large Language Models,Yes.,3.,"""trustworthy issues with LLM’s response, such as hallucination, have also been actively discussed"" and ""highlighting that such uncertainties may stem from both the provided demonstrations (aleatoric uncertainty) and ambiguities tied to the model’s configurations (epistemic uncertainty).""",2024
HelpSteer: Multi-attribute Helpfulness Dataset for SteerLM,Yes.,3.,"""Existing open-source helpfulness preference datasets do not specify what makes some responses more helpful and others less so. Models trained on these datasets can incidentally learn to model dataset artifacts (e.g. preferring longer but unhelpful responses only due to their length).""",2024
A Preference-driven Paradigm for Enhanced Translation with Large Language Models,Yes.,3.,"""SFT simply instructs the model to imitate the reference translations at the token level, making it vulnerable to the noise present in the references. Hence, the assistance from SFT often reaches a plateau once the LLMs have achieved a certain level of translation capability, and further increasing the size of parallel data",2024
Fair Abstractive Summarization of Diverse Perspectives,Yes.,4.,"""Experiments show that both the model-generated and the human-written reference summaries suffer from low fairness.""",2024
Making Language Models Better Tool Learners with Execution Feedback,Yes.,3.,"""Existing tool learning methodologies, encompassing supervised fine-tuning and prompt engineering approaches, often induce large language models to utilize tools indiscriminately, as complex tasks often exceed their own competencies. However, introducing tools for simple tasks, which the models themselves can readily resolve, can inadvertently propagate errors rather than enhance performance.""",2024
Confronting LLMs with Traditional ML: Rethinking the Fairness of Large Language Models in Tabular Classifications,Yes.,5.,"""LLMs have been shown to exhibit harmful social biases that reflect the stereotypes and inequalities present in society."" and ""LLMs tend to inherit social biases from their training data which significantly impact their fairness in tabular classification tasks."" and ""the social",2024
Ada-LEval: Evaluating long-context LLMs with length-adaptable benchmarks,Yes.,5.,"""The evaluation results demonstrate the limitations of current LLMs, especially in ultra-long-context settings.""",2024
Long-form evaluation of model editing,Yes.,3.,"""while some methods (ROME and MEMIT) perform well in making consistent edits within a limited scope, they suffer much more from factual drift than other methods.""",2024
Analyzing the Role of Semantic Representations in the Era of Large Language Models,Yes.,3.,"""We find that it is difficult to predict which input examples AMR may help or hurt on, but errors tend to arise with multi-word expressions, named entities, and in the final inference step where the LLM must connect its reasoning over the AMR to its prediction.""",2024
TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,Yes.,5.,"""large language models (LLMs) frequently generate incorrect responses based on made-up facts, which are called hallucinations.""",2024
On-the-fly Definition Augmentation of LLMs for Biomedical NER,Yes.,5.,"""Despite their general capabilities, LLMs still struggle on biomedical NER tasks, which are difficult due to the presence of specialized terminology and lack of training data.""",2024
"This Land is Your, My Land: Evaluating Geopolitical Bias in Language Models through Territorial Disputes",Yes.,5.,"""we show that LLMs recall certain geographical knowledge inconsistently when queried in different languages—a phenomenon we term geopolitical bias,"" and ""use the proposed metrics to discover numerous inconsistencies in how these models respond in different languages,"" and ""highlights how brittle LLMs are and how they tailor their responses depending on cues from the interaction context.""",2024
Set-Aligning Framework for Auto-Regressive Event Temporal Graph Generation,Yes.,3.,"""these methods have often led to suboptimal graph generation as the linearised graphs exhibit set characteristics which are instead treated sequentially by language models. This discrepancy stems from the conventional text generation objectives, leading to erroneous penalisation of correct predictions caused by the misalignment of elements in target sequences.""",2024
Towards Improved Multi-Source Attribution for Long-Form Answer Generation,Yes.,5.,"""current LLMs struggle with attribution for long-form responses which require reasoning over multiple evidence sources.""",2024
Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey,Yes.,5.,"""The contemporary LLMs are prone to producing hallucinations, stemming mainly from the knowledge gaps within the models.""",2024
Take One Step at a Time to Know Incremental Utility of Demonstration: An Analysis on Reranking for Few-Shot In-Context Learning,Yes.,1.,"""In-Context Learning (ICL) is an emergent capability of Large Language Models (LLMs).""",2024
LM-Infinite: Zero-Shot Extreme Length Generalization for Large Language Models,Yes.,5.,"""Today’s large language models (LLMs) typically train on short text segments (e.g., <4K tokens) due to the quadratic complexity of their Transformer architectures. As a result, their performance suffers drastically on inputs longer than those encountered during training, substantially limiting their applications in real-world",2024
CONSCENDI: A Contrastive and Scenario-Guided Distillation Approach to Guardrail Models for Virtual Assistants,Yes.,2.,"""A major challenge in deploying LLM-based virtual conversational assistants in real world settings is ensuring they operate within what is admissible for the task."" and ""relying on commonly used, prompt-based guardrails can be difficult to engineer correctly and comprehensively",2024
DoG-Instruct: Towards Premium Instruction-Tuning Data via Text-Grounded Instruction Wrapping,Yes.,3.,"""Unfortunately, the current methods used to collect the pairs suffer from either unaffordable labor costs or severe hallucinations in the self-generation of LLM.""",2024
MDR: Model-Specific Demonstration Retrieval at Inference Time for In-Context Learning,Yes.,3.,"""distinct LLMs exhibit different biases for 'what is a good demonstration' since they possess differences in training data, model architectures and training methods"" and ""Previous approaches ignore the model bias and fail to retrieve the most appropriate demonstrations for different inference LLMs, resulting in a degradation of ICL performance.""",2024
Exploring Cross-Cultural Differences in English Hate Speech Annotations: From Dataset Construction to Analysis,Yes.,3.,"""Lastly, we evaluate large language models (LLMs) under a zero-shot setting and show that current LLMs tend to show higher accuracies on Anglosphere country labels in CREHate.""",2024
Enhancing Contextual Understanding in Large Language Models through Contrastive Decoding,Yes.,5.,"""Large language models (LLMs) tend to inadequately integrate input context during text generation, relying excessively on encoded prior knowledge in model parameters, potentially resulting in generated text with factual inconsistencies or contextually unfaithful content.""",2024
Rectifying Demonstration Shortcut in In-Context Learning,Yes.,3.,"""LLMs often rely on their pre-trained semantic priors of demonstrations rather than on the input-label relationships to proceed with ICL prediction.""",2024
Differentially Private Next-Token Prediction of Large Language Models,Yes.,3.,"""DP-SGD overestimates an adversary’s capabilities in having white box access to the model and, as a result, causes longer training times and larger memory usage than SGD.""",2024
"Impossible Distillation for Paraphrasing and Summarization: How to Make High-quality Lemonade out of Small, Low-quality Model",Yes.,1.,"""Unlike prior works that rely on an extreme-scale teacher model (e.g., GPT3) or task-specific architecture, we hypothesize and verify the paraphrastic proximity intrinsic to pre-trained LMs (e.g., GPT2),",2024
TofuEval: Evaluating Hallucinations of LLMs on Topic-Focused Dialogue Summarization,,,,2024
Fixing Rogue Memorization in Many-to-One Multilingual Translators of Extremely-Low-Resource Languages by Rephrasing Training Samples,Yes.,5.,"""However, we also found that many-to-one multilingual systems have a tendency to learn a 'rogue' strategy of storing output strings from the training data in the LLM structure and retrieving them instead of performing actual translations.""",2024
Flames: Benchmarking Value Alignment of LLMs in Chinese,Yes.,4.,"""there is still a significant gap in LLMs’ deeper alignment with human values and achieving genuine harmlessness"" and ""Our findings indicate that all the evaluated LLMs demonstrate relatively poor performance on Flames, particularly in the safety and fairness dimensions.""",2024
Effective Long-Context Scaling of Foundation Models,Yes.,5.,"""We delve into Llama’s position encodings and discuss its key limitation in modeling long data.""",2024
Aligning as Debiasing: Causality-Aware Alignment via Reinforcement Learning with Interventional Feedback,Yes.,5.,"""Large language models (LLMs) often generate biased outputs containing offensive, toxic, or stereotypical text.""",2024
Fake Alignment: Are LLMs Really Aligned Well?,Yes.,5.,"""This study investigates an under-explored issue about the evaluation of LLMs, namely the substantial discrepancy in performance between multiple-choice questions and open-ended questions.""",2024
"In-context Learning Generalizes, But Not Always Robustly: The Case of Syntax",Yes.,5.,"""Do models guided via ICL infer the underlying structure of the task defined by the context, or do they rely on superficial heuristics that only generalize to identically distributed examples?"" and ""we find large variance across LMs. The variance is explained more by the composition of the pre",2024
Anisotropy is Not Inherent to Transformers,,,,2024
Stealthy and Persistent Unalignment on Large Language Models via Backdoor Injections,Yes.,4.,"""While being effective, such fine-tuning-based unalignment approaches also have their own limitations",2024
Leveraging Code to Improve In-Context Learning for Semantic Parsing,,,,2024
SportQA: A Benchmark for Sports Understanding in Large Language Models,Yes.,3.,"""Our results reveal that while LLMs exhibit competent performance in basic sports knowledge, they struggle with more complex, scenario-based sports reasoning, lagging behind human expertise.""",2024
Revisiting subword tokenization: A case study on affixal negation in large language models,Yes.,3.,"""the negated meaning is expressed through a negative morpheme, which is potentially challenging for LLMs as their tokenizers are often not morphologically plausible.""",2024
Teaching Language Models to Self-Improve through Interactive Demonstrations,Yes.,3.,"""However, this ability has been shown to be absent and difficult to learn for smaller models, thus widening the performance gap between state-of-the-art LLMs and more cost-effective and faster ones.""",2024
MAGID: An Automated Pipeline for Generating Synthetic Multi-modal Datasets,Yes.,1.,"""Development of multimodal interactive systems is hindered by the lack of rich, multimodal (text, images) conversational data, which is needed in large quantities for LLMs.""",2024
Does GPT-4 pass the Turing test?,Yes.,3.,"""Despite known limitations as a test of intelligence, we argue that the Turing test continues to be relevant as an assessment of naturalistic communication and deception.""",2024
You don’t need a personality test to know these models are unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments,Yes.,5.,"""Our experiments on 17 different LLMs reveal that even simple perturbations significantly downgrade a model’s question-answering ability, and that most LLMs have low negation consistency.""",2024
MacGyver: Are Large Language Models Creative Problem Solvers?,Yes.,5.,"""In contrast, LLMs, exposed to a variety of specialized knowledge, attempt broader problems but fail by proposing physically-infeasible actions."" and ""Finally, we provide a detailed error analysis of LLMs, and demonstrate the potential of enhancing their problem-solving ability with novel prompting techniques such as iterative step",2024
Enhancing Large Language Models Against Inductive Instructions with Dual-critique Prompting,Yes.,5.,"""we uncovered a universal vulnerability among LLMs in processing inductive instructions.""",2024
GLiNER: Generalist Model for Named Entity Recognition using Bidirectional Transformer,Yes.,3.,"""However, their size and cost, particularly for those accessed via APIs like ChatGPT, make them impractical in resource-limited scenarios."" and ""an advantage over the slow sequential token generation of LLMs.""",2024
XSTest: A Test Suite for Identifying Exaggerated Safety Behaviours in Large Language Models,Yes.,5.,"""Without proper safeguards, large language models will readily follow malicious instructions and generate toxic content."" and ""we use the test suite to highlight systematic failure modes in state-of-the-art language models as well as more general challenges in building safer language models.""",2024
Fine-grained Gender Control in Machine Translation with Large Language Models,Yes.,3.,"""we discover an emergence of gender interference phenomenon when controlling the gender of multiple entities"" and ""address the limitations of existing gender accuracy evaluation metrics.""",2024
LLatrieval: LLM-Verified Retrieval for Verifiable Generation,Yes.,3.,"""the widely used retrievers become the bottleneck of the entire pipeline and limit the overall performance. Their capabilities are usually inferior to LLMs since they often have much fewer parameters than the large language model and have not been demonstrated to scale well to the size of LLMs.""",2024
Evidence-Driven Retrieval Augmented Response Generation for Online Misinformation,Yes.,3.,"""existing methods are often trained end-to-end without leveraging external knowledge, resulting in subpar text quality and excessively repetitive responses.""",2024
Understanding the Capabilities and Limitations of Large Language Models for Cultural Commonsense,Yes.,5.,"""LLMs have a significant discrepancy in performance when tested on culture-specific commonsense knowledge for different cultures;"" and ""LLMs’ general commonsense capability is affected by cultural context;"" and ""The language used to query the LLMs can impact their performance on cultural-related tasks.""",2024
Do Large Language Models Rank Fairly? An Empirical Study on the Fairness of LLMs as Rankers,Yes.,4.,"""However, their fairness remains largely unexplored."" and ""Our analysis delves into how these LLMs handle queries and documents related to these attributes, aiming to uncover biases in their ranking algorithms.""",2024
TabSQLify: Enhancing Reasoning Capabilities of LLMs Through Table Decomposition,Yes.,5.,"""Large language models (LLMs) have shown impressive capabilities in natural language understanding and generation, but they often struggle with large tables due to their limited input length.""",2024
