Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase
emnlp2022,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Yes.,5,despite strong performance many pretraine show struggle outofdistribution compositional generalization overall study highlight limitation current technique effectively leverage scale compositional generalization analysis also suggest promise direction future work,2022,December,"Keyphrase: ""Struggles with out-of-distribution compositional generalization"""
emnlp2022,A Systematic Investigation of Commonsense Knowledge in Large Language Models,Yes.,5,finding highlight limitation pretraine lm acquire commonsense without taskspecific supervision furthermore use fewshot evaluation insufficient achieve humanlevel commonsense performance,2022,December,"Keyphrase: ""Limited acquisition of commonsense"""
emnlp2022,SEAL: Interactive Tool for Systematic Error Analysis and Labeling,Yes.,5,however many time systematically fail tail rare group obvious aggregate evaluation,2022,December,"Keyphrase: ""Failure to address rare group tail issues"""
acl2022,Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4,humanlike bias undesired social stereotype exist pretrained give wide adoption realworld application mitigate bias become emerge important,2022,May,"Keyphrase: ""Humanlike bias and social stereotypes"""
acl2022,Are Prompt-based Models Clueless?,Yes.,5,taskspecific head require lot training make susceptible learn exploit datasetspecific superficial cue generalize dataset analyze fewshot promptbase mnli snli han copa reveal promptbase also exploit superficial cue well instance superficial cue,2022,May,"Keyphrase: ""Overreliance on superficial cues"""
acl2022,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Yes.,5,many false mimic popular misconception potential deceive human generally least truthful,2022,May,"Keyphrase: ""Deceptive false information"""
acl2022,Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,Yes.,4,investigate bias transfer hypothesis,2022,May,"Keyphrase: ""Bias transfer"""
acl2022,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,Yes.,5,pretraine generative like gpt often suffer hallucinate nonexistent incorrect content undermine potential merit real application,2022,May,"Keyphrase: ""Hallucination of nonexistent content"""
acl2022,Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,Yes.,4,error machine generation become ever subtle hard spot ten error category scarecrowÃ¢such redundancy commonsense error incoherence,2022,May,"Keyphrase: ""Subtle errors and incoherence"""
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,5,exist promptbase technique fail semantic distinction wordincontext wic dataset specifically none exist fewshot approach include incontext learning gpt attain performance meaningfully different random baseline,2022,May,"Keyphrase: ""Weak semantic understanding"""
acl2022,Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,Yes.,5,however discover single hidden state produce probability distribution regardless lm size training size single hidden state embed close embedding possible next word simultaneously interfere word embedding,2022,May,"Keyphrase: ""Interference in word embeddings"""
acl2022,Coherence boosting: When your pretrained language model is not paying enough attention,Yes.,5,demonstrate insufficiently learn effect distant word nexttoken prediction,2022,May,"Keyphrase: ""Limited learning of distant word effects"""
acl2022,Data Contamination: From Memorization to Exploitation,Yes.,5,clear extent exploit contaminated downstream highlight importance analyze massive webscale dataset verify progress nlp obtain well understanding well exploitation,2022,May,"Keyphrase: ""Limited dataset exploitation"""
acl2022,Kronecker Decomposition for GPT Compression,Yes.,5,despite superior performance gpt overparameterize nature gpt prohibitive deploy device limited computational power memory,2022,May,"Keyphrase: ""Overparameterization and computational constraints"""
naacl2022,Provably Confidential Language Modelling,Yes.,5,show memorize privacy information social security number training,2022,July,"Keyphrase: ""Privacy information memorization"""
naacl2022,"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5,find certain extent sensitive interaction investigate challenge presence multiple nps behavior systematic suggest even scale gpt fully acquire basic entity track ability,2022,July,"Keyphrase: ""Limited entity tracking ability"""
naacl2022,Measuring Fairness with Biased Rulers: A Comparative Study on Bias Metrics for Pre-trained Language Models,Yes.,4,indicate fairness bias evaluation remain challenge contextualize among reason choice remain subjective,2022,July,"Keyphrase: ""Subjective fairness evaluation"""
naacl2022,Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,Yes.,5,current evaluation show significant shortcoming fail effectively map aspect understanding remain challenge exist experiment provide insight limitation exist benchmark dataset stateoftheart,2022,July,"Keyphrase: ""Limited aspect understanding"""
naacl2022,Exposing the Limits of Video-Text Models through Contrast Sets,Yes.,5,see performance suffer across erase gap recent clipbased vs early,2022,July,"Keyphrase: ""Performance degradation with evolving data"""
naacl2022,KALA: Knowledge-Augmented Language Model Adaptation,Yes.,5,simple finetuning plm hand might suboptimal domainspecific possibly cover domain adaptive pretraining plm help obtain domainspecific require training cost moreover adaptive pretraining harm plmÃ¢s performance downstream cause catastrophic forgetting general,2022,July,"Keyphrase: ""Limited domain adaptation"""
naacl2022,You DonÃ¢â‚¬â„¢t Know My Favorite Color: Preventing Dialogue Representations from Revealing SpeakersÃ¢â‚¬â„¢ Private Personas,Yes.,4,privacy concern arise recently,2022,July,"Keyphrase: ""Privacy concerns"""
naacl2022,Methods for Estimating and Improving Robustness of Language Models,Yes.,5,suffer notorious flaw relate preference shallow textual relation full semantic complexity problem weak ability generalise outside training domain,2022,July,"Keyphrase: ""Weak generalization outside training domain"""
naacl2022,Exploring the Effect of Dialect Mismatched Language Models in Telugu Automatic Speech Recognition,Yes.,5,show dialect variation surface form different lexicon grammar occasionally semantic significantly degrade performance lm mismatch condition,2022,July,"Keyphrase: ""Dialect variation degradation"""
acl2023,MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,Yes.,4,despite advance pretraine neural prone toxic bring security risk application,2023,July,"Keyphrase: ""Toxicity and security risks"""
acl2023,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,Yes.,5,robustness also call question recent work show rely shallow pattern problem description solution analysis show robustness appear continuously improve function size,2023,July,"Keyphrase: ""Questionable robustness"""
acl2023,ALERT: Adapt Language Models to Reasoning Tasks,Yes.,5,unclear whether apply reasoning skill learn pretraine simply memorize training corpus fine granularity also find finetune tend overfit prompt template hurt robustness cause generalization,2023,July,"Keyphrase: ""Overfitting and lack of reasoning skills"""
acl2023,ThinkSum: Probabilistic reasoning over sets using large language models,Yes.,5,recent study show even advanced fail scenario require reasoning multiple object fact make sequence logical deduction,2023,July,"Keyphrase: ""Limited reasoning capabilities"""
acl2023,Dynamic and Efficient Inference for Text Generation via BERT Family,Yes.,5,suffer inefficient inference computation memory due largescale parameter universal autoregressive decode paradigm,2023,July,"Keyphrase: ""Inefficient inference and computation"""
acl2023,Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,Yes.,4,exist bias mitigation require socialgroupspecific word pairs eg Ã¢Å“manÃ¢ Ã¢ Ã¢Å“womanÃ¢ social attribute eg gender restrict bias mitigation one specify social attribute constraint render impractical costly mitigate bias,2023,July,"Keyphrase: ""Limited bias mitigation options"""
acl2023,"On Second Thought, LetÃ¢â‚¬â„¢s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",Yes.,5,find zeroshot cot reasoning sensitive domain significantly increase modelÃ¢s likelihood produce harmful undesirable work suggest zeroshot cot use caution socially important especially marginalize group sensitive topic involve,2023,July,"Keyphrase: ""Harmful biases in sensitive topics"""
acl2023,MISGENDERED: Limits of Large Language Models in Understanding Pronouns,Yes.,5,prompt outofthebox poorly correctly predict neopronoun average   accuracy genderneutral pronoun average   accuracy inability generalize lack representation nonbinary pronoun training memorized association,2023,July,"Keyphrase: ""Limited representation of nonbinary pronouns"""
acl2023,SCOTT: Self-Consistent Chain-of-Thought Distillation,Yes.,4,even concern little guarantee rationale consistent lmÃ¢s prediction faithfully justify decision,2023,July,"Keyphrase: ""Lack of rationale consistency"""
acl2023,Evaluating Open-Domain Question Answering in the Era of Large Language Models,Yes.,5,automate struggle detect hallucination thus unable evaluate,2023,July,"Keyphrase: ""Difficulty in detecting hallucination"""
acl2023,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,Yes.,5,one fatal disadvantage lack factual correctness unfactual text lead low performance also degrade trust validity application,2023,July,"Keyphrase: ""Factual correctness deficiency"""
acl2023,Language model acceptability judgements are not always robust to context,Yes.,5,find judgement generally robust place randomly sample linguistic context unstable contexts match test stimulus syntactic structure sensitivity highly specific syntactic feature context explain modelsÃ¢ implicit incontext learn ability,2023,July,"Keyphrase: ""Limited syntactic structure sensitivity"""
acl2023,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Yes.,5,indicate stateoftheart table qa eg gpt fewshot learning falter adversarial set,2023,July,"Keyphrase: ""Falter in few-shot learning"""
acl2023,Learning Non-linguistic Skills without Sacrificing Linguistic Proficiency,Yes.,5,nonlinguistic skill injection typically come cost,2023,July,"Keyphrase: ""Cost of nonlinguistic skill injection"""
acl2023,Parallel Context Windows for Large Language Models,Yes.,5,apply process long text limit context window,2023,July,"Keyphrase: ""Limited context window"""
acl2023,Are Machine Rationales (Not) Useful to Humans? Measuring and Improving Human Utility of Free-text Rationales,Yes.,4,observe human utility exist rationale far satisfactory expensive estimate human study exist metric like performance lm rationale similarity gold rationale good indicator human utility,2023,July,"Keyphrase: ""Limited human utility estimation"""
acl2023,Targeted Data Generation: Finding and Fixing Model Weaknesses,Yes.,4,stateoftheart nlp often fail systematically specific subgroup unfair outcome erode user trust,2023,July,"Keyphrase: ""Unfair outcomes and eroded trust"""
acl2023,On Ã¢â‚¬Å“Scientific DebtÃ¢â‚¬Â in NLP: A Case for More Rigour in Language Model Pre-Training Research,Yes.,5,current plm research practice often conflate different possible source improvement without conduct proper ablation study principled comparison different comparable condition practice leave illequippe understand pretraine approach use circumstance ii impede reproducibility credit assignment iii render difficult understand,2023,July,Keyphrase: Lack of principled comparison and reproducibility
acl2023,WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,Yes.,5,apply benchmark several popular find offtheshelf generally exhibit considerable antiqueer bias,2023,July,"Keyphrase: ""Antiqueer bias"""
acl2023,Say What You Mean! Large Language Models Speak Too Positively about Negative Commonsense Knowledge,Yes.,5,experiment reveal frequently fail valid sentence ground negative commonsense statistical shortcut negation report bias modeling pretraine cause conflict,2023,July,"Keyphrase: ""Failure in handling negation and bias"""
acl2023,How Do In-Context Examples Affect Compositional Generalization?,Yes.,5,find compositional generalization performance easily affect selection incontext example two strong limitation observe,2023,July,"Keyphrase: ""Compositional generalization limitations"""
acl2023,Contrastive Decoding: Open-ended Text Generation as Optimization,Yes.,5,maximum probability poor decode objective openende generation produce short repetitive text hand sampling often produce incoherent text drift original topic,2023,July,"Keyphrase: ""Incoherent text generation"""
acl2023,CHBias: Bias Evaluation and Mitigation of Chinese Conversational Language Models,Yes.,4,pretraine conversational agent expose safety issue exhibit range stereotypical human bias gender bias experimental show chinese pretraine potentially risky text contain social bias,2023,July,"Keyphrase: ""Safety and societal biases"""
acl2023,"RARR: Researching and Revising What Language Models Say, Using Language Models",Yes.,5,however sometimes unsupported misleading content user easily determine whether trustworthy lm builtin mechanism attribution external evidence,2023,July,"Keyphrase: ""Lack of transparency and trustworthiness"""
acl2023,Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,Yes.,4,societal bias present pretraine critical issue show propagate bias countless downstream application render unfair towards specific group people,2023,July,"Keyphrase: ""Propagating societal bias"""
acl2023,Probing Physical Reasoning with Counter-Commonsense Context,Yes.,5,show use preposition provide context infer size relationship fail use verb thus make incorrect judgment lead prior physical commonsense,2023,July,"Keyphrase: ""Lack of contextual understanding"""
acl2023,"Summarizing, Simplifying, and Synthesizing Medical Evidence using GPT-3 (with Varying Success)",Yes.,5,find gpt able summarize simplify single biomedical article faithfully struggle provide accurate aggregation finding multiple document,2023,July,"Keyphrase: ""Limited multi-document aggregation"""
acl2023,Controlling the Extraction of Memorized Data from Large Language Models via Prompt-Tuning,Yes.,5,know memorize significant portion training part memorized content show extractable simply query pose privacy risk,2023,July,"Keyphrase: ""Privacy risk due to memorization"""
acl2023,A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification,Yes.,5,benchmark often adequately address challenge pose realworld hierarchical classification   observe prone failure case,2023,July,"Keyphrase: ""Failure in real-world hierarchical classification"""
acl2023,Making the Most Out of the Limited Context Length: Predictive Power Varies with Clinical Note Type and Note Section,Yes.,5,context length predictor limit part clinical note choose,2023,July,"Keyphrase: ""Limited context understanding"""
acl2023,MathPrompter: Mathematical Reasoning using Large Language Models,Yes.,5,limited performance solve arithmetic reasoning often provide incorrect good aware indicate level confidence response fuel trust deficit impede adoption,2023,July,"Keyphrase: ""Limited arithmetic reasoning performance"""
acl2023,KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications,Yes.,5,learn natural text generation ability also social bias different demographic group realworld pose critical risk deploy llmbase application limitation require localize social bias dataset ensure safe effective deployment,2023,July,"Keyphrase: ""Social bias and deployment risks"""
acl2023,A Static Evaluation of Code Completion by Large Language Models,Yes.,4,static analysis reveal undefined name unused variable common error among make,2023,July,"Keyphrase: ""Limited error detection capabilities"""
acl2023,"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world",Yes.,4,responsible ai issue fairness bias toxicity linguistic diversity evaluation context mmlm specifically focus issue nonenglish lowresource,2023,July,"Keyphrase: ""Limited focus on non-English and low-resource languages"""
eacl2023,WinoDict: Probing language models for in-context word acquisition,Yes.,5,benchmark address word acquisition one important aspect diachronic degradation know afflict freeze time moment train normally unable reflect way change time,2023,May,"Keyphrase: ""Limited diachronic adaptation"""
eacl2023,Nationality Bias in Text Generation,Yes.,5,paper examine text generation gpt accentuate preexist societal bias countrybased demonym gpt demonstrate significant bias country low internet user adversarial triggering effectively reduce,2023,May,"Keyphrase: ""Amplification of societal biases"""
eacl2023,"Ã¢â‚¬Å“John is 50 years old, can his son be 65?Ã¢â‚¬Â Evaluating NLP ModelsÃ¢â‚¬â„¢ Understanding of Feasibility",Yes.,5,recent work also find notable failure often failure example involve complex reasoning ability show even stateoftheart gpt gpt struggle,2023,May,"Keyphrase: ""Failure in complex reasoning"""
eacl2023,MiniALBERT: Model Distillation via Parameter-Efficient Recursive Transformers,Yes.,5,usability lm constrain computational time complexity along increase size issue refer overparameterisation,2023,May,"Keyphrase: ""Computational time complexity constraints"""
eacl2023,SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models,Yes.,4,common limitation diagnostic test detect social bias nlp may detect stereotypic association prespecifie designer test also test sodapop debiase show limitation,2023,May,"Keyphrase: ""Limited ability to detect social biases"""
eacl2023,Robustness Challenges in Model Distillation and Pruning for Natural Language Understanding,Yes.,5,however study analyze impact compression generalizability robustness compress outofdistribution ood compress significantly less robust plm counterpart ood test set although obtain similar performance indistribution development set,2023,May,"Keyphrase: ""Reduced generalizability and robustness after compression"""
eacl2023,Opportunities and Challenges in Neural Dialog Tutoring,Yes.,5,find although current approach tutoring constrained learn scenario number concept teach possible teacher strategy small poorly less constrained scenario human quality evaluation show groundtruth annotation exhibit low performance term equitable tutoring measure learn opportunity,2023,May,"Keyphrase: ""Limited concept teaching capability"""
eacl2023,Assessing Out-of-Domain Language Model Performance from Few Examples,Yes.,5,pretraine exhibit impressive generalization capability still behave unpredictably certain domain shift give targetdomain example set similar training performance understand ood test,2023,May,"Keyphrase: ""Unpredictable domain shifts"""
eacl2023,Towards preserving word order importance through Forced Invalidation,Yes.,5,however recent finding reveal pretraine insensitive word order performance nlu remain unchanged even randomly permute word sentence crucial syntactic information destroy,2023,May,"Keyphrase: ""Insensitive to word order"""
eacl2023,Adding Instructions during Pretraining: Effective way of Controlling Toxicity in Language Models,Yes.,4,however safely deploy real world application challenge toxic content,2023,May,"Keyphrase: ""Toxic content challenges"""
eacl2023,When Do Pre-Training Biases Propagate to Downstream Tasks? A Case Study in Text Summarization,Yes.,5,subject sociocultural bias previously identify use intrinsic evaluation however intrinsic bias pretraine lm representation propagate downstream finetune nlp like summarization well understand show bias manifest hallucination summarization lead factually incorrect summary,2023,May,"Keyphrase: ""Propagation of sociocultural bias"""
eacl2023,Language Generation Models Can Cause Harm: So What Can We Do About It? An Actionable Survey,Yes.,4,go beyond enumerate risk harm work provide survey practical address potential threat societal harm generation,2023,May,"Keyphrase: ""Limited consideration of societal harm"""
emnlp2023,FISH: A Financial Interactive System for Signal Highlighting,Yes.,5,chatgptÃ¢s decision sensitive order label prompt chatgpt clearly high chance select label early position,2023,December,"Keyphrase: ""Decision sensitivity to label prompts"""
emnlp2023,A Unified Framework for Emotion Identification and Generation in Dialogues,Yes.,5,experiment dataset show recent eg instructgpt struggle subquestion even able main question correctly find particularly poorly subquestion write incorrect option,2023,December,"Keyphrase: ""Struggles with subquestions"""
emnlp2023,Addressing Domain Changes in Task-oriented Conversational Agents through Dialogue Adaptation,Yes.,5,reveal limitation llmbase agentsÃ¢ plan optimization due systematic failure manage longhorizon contexts hallucination state,2023,December,"Keyphrase: ""Struggles with long-horizon context"""
emnlp2023,CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,5,find poorly especially word tokenize unfavorably subword tokenization,2023,December,**Keyphrase:** Suboptimal tokenization efficiency
emnlp2023,Conceptual structure coheres in human cognition but not in large language models,Yes.,5,structure estimate behavior individually fairly consistent estimate human behavior depend much upon particular use behavior responsesÃ¢response three yield estimate conceptual structure cohere less one another human structure,2023,December,"Keyphrase: ""Inconsistent conceptual structure"""
emnlp2023,Towards LLM-driven Dialogue State Tracking,Yes.,5,despite impressive performance chatgpt significant limitation include closedsource nature request restriction raise privacy concern lack local deployment capability,2023,December,"Keyphrase: ""Closed-source and privacy concerns"""
emnlp2023,WeÃ¢â‚¬â„¢re Afraid Language Models ArenÃ¢â‚¬â„¢t Modeling Ambiguity,Yes.,5,find remain extremely challenging include gpt whose disambiguation consider correct   time crowdworker evaluation compare   disambiguation dataset,2023,December,"Keyphrase: ""Challenges in disambiguation accuracy"""
emnlp2023,Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,Yes.,5,however prone hallucinate untruthful nonsensical fail meet user expectation many realworld application,2023,December,"Keyphrase: ""Untruthful hallucinations"""
emnlp2023,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,Yes.,5,however exist code two main limitation first often adopt specific architecture encoderonly decoderonly rely unify encoderdecoder network different downstream lack flexibility operate optimal architecture specific secondly often employ limited set pretraine objective might relevant,2023,December,"Keyphrase: ""Limited architecture flexibility and pretraining objectives"""
emnlp2023,Unveiling the Implicit Toxicity in Large Language Models,Yes.,5,show diverse implicit toxic exceptionally difficult detect via simply zeroshot prompting finding suggest pose significant threat undetectable implicit toxic,2023,December,"Keyphrase: ""Difficulty in detecting implicit toxic content"""
emnlp2023,ALCUNA: Large Language Models Meet New Knowledge,Yes.,5,benchmark several reveal performance face new satisfactory particularly reasoning new internal,2023,December,"Keyphrase: ""Limited reasoning capabilities"""
emnlp2023,Robust Prompt Optimization for Large Language Models Against Distribution Shifts,Yes.,5,reveal prompt optimization technique vulnerable distribution shift subpopulation shift common realworld scenario customer review analysis,2023,December,"Keyphrase: ""Vulnerability to distribution shift"""
emnlp2023,Interpreting Embedding Spaces by Conceptualization,Yes.,4,one major drawback type representation incomprehensibility human understand embed space crucial several important need include need debug embed compare alternative need detect bias hide,2023,December,"Keyphrase: ""Incomprehensibility and bias detection"""
emnlp2023,Knowledge-Augmented Language Model Verification,Yes.,5,yet lm often factually incorrect response give query since may inaccurate incomplete outdated may fail retrieve relevant give query may faithfully reflect retrieve text,2023,December,"Keyphrase: ""Poor factual accuracy"""
emnlp2023,Failures Pave the Way: Enhancing Large Language Models through Tuning-free Rule Accumulation,Yes.,5,however due inability capture relationship among sample frozen inevitably keep repeat similar mistake,2023,December,"Keyphrase: ""Limited relationship capture"""
emnlp2023,Ã¢â‚¬Å“Fifty Shades of BiasÃ¢â‚¬Â: Normative Ratings of Gender Bias in GPT Generated English Text,Yes.,4,increasingly gain humanlike fluency text generation gain nuance understanding bias imperative,2023,December,"Keyphrase: ""Biased understanding"""
emnlp2023,MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations,Yes.,4,cutoff costly finetune repeatedly finding also highlight need improvement particularly interpret unfamiliar word compose multiple novel interpretation simultaneously example,2023,December,"Keyphrase: ""Difficulty in interpreting unfamiliar words"""
emnlp2023,Instructed Language Models with Retrievers Are Powerful Entity Linkers,Yes.,5,generative nature still make content suffer hallucination thus unsuitable entitycentric like entity link el require precise entity prediction base el remain persistent hurdle general,2023,December,"Keyphrase: ""Hallucination in generative content"""
emnlp2023,"The Past, Present and Better Future of Feedback Learning in Large Language Models for Subjective Human Preferences and Values",Yes.,4,unclear collect incorporate feedback way efficient effective unbiased especially highly subjective human preference value encourage well future feedback learn raise five unresolved conceptual practical challenge,2023,December,"Keyphrase: ""Challenges in feedback incorporation"""
emnlp2023,"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",Yes.,5,issue hallucination parallelly emerge byproduct pose significant concern propose two solution strategy mitigate hallucination,2023,December,"Keyphrase: ""Hallucination issues"""
emnlp2023,The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages,Yes.,5,comprehensive analysis reveal exist opensource instruction tune still struggle understand sm across various close random baseline case also find although chatgpt outperform many still fall behind taskspecific finetune gap   sparrow score,2023,December,"Keyphrase: ""Struggles with task-specific fine-tuning"""
emnlp2023,Understanding the Effect of Model Compression on Social Bias in Large Language Models,Yes.,4,train selfsupervision vast corpora web text fit social bias text without intervention social bias persist modelÃ¢s prediction downstream lead representational harm,2023,December,"Keyphrase: ""Persistent social biases"""
emnlp2023,Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,Yes.,5,hallucination text ungrounded wellknown problem neural datatotext generation,2023,December,"Keyphrase: ""Ungrounded hallucinations"""
emnlp2023,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Yes.,4,however three pivotal question remain unanswered,2023,December,"Keyphrase: ""Unanswered pivotal questions"""
emnlp2023,Oolong: Investigating What Makes Transfer Learning Hard with Controlled Studies,Yes.,5,find largely recover syntacticstyle shift recover vocabulary misalignment embed matrix reinitialization even continued pretraining   million token,2023,December,"Keyphrase: ""Difficulty in recovering syntax and vocabulary alignment"""
emnlp2023,The Curious Case of Hallucinatory (Un)answerability: Finding Truths in the Hidden States of Over-Confident Large Language Models,Yes.,5,primary issue arise context management unanswerable query often hallucinatory behavior due overconfidence,2023,December,"Keyphrase: ""Overconfidence leading to hallucinatory behavior"""
emnlp2023,ROBBIE: Robust Bias Evaluation of Large Generative Language Models,Yes.,4,must develop comprehensive enough tool measure improve fairness testing dataset potentially help characterize bias fully explore frequency demographic term common pretraine corpora may relate bias,2023,December,"Keyphrase: ""Limited fairness testing and bias characterization"""
emnlp2023,Adapting Language Models to Compress Contexts,Yes.,5,transformerbase lm powerful widelyapplicable tool usefulness constrain finite context window expensive computational cost process long text document,2023,December,"Keyphrase: ""Limited context window"""
emnlp2023,Large Language Models are Temporal and Causal Reasoners for Video Question Answering,Yes.,5,however prior often cause suboptimal videoqa lead overrely question ie linguistic bias ignore visual content also know Ã¢ungrounded guessesÃ¢ Ã¢hallucinationsÃ¢,2023,December,"Keyphrase: ""Linguistic bias and ungrounded guesses"""
emnlp2023,Preserving Privacy Through Dememorization: An Unlearning Technique For Mitigating Memorization Risks In Language Models,Yes.,5,show ability memorize reproduce portion training prompt adversary prior research focus address memorization issue prevent verbatim replication technique like unlearning preprocesse however limitation regard number protect sample limited privacy type potentially lowerquality generative,2023,December,"Keyphrase: ""Memorization and privacy concerns"""
emnlp2023,Noisy Exemplars Make Large Language Models More Robust: A Domain-Agnostic Behavioral Analysis,Yes.,5,find sensitive certain perturbation replace word synonym,2023,December,"Keyphrase: ""Sensitivity to word perturbations"""
emnlp2023,Can Large Language Models Capture Dissenting Human Voices?,Yes.,5,show exhibit limited ability solve nli simultaneously fail capture human disagreement distribution inference human alignment performance plunge even sample high human disagreement level raise concern natural understand nlu ability representativeness human population,2023,December,"Keyphrase: ""Limited ability in capturing human disagreement"""
emnlp2023,Merging Generated and Retrieved Knowledge for Open-Domain QA,Yes.,4,retrieve passage give source know suffer insufficient coverage tend hallucinate content conflict retrieve,2023,December,"Keyphrase: ""Insufficient coverage and tendency to hallucinate"""
