Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase,Topic
naacl2022,KALA: Knowledge-Augmented Language Model Adaptation,Yes.,5,simple finetune plm hand might suboptimal domainspecific possibly cover domain adaptive pretraine plm help obtain domainspecific require training cost moreover adaptive pretraine harm plmãs performance downstream cause catastrophic forget general limited domain adaptation,2022,July,"Keyphrase: ""Limited domain adaptation""",0
naacl2022,You DonÃ¢â‚¬â„¢t Know My Favorite Color: Preventing Dialogue Representations from Revealing SpeakersÃ¢â‚¬â„¢ Private Personas,Yes.,4,privacy concern arise recently privacy concern,2022,July,"Keyphrase: ""Privacy concerns""",1
naacl2022,Methods for Estimating and Improving Robustness of Language Models,Yes.,5,suffer notorious flaw relate preference shallow textual relation full semantic complexity problem weak ability generalise outside training domain weak generalization outside training domain,2022,July,"Keyphrase: ""Weak generalization outside training domain""",4
naacl2022,Exploring the Effect of Dialect Mismatched Language Models in Telugu Automatic Speech Recognition,Yes.,5,show dialect variation surface form different lexicon grammar occasionally semantic significantly degrade performance lm mismatch condition dialect variation degradation,2022,July,"Keyphrase: ""Dialect variation degradation""",1
acl2023,MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,Yes.,4,despite advance pretraine neural prone toxic bring security risk application toxicity security risk,2023,July,"Keyphrase: ""Toxicity and security risks""",1
acl2023,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,Yes.,5,robustness also call question recent work show rely shallow pattern problem description solution analysis show robustness appear continuously improve function size questionable robustness,2023,July,"Keyphrase: ""Questionable robustness""",2
acl2023,ALERT: Adapt Language Models to Reasoning Tasks,Yes.,5,unclear whether apply reasoning skill learn pretraine simply memorize training corpus fine granularity also find finetune tend overfit prompt template hurt robustness cause generalization overfitting lack reasoning skill,2023,July,"Keyphrase: ""Overfitting and lack of reasoning skills""",0
acl2023,ThinkSum: Probabilistic reasoning over sets using large language models,Yes.,5,recent study show even advanced fail scenario require reason multiple object fact make sequence logical deduction limited reasoning capability,2023,July,"Keyphrase: ""Limited reasoning capabilities""",0
acl2023,Dynamic and Efficient Inference for Text Generation via BERT Family,Yes.,5,suffer inefficient inference computation memory due largescale parameter universal autoregressive decode paradigm inefficient inference computation,2023,July,"Keyphrase: ""Inefficient inference and computation""",3
acl2023,Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,Yes.,4,exist bias mitigation require socialgroupspecific word pair eg ãåmanã ã ãåwomanã social attribute eg gender restrict bias mitigation one specify social attribute constraint render impractical costly mitigate bias limited bias mitigation option,2023,July,"Keyphrase: ""Limited bias mitigation options""",1
acl2023,"On Second Thought, LetÃ¢â‚¬â„¢s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",Yes.,5,find zeroshot cot reasoning sensitive domain significantly increase modelãs likelihood produce harmful undesirable work suggest zeroshot cot use caution socially important especially marginalize group sensitive topic involve harmful bias sensitive topic,2023,July,"Keyphrase: ""Harmful biases in sensitive topics""",1
acl2023,MISGENDERED: Limits of Large Language Models in Understanding Pronouns,Yes.,5,prompt outofthebox poorly correctly predict neopronoun average accuracy genderneutral pronoun average accuracy inability generalize lack representation nonbinary pronoun training memorize association limited representation nonbinary pronoun,2023,July,"Keyphrase: ""Limited representation of nonbinary pronouns""",0
acl2023,SCOTT: Self-Consistent Chain-of-Thought Distillation,Yes.,4,even concern little guarantee rationale consistent lmãs prediction faithfully justify decision lack rationale consistency,2023,July,"Keyphrase: ""Lack of rationale consistency""",0
acl2023,Evaluating Open-Domain Question Answering in the Era of Large Language Models,Yes.,5,automate struggle detect hallucination thus unable evaluate difficulty detect hallucination,2023,July,"Keyphrase: ""Difficulty in detecting hallucination""",2
acl2023,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,Yes.,5,one fatal disadvantage lack factual correctness unfactual text lead low performance also degrade trust validity application factual correctness deficiency,2023,July,"Keyphrase: ""Factual correctness deficiency""",4
acl2023,Language model acceptability judgements are not always robust to context,Yes.,5,find judgement generally robust place randomly sample linguistic context unstable context match test stimulus syntactic structure sensitivity highly specific syntactic feature context explain modelsã implicit incontext learn ability limited syntactic structure sensitivity,2023,July,"Keyphrase: ""Limited syntactic structure sensitivity""",0
acl2023,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Yes.,5,indicate stateoftheart table qa eg fewshot learning falter adversarial set falter fewshot learning,2023,July,"Keyphrase: ""Falter in few-shot learning""",0
acl2023,Learning Non-linguistic Skills without Sacrificing Linguistic Proficiency,Yes.,5,nonlinguistic skill injection typically come cost cost nonlinguistic skill injection,2023,July,"Keyphrase: ""Cost of nonlinguistic skill injection""",0
acl2023,Parallel Context Windows for Large Language Models,Yes.,5,apply process long text limit context window limited context window,2023,July,"Keyphrase: ""Limited context window""",3
acl2023,Are Machine Rationales (Not) Useful to Humans? Measuring and Improving Human Utility of Free-text Rationales,Yes.,4,observe human utility exist rationale far satisfactory expensive estimate human study exist metric like performance lm rationale similarity gold rationale good indicator human utility limit human utility estimation,2023,July,"Keyphrase: ""Limited human utility estimation""",0
acl2023,On Ã¢â‚¬Å“Scientific DebtÃ¢â‚¬Â in NLP: A Case for More Rigour in Language Model Pre-Training Research,Yes.,5,current plm research practice often conflate different possible source improvement without conduct proper ablation study principle comparison different comparable condition practice leave illequippe understand pretraine approach use circumstance ii impede reproducibility credit assignment iii render difficult understand lack principled comparison reproducibility,2023,July,Keyphrase: Lack of principled comparison and reproducibility,0
acl2023,WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,Yes.,5,apply benchmark several popular find offtheshelf generally exhibit considerable antiqueer bias antiqueer bias,2023,July,"Keyphrase: ""Antiqueer bias""",1
acl2023,Say What You Mean! Large Language Models Speak Too Positively about Negative Commonsense Knowledge,Yes.,5,experiment reveal frequently fail valid sentence ground negative commonsense statistical shortcut negation report bias pretraine cause conflict failure handle negation bias,2023,July,"Keyphrase: ""Failure in handling negation and bias""",1
acl2023,How Do In-Context Examples Affect Compositional Generalization?,Yes.,5,find compositional generalization performance easily affect selection incontext example two strong limitation observe compositional generalization limitation,2023,July,"Keyphrase: ""Compositional generalization limitations""",0
acl2023,Contrastive Decoding: Open-ended Text Generation as Optimization,Yes.,5,maximum probability poor decode objective openende generation produce short repetitive text hand sampling often produce incoherent text drift original topic incoherent text generation,2023,July,"Keyphrase: ""Incoherent text generation""",4
acl2023,CHBias: Bias Evaluation and Mitigation of Chinese Conversational Language Models,Yes.,4,pretraine conversational agent expose safety issue exhibit range stereotypical human bias gender bias experimental show chinese pretraine potentially risky text contain social bias safety societal bias,2023,July,"Keyphrase: ""Safety and societal biases""",1
acl2023,"RARR: Researching and Revising What Language Models Say, Using Language Models",Yes.,5,however sometimes unsupported misleading content user easily determine whether trustworthy lm builtin mechanism attribution external evidence lack transparency trustworthiness,2023,July,"Keyphrase: ""Lack of transparency and trustworthiness""",4
acl2023,Language Models Get a Gender Makeover: Mitigating Gender Bias with Few-Shot Data Interventions,Yes.,4,societal bias present pretraine critical issue show propagate bias countless downstream application render unfair towards specific group people propagate societal bias,2023,July,"Keyphrase: ""Propagating societal bias""",1
acl2023,Probing Physical Reasoning with Counter-Commonsense Context,Yes.,5,show use preposition provide context infer size relationship fail use verb thus make incorrect judgment lead prior physical commonsense lack contextual understanding,2023,July,"Keyphrase: ""Lack of contextual understanding""",4
acl2023,"Summarizing, Simplifying, and Synthesizing Medical Evidence using GPT-3 (with Varying Success)",Yes.,5,find able summarize simplify single biomedical article faithfully struggle provide accurate aggregation find multiple document limited multidocument aggregation,2023,July,"Keyphrase: ""Limited multi-document aggregation""",3
acl2023,Controlling the Extraction of Memorized Data from Large Language Models via Prompt-Tuning,Yes.,5,know memorize significant portion training part memorize content show extractable simply query pose privacy risk privacy risk due memorization,2023,July,"Keyphrase: ""Privacy risk due to memorization""",1
acl2023,A Simple and Effective Framework for Strict Zero-Shot Hierarchical Classification,Yes.,5,benchmark often adequately address challenge pose realworld hierarchical classification observe prone failure case failure realworld hierarchical classification,2023,July,"Keyphrase: ""Failure in real-world hierarchical classification""",3
acl2023,Making the Most Out of the Limited Context Length: Predictive Power Varies with Clinical Note Type and Note Section,Yes.,5,context length predictor limit part clinical note choose limited context understanding,2023,July,"Keyphrase: ""Limited context understanding""",3
acl2023,MathPrompter: Mathematical Reasoning using Large Language Models,Yes.,5,limited performance solve arithmetic reasoning often provide incorrect good aware indicate level confidence response fuel trust deficit impede adoption limit arithmetic reasoning performance,2023,July,"Keyphrase: ""Limited arithmetic reasoning performance""",0
acl2023,KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications,Yes.,5,learn natural text generation ability also social bias different demographic group realworld pose critical risk deploy llmbase application limitation require localize social bias dataset ensure safe effective deployment social bias deployment risk,2023,July,"Keyphrase: ""Social bias and deployment risks""",1
acl2023,"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world",Yes.,4,responsible ai issue fairness bias toxicity linguistic diversity evaluation context mmlm specifically focus issue nonenglish lowresource limited focus nonenglish lowresource,2023,July,"Keyphrase: ""Limited focus on non-English and low-resource languages""",1
eacl2023,WinoDict: Probing language models for in-context word acquisition,Yes.,5,benchmark address word acquisition one important aspect diachronic degradation know afflict freeze time moment train normally unable reflect way change time limit diachronic adaptation,2023,May,"Keyphrase: ""Limited diachronic adaptation""",0
eacl2023,Nationality Bias in Text Generation,Yes.,5,paper examine text generation accentuate preexist societal bias countrybase demonym demonstrate significant bias country low internet user adversarial triggering effectively reduce amplification societal bias,2023,May,"Keyphrase: ""Amplification of societal biases""",1
eacl2023,"Ã¢â‚¬Å“John is 50 years old, can his son be 65?Ã¢â‚¬Â Evaluating NLP ModelsÃ¢â‚¬â„¢ Understanding of Feasibility",Yes.,5,recent work also find notable failure often failure example involve complex reasoning ability show even stateoftheart struggle failure complex reasoning,2023,May,"Keyphrase: ""Failure in complex reasoning""",0
eacl2023,MiniALBERT: Model Distillation via Parameter-Efficient Recursive Transformers,Yes.,5,usability lm constrain computational time complexity along increase size issue refer overparameterisation computational time complexity constraint,2023,May,"Keyphrase: ""Computational time complexity constraints""",3
eacl2023,SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models,Yes.,4,common limitation diagnostic test detect social bias nlp may detect stereotypic association prespecifie designer test also test sodapop debiase show limitation limited ability detect social bias,2023,May,"Keyphrase: ""Limited ability to detect social biases""",1
eacl2023,Robustness Challenges in Model Distillation and Pruning for Natural Language Understanding,Yes.,5,however study analyze impact compression generalizability robustness compress outofdistribution ood compress significantly less robust plm counterpart ood test set although obtain similar performance indistribution development set reduce generalizability robustness compression,2023,May,"Keyphrase: ""Reduced generalizability and robustness after compression""",0
eacl2023,Opportunities and Challenges in Neural Dialog Tutoring,Yes.,5,find although current approach tutoring constrain learn scenario number concept teach possible teacher strategy small poorly less constrained scenario human quality evaluation show groundtruth annotation exhibit low performance term equitable tutoring measure learn opportunity limited concept teaching capability,2023,May,"Keyphrase: ""Limited concept teaching capability""",4
eacl2023,Assessing Out-of-Domain Language Model Performance from Few Examples,Yes.,5,pretraine exhibit impressive generalization capability still behave unpredictably certain domain shift give targetdomain example set similar training performance understand ood test unpredictable domain shift,2023,May,"Keyphrase: ""Unpredictable domain shifts""",4
eacl2023,Towards preserving word order importance through Forced Invalidation,Yes.,5,however recent find reveal pretraine insensitive word order performance nlu remain unchanged even randomly permute word sentence crucial syntactic information destroy insensitive word order,2023,May,"Keyphrase: ""Insensitive to word order""",0
eacl2023,Adding Instructions during Pretraining: Effective way of Controlling Toxicity in Language Models,Yes.,4,however safely deploy real world application challenge toxic content toxic content challenge,2023,May,"Keyphrase: ""Toxic content challenges""",1
eacl2023,When Do Pre-Training Biases Propagate to Downstream Tasks? A Case Study in Text Summarization,Yes.,5,subject sociocultural bias previously identify use intrinsic evaluation however intrinsic bias pretraine lm representation propagate downstream finetune nlp like summarization well understand show bias manifest hallucination summarization lead factually incorrect summary propagation sociocultural bias,2023,May,"Keyphrase: ""Propagation of sociocultural bias""",1
eacl2023,Language Generation Models Can Cause Harm: So What Can We Do About It? An Actionable Survey,Yes.,4,go beyond enumerate risk harm work provide survey practical address potential threat societal harm generation limited consideration societal harm,2023,May,"Keyphrase: ""Limited consideration of societal harm""",1
emnlp2023,FISH: A Financial Interactive System for Signal Highlighting,Yes.,5,chatgptãs decision sensitive order label prompt chatgpt clearly high chance select label early position decision sensitivity label prompt,2023,December,"Keyphrase: ""Decision sensitivity to label prompts""",0
emnlp2023,A Unified Framework for Emotion Identification and Generation in Dialogues,Yes.,5,experiment dataset show recent eg instructgpt struggle subquestion even able main question correctly find particularly poorly subquestion write incorrect option struggle subquestion,2023,December,"Keyphrase: ""Struggles with subquestions""",0
emnlp2023,Addressing Domain Changes in Task-oriented Conversational Agents through Dialogue Adaptation,Yes.,5,reveal limitation llmbase agentsã plan optimization due systematic failure manage longhorizon contexts hallucination state struggle longhorizon context,2023,December,"Keyphrase: ""Struggles with long-horizon context""",3
emnlp2023,CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,5,find poorly especially word tokenize unfavorably subword tokenization suboptimal tokenization efficiency,2023,December,**Keyphrase:** Suboptimal tokenization efficiency,0
emnlp2023,Conceptual structure coheres in human cognition but not in large language models,Yes.,5,structure estimate behavior individually fairly consistent estimate human behavior depend much upon particular use behavior responsesãresponse three yield estimate conceptual structure cohere less one another human structure inconsistent conceptual structure,2023,December,"Keyphrase: ""Inconsistent conceptual structure""",0
emnlp2023,Towards LLM-driven Dialogue State Tracking,Yes.,5,despite impressive performance chatgpt significant limitation include closedsource nature request restriction raise privacy concern lack local deployment capability closedsource privacy concern,2023,December,"Keyphrase: ""Closed-source and privacy concerns""",3
emnlp2023,WeÃ¢â‚¬â„¢re Afraid Language Models ArenÃ¢â‚¬â„¢t Modeling Ambiguity,Yes.,5,find remain extremely challenging include whose disambiguation consider correct time crowdworker evaluation compare disambiguation dataset challenge disambiguation accuracy,2023,December,"Keyphrase: ""Challenges in disambiguation accuracy""",2
emnlp2023,Enhancing Uncertainty-Based Hallucination Detection with Stronger Focus,Yes.,5,however prone hallucinate untruthful nonsensical fail meet user expectation many realworld application untruthful hallucination,2023,December,"Keyphrase: ""Untruthful hallucinations""",2
emnlp2023,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,Yes.,5,however exist code two main limitation first often adopt specific architecture encoderonly decoderonly rely unify encoderdecod network different downstream lack flexibility operate optimal architecture specific secondly often employ limit set pretraine objective might relevant limited architecture flexibility pretraine objective,2023,December,"Keyphrase: ""Limited architecture flexibility and pretraining objectives""",3
emnlp2023,Unveiling the Implicit Toxicity in Large Language Models,Yes.,5,show diverse implicit toxic exceptionally difficult detect via simply zeroshot prompt finding suggest pose significant threat undetectable implicit toxic difficulty detect implicit toxic content,2023,December,"Keyphrase: ""Difficulty in detecting implicit toxic content""",1
emnlp2023,ALCUNA: Large Language Models Meet New Knowledge,Yes.,5,benchmark several reveal performance face new satisfactory particularly reason new internal limited reasoning capability,2023,December,"Keyphrase: ""Limited reasoning capabilities""",0
emnlp2023,Robust Prompt Optimization for Large Language Models Against Distribution Shifts,Yes.,5,reveal prompt optimization technique vulnerable distribution shift subpopulation shift common realworld scenario customer review analysis vulnerability distribution shift,2023,December,"Keyphrase: ""Vulnerability to distribution shift""",1
emnlp2023,Interpreting Embedding Spaces by Conceptualization,Yes.,4,one major drawback type representation incomprehensibility human understand embed space crucial several important need include need debug embed compare alternative need detect bias hide incomprehensibility bias detection,2023,December,"Keyphrase: ""Incomprehensibility and bias detection""",0
emnlp2023,Knowledge-Augmented Language Model Verification,Yes.,5,yet lm often factually incorrect response give query since may inaccurate incomplete outdated may fail retrieve relevant give query may faithfully reflect retrieve text poor factual accuracy,2023,December,"Keyphrase: ""Poor factual accuracy""",4
emnlp2023,Failures Pave the Way: Enhancing Large Language Models through Tuning-free Rule Accumulation,Yes.,5,however due inability capture relationship among sample frozen inevitably keep repeat similar mistake limit relationship capture,2023,December,"Keyphrase: ""Limited relationship capture""",0
emnlp2023,Ã¢â‚¬Å“Fifty Shades of BiasÃ¢â‚¬Â: Normative Ratings of Gender Bias in GPT Generated English Text,Yes.,4,increasingly gain humanlike fluency text generation gain nuance understand bias imperative bias understanding,2023,December,"Keyphrase: ""Biased understanding""",1
emnlp2023,MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations,Yes.,4,cutoff costly finetune repeatedly find also highlight need improvement particularly interpret unfamiliar word compose multiple novel interpretation simultaneously example difficulty interpret unfamiliar word,2023,December,"Keyphrase: ""Difficulty in interpreting unfamiliar words""",0
emnlp2023,Instructed Language Models with Retrievers Are Powerful Entity Linkers,Yes.,5,generative nature still make content suffer hallucination thus unsuitable entitycentric like entity link el require precise entity prediction base el remain persistent hurdle general hallucination generative content,2023,December,"Keyphrase: ""Hallucination in generative content""",2
emnlp2023,"The Past, Present and Better Future of Feedback Learning in Large Language Models for Subjective Human Preferences and Values",Yes.,4,unclear collect incorporate feedback way efficient effective unbiased especially highly subjective human preference value encourage well future feedback learn raise five unresolved conceptual practical challenge challenge feedback incorporation,2023,December,"Keyphrase: ""Challenges in feedback incorporation""",0
emnlp2023,"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",Yes.,5,issue hallucination parallelly emerge byproduct pose significant concern propose two solution strategy mitigate hallucination hallucination issue,2023,December,"Keyphrase: ""Hallucination issues""",2
emnlp2023,The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages,Yes.,5,comprehensive analysis reveal exist opensource instruction tune still struggle understand sm across various close random baseline case also find although chatgpt outperform many still fall behind taskspecific finetune gap sparrow score struggle taskspecific finetuning,2023,December,"Keyphrase: ""Struggles with task-specific fine-tuning""",4
emnlp2023,Understanding the Effect of Model Compression on Social Bias in Large Language Models,Yes.,4,train selfsupervision vast corpora web text fit social bias text without intervention social bias persist modelãs prediction downstream lead representational harm persistent social bias,2023,December,"Keyphrase: ""Persistent social biases""",1
emnlp2023,Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,Yes.,5,hallucination text ungrounde wellknown problem neural datatotext generation ungrounded hallucination,2023,December,"Keyphrase: ""Ungrounded hallucinations""",2
emnlp2023,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Yes.,4,however three pivotal question remain unanswered unanswered pivotal question,2023,December,"Keyphrase: ""Unanswered pivotal questions""",
emnlp2023,Oolong: Investigating What Makes Transfer Learning Hard with Controlled Studies,Yes.,5,find largely recover syntacticstyle shift recover vocabulary misalignment embed matrix reinitialization even continue pretraine million token difficulty recover syntax vocabulary alignment,2023,December,"Keyphrase: ""Difficulty in recovering syntax and vocabulary alignment""",0
emnlp2023,The Curious Case of Hallucinatory (Un)answerability: Finding Truths in the Hidden States of Over-Confident Large Language Models,Yes.,5,primary issue arise context management unanswerable query often hallucinatory behavior due overconfidence overconfidence lead hallucinatory behavior,2023,December,"Keyphrase: ""Overconfidence leading to hallucinatory behavior""",2
emnlp2023,ROBBIE: Robust Bias Evaluation of Large Generative Language Models,Yes.,4,must develop comprehensive enough tool measure improve fairness testing dataset potentially help characterize bias fully explore frequency demographic term common pretraine corpora may relate bias limited fairness testing bias characterization,2023,December,"Keyphrase: ""Limited fairness testing and bias characterization""",1
emnlp2023,Adapting Language Models to Compress Contexts,Yes.,5,transformerbase lm powerful widelyapplicable tool usefulness constrain finite context window expensive computational cost process long text document limited context window,2023,December,"Keyphrase: ""Limited context window""",3
