Title,Talks about LLMs,Rate,Evidence,Published
PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Yes.,5.,"""Our studies also show that on many critical capabilities-including plan generation-LLM performance falls quite short, even with the SOTA models.""",2022-06-21T16:15:27Z
"Fewer Errors, but More Stereotypes? The Effect of Model Size on Gender Bias",Yes.,4.,"""we examine the connection between model size and its gender bias (specifically, occupational gender bias)."" and ""Our findings highlight the potential risks that can arise from increasing model size.""",2022-06-20T15:52:40Z
Domain-Adaptive Text Classification with Structured Knowledge from Unlabeled Data,,,,2022-06-20T06:38:51Z
Local Slot Attention for Vision-and-Language Navigation,No.,1.,The abstract does not mention LLMs or their limitations.,2022-06-17T09:21:26Z
Methods for Estimating and Improving Robustness of Language Models,Yes.,5.,"""large language models (LLMs) suffer notorious flaws related to their preference for simple, surface-level textual relations over full semantic complexity of the problem"" and ""weak ability to generalise outside of the training domain.""",2022-06-16T21:02:53Z
Characteristics of Harmful Text: Towards Rigorous Benchmarking of Language Models,Yes.,5.,"""However, recent literature and, increasingly, real world observations, have demonstrated that these models can generate language that is toxic, biased, untruthful or otherwise harmful.""",2022-06-16T17:28:01Z
Estimating Confidence of Predictions of Individual Classifiers and Their Ensembles for the Genre Classification Task,Yes.,3.,"""Neural models based on pre-trained transformers, such as BERT or XLM-RoBERTa, demonstrate SOTA results in many NLP tasks, including non-topical classification. However, in many cases, their downstream application to very large corpora, such as",2022-06-15T09:59:05Z
SBERT studies Meaning Representations: Decomposing Sentence Embeddings into Explainable Semantic Features,Yes.,3.,"""Models based on large-pretrained language models, such as S(entence)BERT, provide effective and efficient sentence embeddings that show high correlation to human similarity ratings, but lack interpretability.""",2022-06-14T17:37:18Z
Memory-Based Model Editing at Scale,Yes.,3.,"""Existing model editors have shown promise, but also suffer from insufficient expressiveness",2022-06-13T23:40:34Z
Bridging the Gap Between Training and Inference of Bayesian Controllable Language Models,Yes.,3.,"""However, it is difficult to control the pre-trained language models to generate sentences with the desired attribute such as topic and sentiment, etc."" and ""the mismatch between training and inference of BCLMs limits the performance of the models.""",2022-06-11T12:52:32Z
Measuring the Carbon Intensity of AI in Cloud Instances,Yes.,1.,"""We provide measurements of operational software carbon intensity for a set of modern models for natural language processing and computer vision, and a wide range of model sizes, including pretraining of a 6.1 billion parameter language model.""",2022-06-10T17:04:04Z
Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Yes.,5.,"""it is vital that we understand the present and near-future capabilities and limitations of language models"" and ""BIG-bench focuses on tasks that are believed to be beyond the capabilities of current language models"" and ""model performance and calibration both improve with scale, but are poor in absolute terms"" and ""social bias typically increases with scale in settings with ambiguous context, but this can be",2022-06-09T17:05:34Z
Neuro-Symbolic Procedural Planning with Commonsense Prompting,Yes.,4.,"""it remains a challenge for large language models (LLMs) that lack a deep understanding of the cause-effect relations in procedures"" and ""such elicited pre-trained knowledge in LLMs induces spurious correlations between goals and steps, which impair the model generalization to unseen tasks.""",2022-06-06T22:09:52Z
Domain-specific Language Pre-training for Dialogue Comprehension on Clinical Inquiry-Answering Conversations,Yes.,3.,"""Yet, due to the gap between pre-training and downstream clinical domains, it remains challenging to exploit the generic backbones for domain-specific applications.""",2022-06-06T08:45:03Z
Making Large Language Models Better Reasoners with Step-Aware Verifier,Yes.,3.,"""Large language models like GPT-3 and PaLM have made impressive progress in this area, but they still face difficulties in reasoning tasks such as GSM8K, a benchmark for arithmetic problems.""",2022-06-06T03:38:36Z
Exploring Cross-lingual Textual Style Transfer with Large Multilingual Language Models,Yes.,5.,"""However, models are not able to perform cross-lingual detoxification and direct fine-tuning on exact language is inevitable.""",2022-06-05T20:02:30Z
Offline RL for Natural Language Generation with Implicit Language Q Learning,Yes.,3.,"""Large language models distill broad knowledge from text corpora. However, they can be inconsistent when it comes to completing user specified tasks.""",2022-06-05T18:38:42Z
Fault-Aware Neural Code Rankers,Yes.,3.,"""However, these approaches assume that the unit tests are given and assume the ability to safely execute the generated programs (which can do arbitrary dangerous operations such as file manipulations). Both of the above assumptions are impractical in real-world software development.""",2022-06-04T22:01:05Z
Extreme Compression for Pre-trained Transformers Made Simple and Efficient,Yes.,2.,"""However, to preserve the accuracy for such aggressive compression schemes, cutting-edge methods usually introduce complicated compression pipelines, e.g., multi-stage expensive knowledge distillation with extensive hyperparameter tuning.""",2022-06-04T00:19:45Z
Differentially Private Model Compression,Yes.,2.,"""The inference cost of these models -- which consist of hundreds of millions of parameters -- however, can be prohibitively large.""",2022-06-03T22:04:36Z
Order-sensitive Shapley Values for Evaluating Conceptual Soundness of NLP Models,Yes.,5.,"""Previous works show that deep NLP models are not always conceptually sound",2022-06-01T02:30:12Z
A Mixture-of-Expert Approach to RL-based Dialogue Management,Yes.,3.,"""Despite recent advancements in language models (LMs), their application to dialogue management (DM) problems and ability to carry on rich conversations remain a challenge."" and ""As a result, they struggle to produce a successful and engaging dialogue even if they are warm-started with a pre-trained LM.""",2022-05-31T19:00:41Z
Automatic Short Math Answer Grading via In-context Meta-learning,Yes.,4.,"""However, these approaches have several key limitations, including i) they use pre-trained language models that are not well-adapted to educational subject domains and/or student-generated text and ii) they almost always train one model per question, ignoring the linkage across a question and result in a significant model storage problem due to the size of advanced language models.""",2022-05-30T16:26:02Z
CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,Yes.,5.,"""Its application to video generation is still facing many challenges",2022-05-29T19:02:15Z
Tranception: protein fitness prediction with autoregressive transformers and inference-time retrieval,Yes.,3.,"""Large language models trained on massive quantities of non-aligned protein sequences from diverse families address these problems and show potential to eventually bridge the performance gap.""",2022-05-27T04:51:15Z
Quark: Controllable Text Generation with Reinforced Unlearning,Yes.,5.,"""Large-scale language models often learn behaviors that are misaligned with user expectations. Generated text may contain offensive or toxic language, contain significant repetition, or be of a different sentiment than desired by the user.""",2022-05-26T21:11:51Z
Differentially Private Decoding in Large Language Models,Yes.,4.,"""LLMs, while effective, have been shown to memorize instances of training data thereby potentially revealing private information processed during pre-training.""",2022-05-26T20:50:58Z
BiT: Robustly Binarized Multi-distilled Transformer,No.,1.,The abstract discusses binarization of transformer models and improvements in optimization for resource-constrained environments but does not specifically mention language models or their limitations.,2022-05-25T19:01:54Z
Transcormer: Transformer for Sentence Scoring with Sliding Language Modeling,Yes.,3.,"""Previous works on sentence scoring mainly adopted either causal language modeling (CLM) like GPT or masked language modeling (MLM) like BERT, which have some limitations",2022-05-25T18:00:09Z
"Understanding Factual Errors in Summarization: Errors, Summarizers, Datasets, Error Detectors",No.,1.,The abstract does not mention LLMs or any specific limitations related to LLMs.,2022-05-25T15:26:48Z
PLOG: Table-to-Logic Pretraining for Logical Table-to-Text Generation,Yes.,3.,"""even large-scale pre-trained language models present low logical fidelity on logical table-to-text.""",2022-05-25T11:55:54Z
Large Language Models are Few-Shot Clinical Information Extractors,Yes.,1.,"""we show that large language models, such as InstructGPT, perform well at zero- and few-shot information extraction from clinical text despite not being trained specifically for the clinical domain.""",2022-05-25T11:49:58Z
RobustLR: Evaluating Robustness to Logical Perturbation in Deductive Reasoning,Yes.,5.,"""In our experiments with RoBERTa and T5, we find that the models trained in prior works do not perform consistently on the different perturbations in RobustLR, thus showing that the models are not robust to the proposed logical perturbations. Further, we find that the models",2022-05-25T09:23:50Z
Perturbation Augmentation for Fairer NLP,Yes.,4.,"""Unwanted and often harmful social biases are becoming ever more salient in NLP research, affecting both models and datasets."" and ""Lastly, we discuss outstanding questions about how best to evaluate the (un)fairness of large language models.""",2022-05-25T09:00:29Z
Gradient-Based Constrained Sampling from Language Models,Yes.,3.,"""Large pretrained language models generate fluent text but are notoriously hard to controllably sample from.""",2022-05-25T08:09:03Z
RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,Yes.,3.,"""Interestingly, the resulting optimized prompts are often ungrammatical gibberish text; and surprisingly, those gibberish prompts are transferrable between different LMs to retain significant performance, indicating LM prompting may not follow human language patterns.""",2022-05-25T07:50:31Z
Memorization in NLP Fine-tuning Methods,Yes.,4.,"""Large language models are shown to present privacy risks through memorization of training data,"" and ""we empirically study memorization of fine-tuning methods using membership inference and extraction attacks, and show that their susceptibility to attacks is very different.""",2022-05-25T05:49:31Z
Do we need Label Regularization to Fine-tune Pre-trained Language Models?,Yes.,1.,"""Considering the ever-growing size of pre-trained language models (PLMs), KD is often adopted in many NLP tasks involving PLMs.""",2022-05-25T01:26:31Z
Fine-tuned Language Models are Continual Learners,Yes.,5.,"""these models even though impressive still perform poorly on a wide range of tasks outside of their respective training and evaluation sets.""",2022-05-24T22:53:34Z
Toxicity Detection with Generative Prompt-based Inference,Yes.,3.,"""It is a long-known risk that language models (LMs), once trained on corpus containing undesirable content, have the power to manifest biases and toxicity.""",2022-05-24T22:44:43Z
Medical Scientific Table-to-Text Generation with Human-in-the-Loop under the Data Sparsity Constraint,Yes.,3.,"""inability of the state-of-the-art natural language generation models (including T5, PEGASUS and GPT-Neo) to produce accurate and reliable outputs.""",2022-05-24T21:10:57Z
Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,,,,2022-05-24T17:57:39Z
PoeLM: A Meter- and Rhyme-Controllable Language Model for Unsupervised Poetry Generation,Yes.,1.,"""In this work, we propose an unsupervised approach to generate poems following any given meter and rhyme scheme, without requiring any poetic text for training.""",2022-05-24T17:09:55Z
Word-order typology in Multilingual BERT: A case study in subordinate-clause detection,Yes.,3.,"""The capabilities and limitations of BERT and similar models are still unclear when it comes to learning syntactic abstractions, in particular across languages.""",2022-05-24T11:35:39Z
The Authenticity Gap in Human Evaluation,Yes.,2.,"""For the latter, we propose a new human evaluation protocol called $\textit{system-level probabilistic assessment}$ (SPA). When human evaluation of stories is done with SPA, we can recover the ordering of GPT-3 models by size, with statistically significant results. However, when human evaluation is done with the standard protocol, less than half of the expected preferences can be recovered (",2022-05-24T09:51:27Z
Large Language Models are Zero-Shot Reasoners,Yes.,1.,"""Pretrained large language models (LLMs) are widely used in many sub-fields of natural language processing (NLP) and generally known as excellent few-shot learners with task-specific exemplars.""",2022-05-24T09:22:26Z
On Measuring Social Biases in Prompt-Based Multi-Task Learning,Yes.,4.,"""We consider an alternative measure and inquire whether the way in which an input is encoded affects social biases promoted in outputs."" and ""The results on two benchmarks suggest that given two different formulations of essentially the same input, T0 conspicuously acts more biased in question answering form, which is seen during training,",2022-05-23T20:01:20Z
Challenges in Measuring Bias via Open-Ended Language Generation,Yes.,4.,"""Researchers have devised numerous ways to quantify social biases vested in pretrained language models."" and ""We find out that the practice of measuring biases through text completion is prone to yielding contradicting results under different experiment settings.""",2022-05-23T19:57:15Z
On the Paradox of Learning to Reason from Data,No.,1.,The abstract does not mention LLMs or any specific language models. It focuses on BERT and logical reasoning in NLP tasks.,2022-05-23T17:56:48Z
Outliers Dimensions that Disrupt Transformers Are Driven by Frequency,Yes.,5.,"""While Transformer-based language models are generally very robust to pruning, there is the recently discovered outlier phenomenon",2022-05-23T15:19:09Z
Looking for a Handsome Carpenter! Debiasing GPT-3 Job Advertisements,Yes.,4.,"""We first assess the bias and realism of zero-shot generated advertisements and compare them to real-world advertisements. We then evaluate prompt-engineering and fine-tuning as debiasing methods. We find that prompt-engineering with diversity-encouraging prompts gives no significant improvement to bias, nor realism. Conversely, fine-tuning, especially on unbiased real advertisements, can improve realism and reduce",2022-05-23T15:05:27Z
RL with KL penalties is better viewed as Bayesian inference,Yes.,5.,"""We start by observing that the standard RL approach is flawed as an objective for fine-tuning LMs because it leads to distribution collapse",2022-05-23T12:47:13Z
Parameter-Efficient Sparsity for Large Language Models Fine-Tuning,Yes.,3.,"""there are challenges in the computational overhead and memory footprint of sparse training when compressing large-scale language models.""",2022-05-23T02:43:45Z
Improving Short Text Classification With Augmented Data Using GPT-3,Yes.,3.,"""Although researchers claim that it requires only a small number of in-context examples to learn a task, in practice GPT-3 requires these training examples to be either of exceptional quality or a higher quantity than easily created by hand.""",2022-05-23T01:10:38Z
Thor: Wielding Hammers to Integrate Language Models and Automated Theorem Provers,Yes.,5.,"""This presents a challenge for all theorem provers, especially the ones based on language models, due to their relative inability to reason over huge volumes of premises in text form.""",2022-05-22T18:03:03Z
Scaling Laws and Interpretability of Learning from Repeated Data,Yes.,5.,"""Recent large language models have been trained on vast datasets, but also often on repeated data... Some works have reported substantial negative performance effects of this repeated data."" and ""We find a strong double descent phenomenon, in which repeated data can lead test loss to increase midway through training. A predictable range of repetition frequency leads to surprisingly severe degradation in performance.""",2022-05-21T02:14:27Z
Towards Understanding Gender-Seniority Compound Bias in Natural Language Generation,Yes.,4.,"""Our results show that GPT-2 amplifies bias by considering women as junior and men as senior more often than the ground truth in both domains. These results suggest that NLP applications built using GPT-2 may harm women in professional capacities.""",2022-05-19T20:05:02Z
Overcoming Language Disparity in Online Content Classification with Multimodal Learning,Yes.,4.,"""Large language models are now the standard to develop state-of-the-art solutions for text detection and classification tasks. However, the development of advanced computational techniques and resources is disproportionately focused on the English language, sidelining a majority of the languages spoken globally."" and ""we situate our findings with respect",2022-05-19T17:56:02Z
"Great Power, Great Responsibility: Recommendations for Reducing Energy for Training Language Models",Yes.,3.,"""The energy requirements of current natural language processing models continue to grow at a rapid, unsustainable pace.""",2022-05-19T16:03:55Z
Are Prompt-based Models Clueless?,Yes.,4.,"""models with a task-specific head require a lot of training data, making them susceptible to learning and exploiting dataset-specific superficial cues that do not generalize to other datasets"" and ""Analyzing few-shot prompt-based models on MNLI, SNLI, HANS, and COPA has revealed that prompt-based models also exploit superficial cues.""",2022-05-19T02:47:58Z
Transformer-based Program Synthesis for Low-Data Environments,Yes.,5.,"""However, these models perform poorly on long-horizon and low-data tasks, and often don't seem to understand the semantics of the languages they generate.""",2022-05-18T23:33:33Z
The AI Teacher Test: Measuring the Pedagogical Ability of Blender and GPT-3 in Educational Dialogues,Yes.,3.,"""We find that, even though conversational agents (Blender in particular) perform well on conversational uptake, they are quantifiably worse than real teachers on several pedagogical dimensions, especially with regard to helpfulness (Blender",2022-05-16T09:36:30Z
Transkimmer: Transformer Learns to Layer-wise Skim,No.,1.,"The abstract discusses Transformer-based models in general, focusing on computational efficiency improvements, but does not specifically mention LLMs or their limitations.",2022-05-15T16:23:30Z
Discovering Latent Concepts Learned in BERT,Yes.,3.,"""The scope of the analyses is limited to pre-defined concepts that reinforce the traditional linguistic knowledge and do not reflect on how novel concepts are learned by the model."" and ""the discovered latent concepts highlight potential biases learned in the model.""",2022-05-15T09:45:34Z
PathologyBERT -- Pre-trained Vs. A New Transformer Language Model for Pathology Domain,Yes.,3.,"""a few approaches fine-tuned general transformer models on specialized corpora while maintaining the original tokenizer, but in fields requiring specialized terminology, these models often fail to perform adequately.""",2022-05-13T20:42:07Z
Towards Answering Open-ended Ethical Quandary Questions,Yes.,2.,"""We also discuss the remaining challenges and ethical issues involved in this task and suggest the direction toward developing responsible NLP systems by incorporating human values explicitly.""",2022-05-12T09:52:59Z
"Structured, flexible, and robust: benchmarking and improving large language models towards more human-like behavior in out-of-distribution reasoning tasks",Yes.,5.,"""We find that humans are far more robust than LLMs on this benchmark.""",2022-05-11T18:14:33Z
Clinical Prompt Learning with Frozen Language Models,Yes.,3.,"""the performance of even the largest PLMs such as GPT-3 do not perform well on specialized domains (e.g. medical text),"" and ""The reliance on fine-tuning large PLMs is problematic in clinical settings where data is often held in non-GPU environments, and more resource efficient methods of training specialized domain models is crucial.""",2022-05-11T14:25:13Z
Towards the Generation of Musical Explanations with GPT-3,Yes.,3.,"""Our results show that GPT-3 lacks the necessary intelligence to really understand musical decisions. A major barrier to reach a better performance is the lack of data that includes explanations of the creative process carried out by artists for musical pieces.""",2022-05-11T13:04:54Z
Query-Based Keyphrase Extraction from Long Documents,Yes.,3.,"""Transformer-based architectures in natural language processing force input size limits that can be problematic when long documents need to be processed.""",2022-05-11T10:29:30Z
Towards Unified Prompt Tuning for Few-shot Text Classification,Yes.,3.,"""PLMs are unfamiliar with prompt-style expressions during pre-training, which limits the few-shot learning performance on downstream tasks.""",2022-05-11T07:40:45Z
Reducing Activation Recomputation in Large Transformer Models,Yes.,1.,"""We evaluate our approach on language models up to one trillion parameters in scale and show that our method reduces activation memory by 5x, while reducing execution time overhead from activation recomputation by over 90%.""",2022-05-10T22:40:17Z
Problems with Cosine as a Measure of Embedding Similarity for High Frequency Words,No.,1.,The abstract discusses cosine similarity of contextual embeddings and does not mention language models (LLMs or LMs).,2022-05-10T18:00:06Z
Beyond Distributional Hypothesis: Let Language Models Learn Meaning-Text Correspondence,Yes.,5.,"""much recent evidence shows that large-size pre-trained language models (PLMs) do not satisfy this property"" and ""we observe that PLMs violate the LNP frequently.""",2022-05-08T08:37:36Z
Context-Aware Abbreviation Expansion Using Large Language Models,Yes.,1.,"""Our approach is to expand the abbreviations into full-phrase options by leveraging conversation context with the power of pretrained large language models (LLMs).""",2022-05-08T03:02:53Z
Vector Representations of Idioms in Conversational Systems,Yes.,1.,"""We experiment with three instances of the SoTA dialogue model, Dialogue Generative Pre-trained Transformer (DialoGPT), for conversation generation.""",2022-05-07T14:50:05Z
"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5.,"""We find that while the models are to a certain extent sensitive to the interactions we investigate, they are all challenged by the presence of multiple NPs and their behavior is not systematic, which suggests that even models at the scale of GPT-3 do not fully acquire basic entity tracking abilities.""",2022-05-06T20:49:27Z
The Unreliability of Explanations in Few-shot Prompting for Textual Reasoning,Yes.,5.,"""We further show that explanations generated by the LLMs may not entail the models' predictions nor be factually grounded in the input, even on simple tasks with extractive explanations.""",2022-05-06T17:57:58Z
Robust Conversational Agents against Imperceptible Toxicity Triggers,Yes.,3.,"""Existing work to generate such attacks is either based on human-generated attacks which is costly and not scalable or, in case of automatic attacks, the attack vector does not conform to human-like language, which can be detected using a language model loss.""",2022-05-05T01:48:39Z
Provably Confidential Language Modelling,Yes.,4.,"""Large language models are shown to memorize privacy information such as social security numbers in training data.""",2022-05-04T02:33:45Z
Data Governance in the Age of Large-Scale Data-Driven Language Technology,Yes.,1.,"""The recent emergence and adoption of Machine Learning technology, and specifically of Large Language Models, has drawn attention to the need for systematic and transparent management of language data.""",2022-05-04T00:44:35Z
Efficient Fine-Tuning of BERT Models on the Edge,Yes.,3.,"""With the increasing size of deep neural networks, as noted with the likes of BERT and other natural language processing models, comes increased resource requirements, namely memory, computation, energy, and time. Furthermore, training is far more resource intensive than inference. Resource-constrained on-device learning is thus doubly difficult, especially with large BERT-like models.""",2022-05-03T14:51:53Z
SemAttack: Natural Textual Attacks via Different Semantic Spaces,,,,2022-05-03T03:44:03Z
Improving Students' Academic Performance with AI and Semantic Technologies,No.,1.,The abstract does not mention LLMs or any pre-trained transformer-based language models.,2022-05-02T06:11:24Z
Medical Coding with Biomedical Transformer Ensembles and Zero/Few-shot Learning,Yes.,3.,"""automating this task is challenging due to a large number of LLT codes (as of writing over 80,000), limited availability of training data for long tail/emerging classes, and the general high accuracy demands of the medical domain.""",2022-05-01T22:49:28Z
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",Yes.,5.,"""Although an essential element of modern AI, LMs are also inherently limited in a number of ways. We discuss these limitations and how they can be avoided by adopting a systems approach.""",2022-05-01T11:01:28Z
Training Language Models with Language Feedback,Yes.,5.,"""Pretrained language models often do not perform tasks in ways that are in line with our preferences, e.g., generating offensive text or factually incorrect summaries.""",2022-04-29T15:06:58Z
Inferring Implicit Relations in Complex Questions with Language Models,Yes.,5.,"""we investigate why current models struggle with implicit reasoning question answering (QA) tasks,"" and ""we evaluate models from the GPT-3 family and find that, while these models struggle on the implicit reasoning QA task, they often succeed at inferring implicit relations.""",2022-04-28T21:00:54Z
On the Effect of Pretraining Corpora on In-context Learning by a Large-scale Language Model,Yes.,5.,"""the in-depth analysis of when in-context learning occurs is still lacking"" and ""in-context learning performance heavily depends on the corpus domain source, and the size of the pretraining corpus does not necessarily determine the emergence of in-context learning"" and ""pretraining with a corpus related to a downstream task does not always guarantee the competitive in-context learning performance of the downstream task, especially in",2022-04-28T13:59:54Z
An End-to-End Dialogue Summarization System for Sales Calls,Yes.,1.,"""We show how GPT-3 can be leveraged as an offline data labeler to handle training data scarcity and accommodate privacy constraints in an industrial setting.""",2022-04-27T14:02:50Z
You Don't Know My Favorite Color: Preventing Dialogue Representations from Revealing Speakers' Private Personas,Yes.,4.,"""privacy concerns have arisen recently",2022-04-26T09:36:18Z
Pretraining Chinese BERT for Detecting Word Insertion and Deletion Errors,Yes.,3.,"""Chinese BERT models achieve remarkable progress in dealing with grammatical errors of word substitution. However, they fail to handle word insertion and deletion because BERT assumes the existence of a word at each position.""",2022-04-26T03:19:36Z
Data Distributional Properties Drive Emergent In-Context Learning in Transformers,Yes.,3.,"""In our initial experiments, we found that in-context learning traded off against more conventional weight-based learning, and models were unable to achieve both simultaneously.""",2022-04-22T16:10:50Z
KALA: Knowledge-Augmented Language Model Adaptation,Yes.,4.,"""Simple fine-tuning of PLMs, on the other hand, might be suboptimal for domain-specific tasks because they cannot possibly cover knowledge from all domains. While adaptive pre-training of PLMs can help them obtain domain-specific knowledge, it requires a large training cost. Moreover, adaptive pre-training can harm the PLM",2022-04-22T08:11:59Z
Making the Most of Text Semantics to Improve Biomedical Vision--Language Processing,Yes.,3.,"""Biomedical text with its complex semantics poses additional challenges in vision--language modelling compared to the general domain, and previous work has used insufficiently adapted models that lack domain-specific language understanding.""",2022-04-21T00:04:35Z
You Are What You Write: Preserving Privacy in the Era of Large Language Models,Yes.,4.,"""Large scale adoption of large language models has introduced a new era of convenient knowledge transfer for a slew of natural language processing tasks. However, these models also run the risk of undermining user trust by exposing unwanted information about the data subjects, which may be extracted by a malicious party, e",2022-04-20T11:12:53Z
Is BERT Robust to Label Noise? A Study on Learning with Noisy Labels in Text Classification,Yes.,3.,"""existing noise-handling methods do not always improve its performance, and may even deteriorate it, suggesting the need for further investigation.""",2022-04-20T10:24:19Z
What Makes Instruction Learning Hard? An Investigation and a New Challenge in a Synthetic Environment,Yes.,5.,"""The capabilities of large transformer models as instruction learners, however, remain poorly understood."" and ""our model, a fine-tuned T5-based text2text transformer, struggles with large regular languages, suggesting that less precise instructions are challenging for models. Additionally, instruction executions that require tracking longer contexts of prior steps are also more difficult.""",2022-04-19T22:11:47Z
Impact of Tokenization on Language Models: An Analysis for Turkish,Yes.,1.,"""Tokenization is an important text preprocessing step to prepare input tokens for deep language models.""",2022-04-19T12:01:46Z
DecBERT: Enhancing the Language Understanding of BERT with Causal Attention Masks,Yes.,3.,"""a common limitation of the attention mechanism utilized in Transformer Encoder is that it cannot automatically capture the information of word order, so explicit position embeddings are generally required to be fed into the target model.""",2022-04-19T06:12:48Z
Context-Aware Language Modeling for Goal-Oriented Dialogue Systems,Yes.,3.,"""While supervised learning with large language models is capable of producing realistic text, how to steer such responses towards completing a specific task without sacrificing language quality remains an open question.""",2022-04-18T17:23:11Z
L3Cube-HingCorpus and HingBERT: A Code Mixed Hindi-English Dataset and BERT Language Models,Yes.,1.,"""We present L3Cube-HingCorpus, the first large-scale real Hindi-English code mixed data in a Roman script. It consists of 52.93M sentences and 1.04B tokens, scraped from Twitter.""",2022-04-18T16:49:59Z
Pathologies of Pre-trained Language Models in Few-shot Fine-tuning,Yes.,5.,"""without fine-tuning, pre-trained models (e.g. BERT and RoBERTa) show strong prediction bias across labels"" and ""pursuing model performance with fewer examples may incur pathological prediction behavior, which requires further sanity check on model predictions and careful design in model evaluations in few-shot",2022-04-17T15:55:18Z
Just Fine-tune Twice: Selective Differential Privacy for Large Language Models,Yes.,3.,"""Yet applying differential privacy (DP), a canonical notion with provable privacy guarantees for machine learning models, to those models remains challenging due to the trade-off between model utility and privacy loss.""",2022-04-15T22:36:55Z
CAMERO: Consistency Regularized Ensemble of Perturbed Language Models with Weight Sharing,Yes.,1.,"""Our experiments using large language models demonstrate that CAMERO significantly improves the generalization performance of the ensemble model.""",2022-04-13T19:54:51Z
Building Markovian Generative Architectures over Pretrained LM Backbones for Efficient Task-Oriented Dialog Systems,Yes.,5.,"""A drawback of existing PLM-based models is their non-Markov architectures across turns, i.e., the whole history is used as the conditioning input at each turn. First, this brings inefficiencies in memory and computation. Furthermore, using the whole history increases model",2022-04-13T15:21:34Z
