Title,Talks about LLMs,Rate,Evidence,Published
In-Context Impersonation Reveals Large Language Models' Strengths and Biases,Yes.,4.,"""However, impersonation can also uncover LLMs' biases",2023-05-24T09:13:15Z
"Towards Reliable Misinformation Mitigation: Generalization, Uncertainty, and GPT-4",Yes.,2.,"""We also discuss results on other language models, temperature, prompting, versioning, explainability, and web retrieval, each one providing practical insights and directions for future research.""",2023-05-24T09:10:20Z
Universal Self-Adaptive Prompting,Yes.,3.,"""zero-shot performances in LLMs are still typically weaker due to the lack of guidance and the difficulty of applying existing automatic prompt design methods in general tasks when ground-truth labels are unavailable.""",2023-05-24T09:09:48Z
Frugal Prompting for Dialog Models,Yes.,1.,"""The use of large language models (LLMs) in natural language processing (NLP) tasks is rapidly increasing, leading to changes in how researchers approach problems in the field.""",2023-05-24T09:06:49Z
Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning,Yes.,5.,"""methods that use LLMs directly as planners are currently impractical due to several factors, including limited correctness of plans, strong reliance on feedback from interactions with simulators or even the actual environment, and the inefficiency in utilizing human feedback.""",2023-05-24T08:59:15Z
PURR: Efficiently Editing Language Model Hallucinations by Denoising Language Model Corruptions,Yes.,5.,"""The remarkable capabilities of large language models have been accompanied by a persistent drawback",2023-05-24T08:59:00Z
Coverage-based Example Selection for In-Context Learning,Yes.,1.,"""On 15 datasets spanning 6 tasks and with 7 diverse LLMs, we show that (1) BSR is the superior metric for in-context example selection across the board, and (2) for compositional tasks, set selection using Set-BSR outperforms independent ranking by up to 17 points",2023-05-24T08:58:28Z
"M4: Multi-generator, Multi-domain, and Multi-lingual Black-Box Machine-Generated Text Detection",Yes.,4.,"""Through an extensive empirical study of this dataset, we show that it is challenging for detectors to generalize well on instances from unseen domains or LLMs. In such cases, detectors tend to misclassify machine-generated text as human-written.""",2023-05-24T08:55:11Z
PIVOINE: Instruction Tuning for Open-world Information Extraction,Yes.,1.,"""we seek to develop a large language model (LLM) that is able to perform Open-world IE to extract desirable entity profiles characterized by (possibly fine-grained) natural language instructions.""",2023-05-24T08:52:08Z
Evaluating Evaluation Metrics: A Framework for Analyzing NLG Evaluation Metrics using Measurement Theory,Yes.,2.,"""identified issues related to conflated validity structure in human-eval and reliability in LLM-based metrics.""",2023-05-24T08:38:23Z
Leveraging GPT-4 for Automatic Translation Post-Editing,Yes.,3.,"""However, we also show that GPT-4 could produce hallucinated edits, thereby urging caution in its use as an expert translation post-editor.""",2023-05-24T08:30:05Z
ClusterLLM: Large Language Models as a Guide for Text Clustering,,,,2023-05-24T08:24:25Z
CAR: Conceptualization-Augmented Reasoner for Zero-Shot Commonsense Question Answering,Yes.,2.,"""two bottlenecks limit these approaches",2023-05-24T08:21:31Z
How To Train Your (Compressed) Large Language Model,Yes.,5.,"""Our findings highlight the inadequacy of existing compression methods for LLMs and establish a requirement for new methods that preserve a model's generality and zero-shot promptability under compression.""",2023-05-24T08:18:35Z
BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer,Yes.,5.,"""Our findings reveal significant room for improvement in few-shot in-context cross-lingual transfer. In particular, ChatGPT with in-context learning often performs worse than much smaller mT5-base models fine-tuned on English task data and few-shot in-language examples.""",2023-05-24T08:06:33Z
SummIt: Iterative Text Summarization via ChatGPT,Yes.,4.,"""the one-shot summarization setting is sometimes inadequate, as the generated summary may contain hallucinations or overlook essential details related to the reader's interests."" and ""identify a potential issue of over-correction.""",2023-05-24T07:40:06Z
PromptNER: Prompting For Named Entity Recognition,Yes.,3.,"""However, despite promising early results, these LLM-based few-shot methods remain far from the state of the art in Named Entity Recognition (NER), where prevailing methods include learning representations via end-to-end structural understanding and fine-tuning on standard labeled corpora.""",2023-05-24T07:38:24Z
Towards Few-shot Entity Recognition in Document Images: A Graph Neural Network Approach Robust to Image Manipulation,,,,2023-05-24T07:34:33Z
Large Language Models are In-Context Semantic Reasoners rather than Symbolic Reasoners,Yes.,3.,"""LLMs perform significantly better when semantics are consistent with commonsense but struggle to solve symbolic or counter-commonsense reasoning tasks by leveraging in-context new knowledge.""",2023-05-24T07:33:34Z
Mitigating Temporal Misalignment by Discarding Outdated Facts,Yes.,5.,"""While large language models are able to retain vast amounts of world knowledge seen during pretraining, such knowledge is prone to going out of date and is nontrivial to update. Furthermore, these models are often used under temporal misalignment, tasked with answering questions about the present, despite having",2023-05-24T07:30:08Z
Estimating Large Language Model Capabilities without Labeled Test Data,Yes.,3.,"""the success of ICL varies widely from task to task"" and ""no existing approach provides an accurate and reliable ICL accuracy estimation in every setting, highlighting the need for better ways to measure the uncertainty of LLM predictions.""",2023-05-24T06:55:09Z
MQuAKE: Assessing Knowledge Editing in Language Models via Multi-Hop Questions,Yes.,5.,"""The information stored in large language models (LLMs) falls out of date quickly, and retraining from scratch is often not an option. ... While we find that current knowledge-editing approaches can recall edited facts accurately, they fail catastrophically on the constructed multi-hop questions.""",2023-05-24T06:48:41Z
Prompting Large Language Models for Counterfactual Generation: An Empirical Study,Yes.,5.,"""The results show that, though LLMs are promising in most cases, they face challenges in complex tasks like RE since they are bounded by task-specific performance, entity constraints, and inherent selection bias."" and ""we present a comprehensive evaluation framework on various types of NLU tasks, which covers all key factors in determining LLMs' capability of generating counterfactuals.""",2023-05-24T06:44:32Z
Adapting Language Models to Compress Contexts,Yes.,5.,"""Transformer-based language models (LMs) are powerful and widely-applicable tools, but their usefulness is constrained by a finite context window and the expensive computational cost of processing long text documents.""",2023-05-24T06:42:44Z
ChatGPT and Simple Linguistic Inferences: Blind Spots and Blinds,Yes.,5.,"""This paper sheds light on the limitations of ChatGPT's understanding capabilities, focusing on simple inference tasks that are typically easy for humans but appear to be challenging for the model."" and ""Our analyses emphasize the need for further research into the linguistic comprehension and reasoning capabilities of LLMs, in order to improve their reliability, and establish their trustworthiness for real-world applications.""",2023-05-24T06:41:09Z
Anthropomorphization of AI: Opportunities and Risks,Yes.,4.,"""We find that anthropomorphized LLMs customized for different user bases violate multiple provisions in the legislative blueprint. In addition, we point out that anthropomorphization of LLMs affects the influence they can have on their users, thus having the potential to fundamentally change the nature of human-AI interaction,",2023-05-24T06:39:45Z
Using Natural Language Explanations to Rescale Human Judgments,Yes.,1.,"""The rise of large language models (LLMs) has brought a critical need for high-quality human-labeled data, particularly for processes like human feedback and evaluation.""",2023-05-24T06:19:14Z
Allies: Prompting Large Language Model with Beam Search,Yes.,3.,"""However, this kind of methods face two limitations",2023-05-24T06:16:44Z
Clever Hans or Neural Theory of Mind? Stress Testing Social Reasoning in Large Language Models,Yes.,5.,"""We investigate the extent of LLMs' N-ToM through an extensive evaluation on 6 tasks and find that while LLMs exhibit certain N-ToM abilities, this behavior is far from being robust. We further examine the factors impacting performance on N-ToM tasks and discover that LLMs struggle with adversarial examples, indicating reliance on shallow heuristics rather than robust To",2023-05-24T06:14:31Z
A New Era in Software Security: Towards Self-Healing Software via Large Language Models and Formal Verification,Yes.,1.,"""In this paper we present a novel solution that combines the capabilities of Large Language Models (LLMs) with Formal Verification strategies to verify and automatically repair software vulnerabilities.""",2023-05-24T05:54:10Z
Mastering the ABCDs of Complex Questions: Answer-Based Claim Decomposition for Fine-grained Self-Evaluation,Yes.,3.,"""large language models (LLMs) may produce answers that do not satisfy all criteria of the question"" and ""can give insights into the errors and knowledge gaps of the model.""",2023-05-24T05:53:11Z
ChatFace: Chat-Guided Real Face Editing via Diffusion Latent Space Manipulation,Yes.,1.,"""Furthermore, we develop an interactive system named ChatFace, which combines the zero-shot reasoning ability of large language models to perform efficient manipulations in diffusion semantic latent space.""",2023-05-24T05:28:37Z
In-Context Demonstration Selection with Cross Entropy Difference,Yes.,3.,"""However, selecting the best in-context examples is challenging because model performance can vary widely depending on the selected examples.""",2023-05-24T05:04:00Z
I Spy a Metaphor: Large Language Models and Diffusion Models Co-Create Visual Metaphors,Yes.,1.,"""We propose to solve the task through the collaboration between Large Language Models (LLMs) and Diffusion Models.""",2023-05-24T05:01:10Z
Instructions as Backdoors: Backdoor Vulnerabilities of Instruction Tuning for Large Language Models,Yes.,4.,"""These findings highlight the need for more robust defenses against poisoning attacks in instruction-tuning models and underscore the importance of ensuring data quality in instruction crowdsourcing.""",2023-05-24T04:27:21Z
SciFix: Outperforming GPT3 on Scientific Factual Error Correction,Yes.,3.,"""Our method outperforms the very LLM that was used to generate the annotated dataset -- with Few-Shot Prompting on GPT3.5 achieving 58%, 61%, and 64% on the respective datasets, a consistently lower correction accuracy, despite using nearly 800 times",2023-05-24T04:24:16Z
Mixture-of-Experts Meets Instruction Tuning:A Winning Combination for Large Language Models,Yes.,3.,"""In the first scenario, MoE models overall underperform dense models of identical computational capacity.""",2023-05-24T04:22:26Z
DecipherPref: Analyzing Influential Factors in Human Preference Judgments via GPT-4,Yes.,2.,"""Despite their significance, however, there has been limited research probing these pairwise or $k$-wise comparisons."" and ""It is also unclear if there are other hidden factors influencing human judgments.""",2023-05-24T04:13:15Z
A Causal View of Entity Bias in (Large) Language Models,Yes.,4.,"""Entity bias widely affects pretrained (large) language models, causing them to rely on (biased) parametric knowledge to make unfaithful predictions."" and ""The rise of black-box LLMs also makes the situation even worse, because of their inaccessible parameters and uncalibrated logits.""",2023-05-24T03:59:18Z
Have Large Language Models Developed a Personality?: Applicability of Self-Assessment Tests in Measuring Personality in LLMs,Yes.,5.,"""We also identify the existence of inherent biases in these LLMs which is the root cause of the aforementioned phenomenon and makes self-assessment tests unreliable.""",2023-05-24T03:53:43Z
ExpertPrompting: Instructing Large Language Models to be Distinguished Experts,Yes.,1.,"""The answering quality of an aligned large language model (LLM) can be drastically improved if treated with proper crafting of prompts.""",2023-05-24T03:51:31Z
Evaluate What You Can't Evaluate: Unassessable Quality for Generated Response,Yes.,5.,"""Although reference-free evaluators based on LLMs show better human alignment than traditional reference-based evaluators, there are many challenges in using reference-free evaluators based on LLMs."" and ""Empirical results show that the ability of LLMs to identify unreasonable responses is insufficient. There are risks in using reference-free evaluators based on LLMs to evaluate the quality of",2023-05-24T02:52:48Z
Learning UI-to-Code Reverse Generator Using Visual Critic Without Rendering,Yes.,1.,"""They are initialized by pre-trained models such as ViT/DiT and GPT-2/LLaMA but aligning the two modalities requires end-to-end finetuning, which aims to minimize the visual discrepancy between the code-rendered webpage and the original screenshot.""",2023-05-24T02:17:32Z
Don't Trust ChatGPT when Your Question is not in English: A Study of Multilingual Abilities and Types of LLMs,Yes.,3.,"""fundamental questions persist regarding how LLMs acquire their multi-lingual abilities and how performance varies across different languages.""",2023-05-24T02:05:03Z
Getting MoRE out of Mixture of Language Model Reasoning Experts,Yes.,3.,"""state-of-the-art LLMs suffer from poor generalizability on reasoning types beyond those seen in the prompt.""",2023-05-24T02:00:51Z
Enabling Large Language Models to Generate Text with Citations,Yes.,5.,"""Large language models (LLMs) have emerged as a widely-used tool for information seeking, but their generated outputs are prone to hallucination."" and ""current systems have considerable room for improvement -- For example, on the ELI5 dataset, even the best models lack complete citation support 50% of the time.""",2023-05-24T01:53:49Z
Self-Checker: Plug-and-Play Modules for Fact-Checking with Large Language Models,Yes.,2.,"""there is still significant room for improvement compared to SOTA fine-tuned models, which suggests that LLM adoption could be a promising approach for future fact-checking research.""",2023-05-24T01:46:07Z
Think Before You Act: Decision Transformers with Internal Working Memory,Yes.,5.,"""However, their performance relies on massive data and compute. We argue that this inefficiency stems from the forgetting phenomenon, in which a model memorizes its behaviors in parameters throughout training. As a result, training on a new task may deteriorate the model's performance on previous tasks.""",2023-05-24T01:20:22Z
"This Land is {Your, My} Land: Evaluating Geopolitical Biases in Language Models",,,,2023-05-24T01:16:17Z
ALGO: Synthesizing Algorithmic Programs with LLM-Generated Oracle Verifiers,Yes.,4.,"""Large language models (LLMs) excel at implementing code from functionality descriptions but struggle with algorithmic problems that require not only implementation but also identification of the suitable algorithm. Moreover, LLM-generated programs lack guaranteed correctness and require human verification.""",2023-05-24T00:10:15Z
Evaluating OpenAI's Whisper ASR for Punctuation Prediction and Topic Modeling of life histories of the Museum of the Person,No.,1.,"The abstract focuses on evaluating the performance of OpenAI's Whisper ASR for punctuation prediction and topic modeling, which is an automatic speech recognition system, not a language model.",2023-05-23T23:37:29Z
PEARL: Prompting Large Language Models to Plan and Execute Actions Over Long Documents,Yes.,3.,"""However, it remains unclear how to apply such methods to reason over long input documents, in which both the decomposition and the output of each intermediate step are non-trivial to obtain.""",2023-05-23T23:06:04Z
Sources of Hallucination by Large Language Models on Inference Tasks,Yes.,5.,"""We establish two biases originating from pretraining which predict much of their behavior, and show that these are major sources of hallucination in generative LLMs.""",2023-05-23T22:24:44Z
LLMs as Factual Reasoners: Insights from Existing Benchmarks and Beyond,Yes.,5.,"""a closer analysis reveals that most LLMs fail on more complex formulations of the task and exposes issues with existing evaluation benchmarks, affecting evaluation precision"" and ""Most LLMs struggle on SummEdits, with performance close to random chance. The best-performing model, GPT-4,",2023-05-23T21:50:06Z
MathDial: A Dialogue Tutoring Dataset with Rich Pedagogical Properties Grounded in Math Reasoning Problems,Yes.,5.,"""While models like GPT-3 are good problem solvers, they fail at tutoring because they generate factually incorrect feedback or are prone to revealing solutions to students too early.""",2023-05-23T21:44:56Z
Deduction under Perturbed Evidence: Probing Student Simulation Capabilities of Large Language Models,Yes.,5.,"""Our findings show that even the most advanced GPT models struggle to reason on manipulated facts - showcasing poor DUPE skills - with accuracy dropping by 45% compared to the original dataset.""",2023-05-23T20:26:03Z
Self-Polish: Enhance Reasoning in Large Language Models via Problem Refinement,Yes.,3.,"""they have overlooked the potential challenges posed by the poor quality of reasoning problems, which may influence the reasoning performance significantly.""",2023-05-23T19:58:30Z
Language Model Self-improvement by Reinforcement Learning Contemplation,Yes.,2.,"""fine-tuning these models often necessitates substantial supervision, which can be expensive and time-consuming to obtain.""",2023-05-23T19:25:52Z
Dancing Between Success and Failure: Edit-level Simplification Evaluation using SALSA,Yes.,3.,"""GPT-3.5 performs more quality edits than humans, but still exhibits frequent errors.""",2023-05-23T18:30:49Z
Having Beer after Prayer? Measuring Cultural Bias in Large Language Models,Yes.,5.,"""we show that multilingual and Arabic monolingual LMs exhibit bias towards entities associated with Western culture,"" ""we find concerning cases of stereotyping and cultural unfairness,"" and ""revealing the incapability of appropriate adaptation to Arab cultural contexts.""",2023-05-23T18:27:51Z
On Robustness of Finetuned Transformer-based NLP Models,Yes.,5.,"""Further, how robust are these models to perturbations in input text? Does the robustness vary depending on the NLP task for which the models have been finetuned?"" and ""Overall, this study provides valuable insights into perturbation-specific weaknesses of popular Transformer-based models, which should be kept in mind when passing inputs",2023-05-23T18:25:18Z
Graph Meets LLM: A Novel Approach to Collaborative Filtering for Robust Conversational Understanding,Yes.,1.,"""we further investigate the utilization of a Large Language Model (LLM) to enhance the FIG for user-entity link prediction in the Video/Music domains.""",2023-05-23T18:15:29Z
Prompting Language-Informed Distribution for Compositional Zero-Shot Learning,Yes.,3.,"""the key aspects that impact the generalization to unseen compositions, including the diversity and informativeness of class context, and the entanglement between visual primitives, i.e., state and object, are not properly addressed in existing CLIP-based CZSL literature.""",2023-05-23T18:00:22Z
Schema-Driven Information Extraction from Heterogeneous Tables,Yes.,2.,"""To assess various LLM's capabilities on this task"" and ""Moreover, through detailed ablation studies and analyses, we investigate the factors contributing to model success and validate the practicality of distilling compact models to reduce API reliance.""",2023-05-23T17:58:10Z
DirecT2V: Large Language Models are Frame-Level Directors for Zero-Shot Text-to-Video Generation,Yes.,3.,"""Despite their effectiveness, these frameworks face challenges in maintaining consistent narratives and handling shifts in scene composition or object placement from a single abstract user prompt.""",2023-05-23T17:57:09Z
Benchmarking LLM-based Machine Translation on Cultural Awareness,Yes.,2.,"""However, many MT systems still struggle to translate sentences containing cultural-specific entities accurately and understandably."" and ""Nevertheless, the effectiveness of this approach in enhancing machine translation with cultural awareness remains uncertain.""",2023-05-23T17:56:33Z
Dynosaur: A Dynamic Growth Paradigm for Instruction-Tuning Data Curation,Yes.,2.,"""Existing methods either manually annotate or employ LLM (e.g., GPT-series) to generate data for instruction tuning. However, they often overlook associating instructions with existing annotated datasets.""",2023-05-23T17:56:26Z
Improving Factuality and Reasoning in Language Models through Multiagent Debate,Yes.,3.,"""reducing fallacious answers and hallucinations that contemporary models are prone to.""",2023-05-23T17:55:11Z
ChatCoT: Tool-Augmented Chain-of-Thought Reasoning on Chat-based Large Language Models,Yes.,4.,"""Although large language models (LLMs) have achieved excellent performance in a variety of evaluation benchmarks, they still struggle in complex reasoning tasks which require specific knowledge and multi-hop reasoning.""",2023-05-23T17:54:33Z
RET-LLM: Towards a General Read-Write Memory for Large Language Models,Yes.,3.,"""existing LLMs lack a dedicated memory unit, limiting their ability to explicitly store and retrieve knowledge for various tasks.""",2023-05-23T17:53:38Z
CREATOR: Tool Creation for Disentangling Abstract and Concrete Reasoning of Large Language Models,Yes.,3.,"""Large Language Models (LLMs) have made significant progress in utilizing tools, but their ability is limited by API availability and the instability of implicit reasoning, particularly when both planning and execution are involved.""",2023-05-23T17:51:52Z
Navigating Prompt Complexity for Zero-Shot Classification: A Study of Large Language Models in Computational Social Science,Yes.,5.,"""The findings indicate that in a zero-shot setting, current LLMs are unable to match the performance of smaller, fine-tuned baseline transformer models (such as BERT-large).""",2023-05-23T17:48:21Z
QTSumm: Query-Focused Summarization over Tabular Data,Yes.,1.,"""We investigate a set of strong baselines on QTSumm, including text generation, table-to-text generation, and large language models.""",2023-05-23T17:43:51Z
Evaluation of African American Language Bias in Natural Language Generation,Yes.,4.,"""documentation of model performance gaps that suggest bias and identification of trends in lack of understanding of AAL features.""",2023-05-23T17:34:37Z
LLM-powered Data Augmentation for Enhanced Cross-lingual Performance,Yes.,3.,"""LLMs such as ChatGPT and GPT-4 excel at producing natural and coherent text in most languages, however, they struggle to generate meaningful text in certain languages like Tamil. We also observe that ChatGPT falls short in generating plausible alternatives compared to the original dataset.""",2023-05-23T17:33:27Z
INSTRUCTSCORE: Explainable Text Generation Evaluation with Finegrained Feedback,Yes.,2.,"""Although recent learned metrics show high correlation with human judgement, these metrics can not explain their verdict or associate the scores with defects in generated text.""",2023-05-23T17:27:22Z
Two Failures of Self-Consistency in the Multi-Step Reasoning of LLMs,Yes.,5.,"""We demonstrate that multiple variants of the GPT-3/-4 models exhibit poor consistency rates across both types of consistency on a variety of tasks.""",2023-05-23T17:25:59Z
SciMON: Scientific Inspiration Machines Optimized for Novelty,Yes.,3.,"""Comprehensive evaluations reveal that GPT-4 tends to generate ideas with overall low technical depth and novelty, while our methods partially mitigate this issue.""",2023-05-23T17:12:08Z
Hierarchical Prompting Assists Large Language Model on Web Navigation,Yes.,4.,"""Large language models (LLMs) struggle on processing complicated observations in interactive decision making tasks.""",2023-05-23T17:10:39Z
FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,,,,2023-05-23T17:06:00Z
Language Models with Rationality,Yes.,4.,"""This lack of interpretability is a growing impediment to widespread use of LLMs."" and ""to resolve inconsistencies that may exist.""",2023-05-23T17:04:25Z
On Learning to Summarize with Large Language Models as References,Yes.,3.,"""However, we found that the smaller models can not yet reach LLM-level performance under human evaluation despite promising improvements brought by our proposed training methods."" and ""reveals a discrepancy between human and LLM-based evaluation, highlighting the benefits and risks of this LLM-as-reference setting we investigated.""",2023-05-23T16:56:04Z
Multilingual Large Language Models Are Not (Yet) Code-Switchers,Yes.,5.,"""Our results indicate that despite multilingual LLMs exhibiting promising outcomes in certain tasks using zero or few-shot prompting, they still underperform in comparison to fine-tuned models of much smaller scales."" and ""We argue that current 'multilingualism' in LLMs does not inherently imply proficiency with code-switching texts, calling for future research to bridge this discrepancy.""",2023-05-23T16:50:48Z
ManiTweet: A New Benchmark for Identifying Manipulation of News on Social Media,Yes.,3.,"""Our analysis demonstrates that this task is highly challenging, with large language models (LLMs) yielding unsatisfactory performance.""",2023-05-23T16:40:07Z
Question Answering as Programming for Solving Time-Sensitive Questions,Yes.,5.,"""our experiments reveal that the aforementioned problems still pose a significant challenge to existing LLMs. This can be attributed to the LLMs' inability to perform rigorous reasoning based on surface-level text semantics.""",2023-05-23T16:35:16Z
Exploring Chain-of-Thought Style Prompting for Text-to-SQL,Yes.,3.,"""its performance on text-to-SQL parsing still has much room for improvement"" and ""using detailed reasoning steps tends to have more error propagation issues.""",2023-05-23T16:32:36Z
CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,3.,"""We then use this dataset to evaluate an array of Large Language Models (LLMs) on the decompounding task. We find that LLMs perform poorly, especially on words which are tokenized unfavorably by subword tokenization.""",2023-05-23T16:32:27Z
Domain Private Transformers for Multi-Domain Dialog Systems,Yes.,3.,"""While multi-domain language models achieve low overall perplexity, their outputs are not guaranteed to stay within the domain of a given input prompt.""",2023-05-23T16:27:12Z
"Fine-tuned LLMs Know More, Hallucinate Less with Few-Shot Sequence-to-Sequence Semantic Parsing over Wikidata",Yes.,3.,"""While large language models (LLMs) can answer many questions correctly, they can also hallucinate and give wrong answers.""",2023-05-23T16:20:43Z
HumBEL: A Human-in-the-Loop Approach for Evaluating Demographic Factors of Language Models in Human-Machine Conversations,Yes.,4.,"""GPT-3.5 also has trouble with social language use, exhibiting less than 50% of the tested pragmatic skills.""",2023-05-23T16:15:24Z
In-Context Probing: Toward Building Robust Classifiers via Probing Large Language Models,Yes.,5.,"""the performance on a downstream task can vary considerably, depending on the instruction. Importantly, such dependency on the context can surface in unpredictable ways, e.g., a seemingly more informative instruction might lead to a worse performance.""",2023-05-23T15:43:04Z
DetGPT: Detect What You Need via Reasoning,Yes.,1.,"""In recent years, the field of computer vision has seen significant advancements thanks to the development of large language models (LLMs).""",2023-05-23T15:37:28Z
Memory-Efficient Fine-Tuning of Compressed Large Language Models via sub-4-bit Integer Quantization,Yes.,3.,"""Large language models (LLMs) face the challenges in fine-tuning and deployment due to their high memory demands and computational costs.""",2023-05-23T15:20:01Z
GrACE: Generation using Associated Code Edits,Yes.,1.,"""In this work, we address these challenges by endowing pre-trained large language models (LLMs) of code with the knowledge of prior, relevant edits.""",2023-05-23T14:55:44Z
Dr.ICL: Demonstration-Retrieved In-context Learning,Yes.,1.,"""In-context learning (ICL), teaching a large language model (LLM) to perform a task with few-shot demonstrations rather than adjusting the model parameters, has emerged as a strong paradigm for using LLMs.""",2023-05-23T14:55:25Z
Better Zero-Shot Reasoning with Self-Adaptive Prompting,Yes.,3.,"""some limitations have been observed. First, performance in the few-shot setting is sensitive to the choice of examples, whose design requires significant human effort. Moreover, given the diverse downstream tasks of LLMs, it may be difficult or laborious to handcraft per-task labels. Second, while the zero-shot setting does not require handcrafting, its performance is limited due to the",2023-05-23T14:27:16Z
