Title,Talks about LLMs,Rate,Evidence
"A Survey on the Applications of Frontier AI, Foundation Models, and Large Language Models to Intelligent Transportation Systems",Yes.,1.,"""The paper further surveys interactions between LLMs and various aspects of ITS, exploring roles in traffic management, facilitating autonomous vehicles, and contributing to smart city development, while addressing challenges brought by frontier AI and foundation models."""
XUAT-Copilot: Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model,Yes.,1.,"""With recent notable successes, large language models (LLMs) demonstrate significant potential in attaining human-like intelligence and there has been a growing research area that employs LLMs as autonomous agents to obtain human-like decision-making capabilities."""
Astraios: Parameter-Efficient Instruction Tuning Code Large Language Models,Yes.,3.,"""Further investigation into the effects of these methods on both model robustness and code security reveals that larger models tend to demonstrate reduced robustness and less security."""
"Are Language Models More Like Libraries or Like Librarians? Bibliotechnism, the Novel Reference Problem, and the Attitudes of LLMs",Yes.,2.,"""We begin (Part I) with a sustained defense of bibliotechnism against this challenge showing how even entirely novel text may be meaningful only in a derivative sense, and arguing that, in particular, much novel text generated by LLMs is only derivatively meaningful."""
Assessing and Understanding Creativity in Large Language Models,Yes.,3.,"""We found that the creativity of LLMs primarily falls short in originality, while excelling in elaboration."""
LLM on FHIR -- Demystifying Health Records,Yes.,4.,"""However, challenges included variability in LLM responses and the need for precise filtering of health data."" and ""While promising, the implementation and pilot also highlight risks such as inconsistent responses and the importance of replicable output."""
Large Language Model Evaluation via Matrix Entropy,Yes.,1.,"""Large language models (LLMs) have revolutionized the field of natural language processing, extending their strong capabilities into multi-modal domains."""
CharPoet: A Chinese Classical Poetry Generation System Based on Token-free LLM,Yes.,3.,"""Large language models (LLMs) improve content control by allowing unrestricted user instructions, but the token-by-token generation process frequently makes format errors."""
RoTBench: A Multi-Level Benchmark for Evaluating the Robustness of Large Language Models in Tool Learning,Yes.,5.,"""Current research predominantly emphasizes LLMs' capacity to utilize tools in well-structured environments while overlooking their stability when confronted with the inevitable noise of the real world."" and ""the performance of GPT-4 even drops significantly from 80.00 to 58"
AutoRT: Embodied Foundation Models for Large Scale Orchestration of Robotic Agents,Yes.,1.,"""one of the key challenges of training embodied foundation models is the lack of data grounded in the physical world."""
TAT-LLM: A Specialized Language Model for Discrete Reasoning over Tabular and Textual Data,Yes.,2.,"""utilizing an online LLM like GPT-4 holds various challenges in terms of cost, latency, and data security risk."""
Lightning Attention-2: A Free Lunch for Handling Unlimited Sequence Lengths in Large Language Models,Yes.,2.,"""However, due to the issue with cumulative summation (cumsum), current linear attention algorithms cannot demonstrate their theoretical advantage in a causal setting."""
A Preliminary Study on Using Large Language Models in Software Pentesting,Yes.,1.,"""Large language models (LLM) are perceived to offer promising potentials for automating security tasks, such as those found in security operation centers (SOCs)."""
"The What, Why, and How of Context Length Extension Techniques in Large Language Models -- A Detailed Survey",Yes.,5.,"""However, amidst these advancements, it is noteworthy that LLMs often face a limitation in terms of context length extrapolation."""
LLMs for Relational Reasoning: How Far are We?,Yes.,5.,"""Recent efforts have demonstrated that the LLMs are poor at solving sequential decision-making problems that require common-sense planning by evaluating their performance on the reinforcement learning benchmarks."" and ""Our evaluations illustrate that compared with the neural program induction systems which are much smaller in model size, the state-of-the-art LLMs are much poorer in terms of reasoning ability by achieving much lower performance and"
Large Language Model Adaptation for Financial Sentiment Analysis,Yes.,3.,"""Generalist language models tend to fall short in tasks specifically tailored for finance, even when using large language models (LLMs) with great natural language understanding and generative capabilities."""
Pruning for Protection: Increasing Jailbreak Resistance in Aligned LLMs Without Fine-Tuning,Yes.,4.,"""Large Language Models (LLMs) are vulnerable to `Jailbreaking' prompts, a type of attack that can coax these models into generating harmful and illegal content."" and ""prominent chat models, such as LLaMA-2 Chat, Vicuna, and Mistral Instruct exhibit high susceptibility to jailbreaking attacks, with some categories achieving nearly 70-100%"
FFSplit: Split Feed-Forward Network For Optimizing Accuracy-Efficiency Trade-off in Language Model Inference,Yes.,5.,"""The large number of parameters in Pretrained Language Models enhance their performance, but also make them resource-intensive, making it challenging to deploy them on commodity hardware like a single GPU."" and ""Due to the memory and power limitations of these devices, model compression techniques are often used to decrease both the model's size and its inference latency. This usually results in a trade-off between model accuracy"
IDoFew: Intermediate Training Using Dual-Clustering in Language Models for Few Labels Text Classification,Yes.,2.,"""However, some tasks still pose challenges for these models, including text classification with limited labels. This can result in a cold-start problem."""
VoroNav: Voronoi-based Zero-shot Object Navigation with Large Language Model,Yes.,1.,"""By harnessing topological and semantic information, VoroNav designs text-based descriptions of paths and images that are readily interpretable by a large language model (LLM)."""
MAPLE: Multilingual Evaluation of Parameter Efficient Finetuning of Large Language Models,Yes.,2.,"""there is a large gap between the performance of LLMs on English and other languages"" and ""finetuning sometimes improves performance on low-resource languages, while degrading performance on high-resource languages."""
Evaluating Gender Bias in Large Language Models via Chain-of-Thought Prompting,,,
LLMs for Test Input Generation for Semantic Caches,Yes.,4.,"""However, these models are computationally expensive. At scale, the cost of serving thousands of users increases massively affecting also user experience."" and ""Due to the nature of these semantic cache techniques that rely on query embeddings, there is a high chance of errors impacting user confidence in the system."""
Knowledge Distillation for Closed-Source Language Models,Yes.,3.,"""due to the incapability to directly access the weights, hidden states, and output distributions of these closed-source models, the distillation can only be performed by fine-tuning smaller models with data samples generated by closed-source language models, which constrains the effectiveness of knowledge distillation."""
DataFrame QA: A Universal LLM Framework on DataFrame Question Answering Without Data Exposure,Yes.,1.,"""This paper introduces DataFrame question answering (QA), a novel task that utilizes large language models (LLMs) to generate Pandas queries for information retrieval and data analysis on dataframes, emphasizing safe and non-revealing data handling."""
GRATH: Gradual Self-Truthifying for Large Language Models,Yes.,5.,"""existing LLMs still struggle with generating truthful content, as evidenced by their modest performance on benchmarks like TruthfulQA."""
Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment,Yes.,1.,"""we present the first comprehensive cross-supervision alignment experiment in the role-play domain, revealing that the intrinsic capabilities of LLMs confine the knowledge within role-play."""
Rephrasing the Web: A Recipe for Compute and Data-Efficient Language Modeling,Yes.,5.,"""This is infeasible both because of the large compute costs and duration associated with pre-training, and the impending scarcity of high-quality data on the web."""
Universal Vulnerabilities in Large Language Models: Backdoor Attacks for In-context Learning,Yes.,5.,"""Despite being widely applied, in-context learning is vulnerable to malicious attacks."" and ""Our studies demonstrate that an attacker can manipulate the behavior of large language models by poisoning the demonstration context, without the need for fine-tuning the model."""
AugSumm: towards generalizable speech summarization using synthetic labels from large language model,Yes.,1.,"""We tackle this challenge by proposing AugSumm, a method to leverage large language models (LLMs) as a proxy for human annotators to generate augmented summaries for training and evaluation."""
Less Could Be Better: Parameter-efficient Fine-tuning Advances Medical Vision Foundation Models,Yes.,1.,"""Parameter-efficient fine-tuning (PEFT) that was initially developed for exploiting pre-trained large language models has recently emerged as an effective approach to perform transfer learning on computer vision tasks."""
WARM: On the Benefits of Weight Averaged Reward Models,Yes.,3.,"""Aligning large language models (LLMs) with human preferences through reinforcement learning (RLHF) can lead to reward hacking, where LLMs exploit failures in the reward model (RM) to achieve seemingly high rewards without meeting the underlying objectives."" and ""We identify two primary challenges when designing RMs to mitigate reward hacking"
"A Fast, Performant, Secure Distributed Training Framework For Large Language Model",Yes.,3.,"""maliciously stealing model parameters and data from the server or client side has become an urgent problem to be solved."""
Transfer Learning for Text Diffusion Models,Yes.,1.,"""We are particularly interested to see whether pretrained AR models can be transformed into text diffusion models through a lightweight adaptation procedure we call 'AR2Diff'."""
InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,Yes.,3.,"""Our extensive benchmarking of 34 LLMs uncovers the current challenges encountered in data analysis tasks."""
UniMS-RAG: A Unified Multi-source Retrieval-Augmented Generation for Personalized Dialogue Systems,Yes.,2.,"""Large Language Models (LLMs) has shown exceptional capabilities in many natural language understanding and generation tasks. However, the personalization issue still remains a much-coveted property, especially when it comes to the multiple sources involved in the dialogue system."""
Assertion Detection Large Language Model In-context Learning LoRA Fine-tuning,,,
LLaVA-MoLE: Sparse Mixture of LoRA Experts for Mitigating Data Conflicts in Instruction Finetuning MLLMs,Yes.,3.,"""we have discovered that data conflicts are inevitable when mixing instruction data from distinct domains, which can result in performance drops for tasks of a specific domain."""
Enhancing Large Language Model Performance To Answer Questions and Extract Information More Accurately,Yes.,5.,"""Large Language Models (LLMs) generate responses to questions; however, their effectiveness is often hindered by sub-optimal quality of answers and occasional failures to provide accurate responses to questions."""
Cheetah: Natural Language Generation for 517 African Languages,Yes.,1.,"""In this paper, we develop Cheetah, a massively multilingual NLG language model for African languages."""
TrustLLM: Trustworthiness in Large Language Models,Yes.,5.,"""Nonetheless, these LLMs present many challenges, particularly in the realm of trustworthiness. ... discussion of open challenges and future directions. ... our observations reveal that proprietary LLMs generally outperform most open-source counterparts in terms of trustworthiness, raising concerns about the potential risks of widely accessible open-source LLMs. ... some LLMs may be overly calibrated towards exhibiting trustworthiness"
A Comprehensive Study of Knowledge Editing for Large Language Models,Yes.,3.,"""a primary limitation lies in the significant computational demands during training, arising from their extensive parameterization"" and ""necessitating frequent updates to LLMs to correct outdated information or integrate new knowledge."""
Single Word Change is All You Need: Designing Attacks and Defenses for Text Classifiers,No.,1.,"The paper discusses adversarial examples and text classifiers, but does not mention language models (LLMs or LMs)."
Contextualization Distillation from Large Language Model for Knowledge Graph Completion,Yes.,2.,"""the static and noisy nature of existing corpora collected from Wikipedia articles or synsets definitions often limits the potential of PLM-based KGC models."""
Open the Pandora's Box of LLMs: Jailbreaking LLMs through Representation Engineering,Yes.,5.,"""Jailbreaking techniques aim to probe the boundaries of safety in large language models (LLMs) by inducing them to generate toxic responses to malicious queries, a significant concern within the LLM community."""
Chain of LoRA: Efficient Fine-tuning of Language Models via Residual Learning,Yes.,3.,"""Despite its advantages, LoRA falls short of full-parameter fine-tuning in terms of generalization error for certain tasks."""
A Dataset and Benchmark for Copyright Protection from Text-to-Image Diffusion Models,No.,1.,"The abstract focuses on text-to-image generation techniques and copyright protection, without mentioning language models."
Few-Shot Detection of Machine-Generated Text using Style Representations,Yes.,3.,"""model under-specification poses an unavoidable challenge for neural network-based detectors, making them brittle in the face of data shifts, such as the release of newer language models producing still more fluent text than the models used to train the detectors."""
Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,Yes.,2.,"""Educators are increasingly concerned about the usage of Large Language Models (LLMs) such as ChatGPT in programming education, particularly regarding the potential exploitation of imperfections in Artificial Intelligence Generated Content (AIGC) Detectors for academic misconduct."""
Reinforcement Learning for Optimizing RAG for Domain Chatbots,Yes.,1.,"""With the advent of Large Language Models (LLM), conversational assistants have become prevalent for domain use cases."""
TransportationGames: Benchmarking Transportation Knowledge of (Multimodal) Large Language Models,Yes.,3.,"""The experimental results show that although some models perform well in some tasks, there is still much room for improvement overall."""
Parameter-Efficient Detoxification with Contrastive Decoding,Yes.,1.,"""We evaluate DETOXIGEN on the commonly used REALTOXICITYPROMPTS benchmark (Gehman et al., 2020) with various language models as generators."""
Zero Resource Cross-Lingual Part Of Speech Tagging,Yes.,1.,"""Existing systems use two main techniques for POS tagging i.e. pretrained multilingual large language models(LLM) or project the source language labels into the zero resource target language and train a sequence labeling model on it."""
EASYTOOL: Enhancing LLM-based Agents with Concise Tool Instruction,Yes.,3.,"""it usually requires LLMs to understand many tool functions from different tool documentation. But these documentations could be diverse, redundant or incomplete, which immensely affects the capability of LLMs in using tools."""
Knowledge Distillation from Language-Oriented to Emergent Communication for Multi-Agent Remote Control,Yes.,3.,"""it is shown that EC incurs high training cost and struggles when using multimodal data, whereas LSC yields high inference computing cost due to the LLM's large size."""
Language Detection for Transliterated Content,Yes.,1.,"""Emphasizing the pivotal role of comprehensive datasets for training Large Language Models LLMs like BERT."""
CHAMP: A Competition-level Dataset for Fine-Grained Analyses of LLMs' Mathematical Reasoning Capabilities,Yes.,5.,"""Recent large language models (LLMs) have shown indications of mathematical reasoning ability. However it has not been clear how they would fare on more challenging competition-level problems."" and ""Using this corpus, we find that models often arrive at the correct final answer"
Comparing Template-based and Template-free Language Model Probing,Yes.,1.,"""The differences between cloze-task language model (LM) probing with 1) expert-made templates and 2) naturally-occurring text have often been overlooked."""
Multi-Candidate Speculative Decoding,Yes.,3.,"""the acceptance rate of candidate tokens receives limitations from several factors, such as the model, the dataset, and the decoding setup."""
Large Language Model Guided Knowledge Distillation for Time Series Anomaly Detection,Yes.,1.,"""we propose AnomalyLLM, a knowledge distillation-based time series anomaly detection approach where the student network is trained to mimic the features of the large language model (LLM)-based teacher network that is pretrained on large-scale datasets."""
Holistic Autonomous Driving Understanding by Bird's-Eye-View Injected Multi-Modal Large Models,Yes.,3.,"""existing research typically focuses on limited tasks and often omits key multi-view and temporal information which is crucial for robust autonomous driving."""
MLLM-Tool: A Multimodal Large Language Model For Tool Agent Learning,Yes.,3.,"""However, the current LLMs' perceiving tool-use ability is limited to a single text query, which may result in ambiguity in understanding the users' real intentions."""
Tiny Time Mixers (TTMs): Fast Pre-trained Models for Enhanced Zero/Few-Shot Forecasting of Multivariate Time Series,Yes.,3.,"""Large pre-trained models for zero/few-shot learning excel in language and vision domains but encounter challenges in multivariate time series (TS) due to the diverse nature and scarcity of publicly available pre-training data."" and ""However, these models are typically very slow and large (~billion parameters) and do not consider cross-channel correlations."""
A Computational Framework for Behavioral Assessment of LLM Therapists,Yes.,5.,"""Understanding their behavior across a wide range of clients and situations is crucial to accurately assess their capabilities and limitations in the high-risk setting of mental health, where undesirable behaviors can lead to severe consequences."" and ""Our analysis framework suggests that despite the ability of LLMs to generate anecdotal examples that appear similar to human therapists, LLM therapists are currently not fully consistent with high-quality care"
TeenyTinyLlama: open-source tiny language models trained in Brazilian Portuguese,Yes.,3.,"""While most LLMs are trained in high-resource languages like English, multilingual models generally underperform monolingual ones. Additionally, aspects of their multilingual foundation sometimes restrict the byproducts they produce, like computational demands and licensing regimes."""
T3: Transparent Tracking & Triggering for Fine-grained Overlap of Compute & Collectives,Yes.,1.,"""Large Language Models increasingly rely on distributed techniques for their training and inference."""
Towards Language-Driven Video Inpainting via Multimodal Large Language Models,Yes.,1.,"""This approach overcomes the limitations of traditional video inpainting methods that depend on manually labeled binary masks, a process often tedious and labor-intensive."""
"Prompt-RAG: Pioneering Vector Embedding-Free Retrieval-Augmented Generation in Niche Domains, Exemplified by Korean Medicine",Yes.,2.,"""Conventional RAG methods mostly require vector embeddings, yet the suitability of generic LLM-based embedding representations for specialized domains remains uncertain."" and ""Despite challenges like content structuring and response latency, the advancements in LLMs are expected to encourage the use of Prompt-RAG."""
Prompting Large Language Models for Zero-Shot Clinical Prediction with Structured Longitudinal Electronic Health Record Data,,,
Using Zero-shot Prompting in the Automatic Creation and Expansion of Topic Taxonomies for Tagging Retail Banking Transactions,Yes.,1.,"""This work presents an unsupervised method for automatically constructing and expanding topic taxonomies using instruction-based fine-tuned LLMs (Large Language Models)."""
Training microrobots to swim by a large language model,Yes.,1.,"""We discuss the nuanced aspects of prompt design, particularly emphasizing the reduction of monetary expenses of using GPT-4."""
Navigating the OverKill in Large Language Models,Yes.,5.,"""Large language models are meticulously aligned to be both helpful and harmless. However, recent research points to a potential overkill which means models may refuse to answer benign queries."""
E^2-LLM: Efficient and Extreme Length Extension of Large Language Models,Yes.,5.,"""Typically, training LLMs with long context sizes is computationally expensive, requiring extensive training hours and GPU resources."""
LoMA: Lossless Compressed Memory Attention,Yes.,5.,"""Large Language Models (LLMs) face limitations due to the high demand on GPU memory and computational resources when handling long contexts."""
"Uni3D-LLM: Unifying Point Cloud Perception, Generation and Editing with Large Language Models",Yes.,1.,"""In this paper, we introduce Uni3D-LLM, a unified framework that leverages a Large Language Model (LLM) to integrate tasks of 3D perception, generation, and editing within point cloud scenes."""
Can AI Assistants Know What They Don't Know?,Yes.,5.,"""Although LLMs possess intensive world knowledge, they still make factual errors when facing some knowledge intensive tasks, like open-domain question answering. These untruthful responses from the AI assistant may cause significant risks in practical applications."""
CoCoT: Contrastive Chain-of-Thought Prompting for Large Multimodal Models with Multiple Image Inputs,Yes.,5.,"""Large Multimodal Models (LMMs) encounter two issues in such scenarios"
"When Geoscience Meets Generative AI and Large Language Models: Foundations, Trends, and Future Challenges",Yes.,2.,"""Some challenges still remain such as ensuring physical interpretation, nefarious use cases, and trustworthiness."""
CANDLE: Iterative Conceptualization and Instantiation Distillation from Large Language Models for Commonsense Reasoning,Yes.,2.,"""existing works tend to undervalue the step of instantiation and heavily rely on pre-built concept taxonomies and human annotations to collect both types of knowledge, resulting in a lack of instantiated knowledge to complete reasoning, high cost, and limited scalability."""
ConSmax: Hardware-Friendly Alternative Softmax with Learnable Parameters,Yes.,5.,"""achieving real-time LLM inference on silicon is challenging due to the extensively used Softmax in self-attention. Apart from the non-linearity, the low arithmetic intensity greatly reduces the processing parallelism, which becomes the bottleneck especially when dealing with a longer context."""
Clue-Guided Path Exploration: An Efficient Knowledge Base Question-Answering Framework with Low Computational Resource Consumption,Yes.,3.,"""However, updating their knowledge poses challenges, potentially leading to inaccuracies when confronted with unfamiliar queries."" and ""This is particularly unsuitable for LLMs with lower computational costs and relatively poorer performance."""
Analyzing the Effectiveness of Large Language Models on Text-to-SQL Synthesis,Yes.,3.,"""Most if not all of the queries fall into these categories and it is insightful to understanding where the faults still lie with LLM program synthesis and where they can be improved."""
TeleChat Technical Report,Yes.,1.,"""It includes pretrained language models as well as fine-tuned chat models that is aligned with human preferences."""
Physio: An LLM-Based Physiotherapy Advisor,Yes.,5.,"""However, the fact that these models generate plausible, yet incorrect text poses a constraint when considering their use in several domains. Healthcare is a prime example of a domain where text-generative trustworthiness is a hard requirement to safeguard patient well-being."""
Infini-gram: Scaling Unbounded n-gram Language Models to a Trillion Tokens,Yes.,3.,"""we also observe irregularities in the machine--$\infty$-gram agreement level with respect to the suffix length, which indicates deficiencies in neural LLM pretraining and the positional embeddings of Transformers."""
Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs): A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,Yes.,1.,"""However, the reasoning abilities of MLLMs have not been systematically investigated."""
Do Language Models Exhibit the Same Cognitive Biases in Problem Solving as Human Learners?,Yes.,3.,"""We find evidence that LLMs, with and without instruction-tuning, exhibit human-like biases in both the text-comprehension and the solution-planning steps of the solving process, but not during the final step which relies on the problem's arithmetic expressions (solution execution)."""
Segment Anything Model Can Not Segment Anything: Assessing AI Foundation Model's Generalizability in Permafrost Mapping,Yes.,1.,"""Built upon the tremendous success achieved by Large Language Models (LLMs) as the foundation models for language tasks, this paper discusses the challenges of building foundation models for geospatial artificial intelligence (GeoAI) vision tasks."""
"Using LLM such as ChatGPT for Designing and Implementing a RISC Processor: Execution,Challenges and Limitations",Yes.,5.,"""In all the cases, the generated code had significant errors and human intervention was always required to fix the bugs."""
Cross-target Stance Detection by Exploiting Target Analytical Perspectives,Yes.,1.,"""formulating instructions based on large language model (LLM)."""
Bootstrapping LLM-based Task-Oriented Dialogue Agents via Self-Talk,Yes.,3.,"""specializing them towards fulfilling a specific function can be challenging"" and ""requires a number of data samples that a) might not be available or b) costly to generate."""
ToolEyes: Fine-Grained Evaluation for Tool Learning Capabilities of Large Language Models in Real-world Scenarios,Yes.,5.,"""Evaluations involving ten LLMs across three categories reveal a preference for specific scenarios and limited cognitive abilities in tool learning. Intriguingly, expanding the model size even exacerbates the hindrance to tool learning."""
Hierarchical Continual Reinforcement Learning via Large Language Model,Yes.,1.,"""Hierarchical Continual reinforcement learning via large language model (Hi-Core), designed to facilitate the transfer of high-level knowledge."""
ML-On-Rails: Safeguarding Machine Learning Models in Software Systems A Case Study,Yes.,2.,"""The transition from ML model prototyping to production use within software systems presents several challenges. These challenges primarily revolve around ensuring safety, security, and transparency, subsequently influencing the overall robustness and trustworthiness of ML models."""
F-Eval: Asssessing Fundamental Abilities with Refined Evaluation Methods,Yes.,3.,"""Previous subjective evaluation methods mainly rely on scoring by API models. However, in the absence of references, large models have shown limited ability to discern subtle differences."""
"Survey of Natural Language Processing for Education: Taxonomy, Systematic Review, and Future Trends",,,
Incorporating Visual Experts to Resolve the Information Loss in Multimodal Large Language Models,,,
ChIRAAG: ChatGPT Informed Rapid and Automated Assertion Generation,Yes.,1.,"""Only 33% of LLM-generated raw assertions had errors."""
DeepEdit: Knowledge Editing as Decoding with Constraints,Yes.,1.,"""We propose a new perspective of knowledge editing (KE) for large language models (LLMs) that treats it as a constrained decoding problem."""
Reinforcement learning for question answering in programming domain using public community scoring as a human feedback,Yes.,3.,"""demonstrates the limitations of conventional linguistic metrics in evaluating responses in the programming domain."""
From Random to Informed Data Selection: A Diversity-Based Approach to Optimize Human Annotation and Few-Shot Learning,Yes.,2.,"""Recent advancements driven by large language models show potential, but struggle to adapt to specialized domains with severely limited data."""
Can Large Language Models Replace Economic Choice Prediction Labs?,Yes.,1.,"""The AI community has recently contributed to that effort in two ways"
Dynamic Q&A of Clinical Documents with Large Language Models,Yes.,4.,"""Promising results indicate potential, yet challenges such as model hallucinations and limited diverse medical case evaluations remain."""
Robust Prompt Optimization for Defending Language Models Against Jailbreaking Attacks,Yes.,5.,"""language models (LM) remain vulnerable to adversarial attacks or jailbreaking, in which adversaries modify input prompts to induce harmful behavior."""
TQCompressor: improving tensor decomposition methods in neural networks via permutations,Yes.,1.,"""We explore the challenges posed by the computational and storage demands of pre-trained language models in NLP tasks."""
Security Code Review by LLMs: A Deep Dive into Responses,Yes.,5.,"""Our results indicate that the responses produced by LLMs often suffer from verbosity, vagueness, and incompleteness, highlighting the necessity to enhance their conciseness, understandability, and compliance to security defect detection."""
Evolving Code with A Large Language Model,Yes.,1.,"""We cover design and LLM-usage considerations as well as the scientific challenges that arise when using an LLM for genetic programming."""
Interactions with Prompt Problems: A New Way to Teach Programming with Large Language Models,Yes.,1.,"""Large Language Models (LLMs) have upended decades of pedagogy in computing education."""
Employing Label Models on ChatGPT Answers Improves Legal Text Entailment Performance,,,
AiGen-FoodReview: A Multimodal Dataset of Machine-Generated Restaurant Reviews and Images on Social Media,Yes.,2.,"""Recent advances in Large Language Models (LLMs) may pave the way to fabricate indistinguishable fake generated content at a much lower cost."""
ProtAgents: Protein discovery via large language model multi-agent collaborations combining physics and machine learning,Yes.,1.,"""The flexibility in designing the agents, on one hand, and their capacity in autonomous collaboration through the dynamic LLM-based multi-agent environment on the other hand, unleashes great potentials of LLMs in addressing multi-objective materials problems and opens up new avenues for autonomous materials discovery and design."""
EpilepsyLLM: Domain-Specific Large Language Model Fine-tuned with Epilepsy Medical Knowledge,Yes.,4.,"""However, the existing fine-tuned medical LLMs are limited to general medical knowledge with English language. For disease-specific problems, the model's response is inaccurate and sometimes even completely irrelevant, especially when using a language other than English."""
Enhancing Robustness of LLM-Synthetic Text Detectors for Academic Writing: A Comprehensive Analysis,Yes.,4.,"""However, most existing methods prioritize achieving higher accuracy on restricted datasets, neglecting the crucial aspect of generalizability. This limitation hinders their practical application in real-life scenarios where reliability is paramount."""
How well can large language models explain business processes?,Yes.,5.,"""Since the use of LLMs for SAX is also accompanied by a certain degree of doubt related to its capacity to adequately fulfill SAX along with its tendency for hallucination and lack of inherent capacity to reason."""
KVQuant: Towards 10 Million Context Length LLM Inference with KV Cache Quantization,Yes.,1.,"""LLMs are seeing growing use for applications such as document analysis and summarization which require large context windows."""
QACP: An Annotated Question Answering Dataset for Assisting Chinese Python Programming Learners,Yes.,2.,"""highlighting the potential limitations of general LLMs as intelligent teaching assistants in computer programming courses."""
Temporal Insight Enhancement: Mitigating Temporal Hallucination in Multimodal Large Language Models,Yes.,5.,"""a critical challenge faced by these models, especially when processing video inputs, is the occurrence of hallucinations - erroneous perceptions or interpretations, particularly at the event level."""
Large Language Models for Mathematical Reasoning: Progresses and Challenges,Yes.,4.,"""an overview of factors and concerns affecting LLMs in solving math"" and ""an elucidation of the persisting challenges within this domain."""
Navigating Uncertainty: Optimizing API Dependency for Hallucination Reduction in Closed-Book Question Answering,Yes.,5.,"""While Large Language Models (LLM) are able to accumulate and restore knowledge, they are still prone to hallucination. Especially when faced with factual questions, LLM cannot only rely on knowledge stored in parameters to guarantee truthful and correct answers."""
Scientific Large Language Models: A Survey on Biological & Chemical Domains,Yes.,2.,"""Finally, we critically examine the prevailing challenges and point out promising research directions along with the advances of LLMs."""
Bridging Research and Readers: A Multi-Modal Automated Academic Papers Interpretation System,Yes.,3.,"""prevailing models, both commercial and open-source, confront notable challenges"
Seven Failure Points When Engineering a Retrieval Augmented Generation System,Yes.,4.,"""RAG systems aim to"
Introducing Bode: A Fine-Tuned Large Language Model for Portuguese Prompt-Based Task,Yes.,3.,"""LLMs trained on multilingual datasets normally struggle to respond to prompts in Portuguese satisfactorily, presenting, for example, code switching in their responses."""
Fine-tuning and Utilization Methods of Domain-specific LLMs,Yes.,2.,"""The study explores the potential of LLMs in the financial domain, identifies limitations, and proposes directions for improvement."""
