Title,Talks about LLMs,Rate,Evidence,Published
NewsBench: Systematic Evaluation of LLMs for Writing Proficiency and Safety Adherence in Chinese Journalistic Editorial Applications,Yes.,4.,"""highlighted GPT-4 and ERNIE Bot as top performers, yet revealed a relative deficiency in journalistic ethic adherence during creative writing tasks.""",2024-02-29T21:05:14Z
LoRA-as-an-Attack! Piercing LLM Safety Under The Share-and-Play Scenario,Yes.,3.,"""such a handy share-and-play setting opens up new attack surfaces, that the attacker can render LoRA as an attacker, such as backdoor injection, and widely distribute the adversarial LoRA to the community easily. This can result in detrimental outcomes.""",2024-02-29T20:25:16Z
Direct Alignment of Draft Model for Speculative Decoding with Chat-Fine-Tuned LLMs,Yes.,5.,"""Text generation with Large Language Models (LLMs) is known to be memory bound due to the combination of their auto-regressive nature, huge parameter counts, and limited memory bandwidths, often resulting in low token rates.""",2024-02-29T19:55:06Z
PROC2PDDL: Open-Domain Planning Representations from Texts,Yes.,5.,"""We show that Proc2PDDL is highly challenging, with GPT-3.5's success rate close to 0% and GPT-4's around 35%. Our analysis shows both syntactic and semantic errors, indicating LMs' deficiency in both generating domain-specific programs and reasoning about events.""",2024-02-29T19:40:25Z
Resonance RoPE: Improving Context Length Generalization of Large Language Models,Yes.,5.,"""This paper addresses the challenge of train-short-test-long (TSTL) scenarios in Large Language Models (LLMs) equipped with Rotary Position Embedding (RoPE), where models pre-trained on shorter sequences face difficulty with out-of-distribution (OOD) token positions in longer sequences.""",2024-02-29T19:02:03Z
Query-OPT: Optimizing Inference of Large Language Models via Multi-Query Instructions in Meeting Summarization,Yes.,4.,"""However, repeated calls to the LLM inference endpoints would significantly increase the costs of using them in production, making LLMs impractical for many real-world use cases."" and ""almost all of them (except GPT-4), even after fine-tuning, could not properly generate the response in the required output format.""",2024-02-29T19:00:47Z
The Counterfeit Conundrum: Can Code Language Models Grasp the Nuances of Their Incorrect Generations?,Yes.,5.,"""we discover that most models have a very shallow understanding of counterfeits through three clear failure modes. First, models mistakenly classify them as correct. Second, models are worse at reasoning about the execution behaviour of counterfeits and often predict their execution results as if they were correct. Third, when asking models to fix counterfeits, the likelihood of a model successfully repairing a counterfeit",2024-02-29T18:59:25Z
The All-Seeing Project V2: Towards General Relation Comprehension of the Open World,Yes.,3.,"""diminishing the relation hallucination often encountered by Multi-modal Large Language Models (MLLMs).""",2024-02-29T18:59:17Z
Loose LIPS Sink Ships: Asking Questions in Battleship with Language-Informed Program Sampling,Yes.,3.,"""In contrast, LLM-only baselines struggle to ground questions in the board state; notably, GPT-4V provides no improvement over non-visual baselines.""",2024-02-29T18:58:15Z
Towards Tracing Trustworthiness Dynamics: Revisiting Pre-training Period of Large Language Models,Yes.,4.,"""Ensuring the trustworthiness of large language models (LLMs) is crucial. Most studies concentrate on fully pre-trained LLMs to better understand and improve LLMs' trustworthiness."" and ""we pioneer the exploration of LLMs' trustworthiness during this period, focusing on five key dimensions",2024-02-29T18:55:06Z
Curiosity-driven Red-teaming for Large Language Models,Yes.,5.,"""Large language models (LLMs) hold great potential for many natural language applications but risk generating incorrect or toxic content.""",2024-02-29T18:55:03Z
Heavy-Tailed Class Imbalance and Why Adam Outperforms Gradient Descent on Language Models,Yes.,3.,"""We show that the heavy-tailed class imbalance found in language modeling tasks leads to difficulties in the optimization dynamics.""",2024-02-29T18:47:52Z
ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,Yes.,3.,"""current RL methods for LLMs largely focus on optimizing single-turn rewards. By construction, most single-turn RL methods cannot endow LLMs with the ability to intelligently seek information over multiple turns, perform credit assignment, or reason about their past actions -- all of which are critical in agent tasks.""",2024-02-29T18:45:56Z
Compositional API Recommendation for Library-Oriented Code Generation,Yes.,3.,"""However, the performance remains unsatisfactory in generating library-oriented code, especially for the libraries not present in the training data of LLMs.""",2024-02-29T18:27:27Z
Crafting Knowledge: Exploring the Creative Mechanisms of Chat-Based Search Engines,Yes.,3.,"""the intricate nature of LLMs renders their 'cognitive' processes opaque, challenging even their designers' understanding.""",2024-02-29T18:20:37Z
On the Scaling Laws of Geographical Representation in Language Models,Yes.,4.,"""we observe that larger language models cannot mitigate the geographical bias that is inherent to the training data.""",2024-02-29T18:04:11Z
Entity-Aware Multimodal Alignment Framework for News Image Captioning,Yes.,4.,"""Multimodal Large Language models have developed rapidly in recent years and is promising in news image captioning task. However, according to our experiments, common MLLMs are not good at generating the entities in zero-shot setting. Their abilities to deal with the entities information are still limited after simply fine-t",2024-02-29T18:03:00Z
Wisdom of the Silicon Crowd: LLM Ensemble Prediction Capabilities Rival Human Crowd Accuracy,Yes.,2.,"""Past work on the forecasting ability of large language models (LLMs) suggests that frontier LLMs, as individual forecasters, underperform compared to the gold standard of a human crowd forecasting tournament aggregate.""",2024-02-29T17:27:59Z
OpenMedLM: Prompt engineering can out-perform fine-tuning in medical question-answering with open-source large language models,Yes.,2.,"""Most medical LLMs have involved extensive fine-tuning, leveraging specialized medical data and significant, thus costly, amounts of computational power. Many of the top performing LLMs are proprietary and their access is limited to very few research groups.""",2024-02-29T17:19:39Z
SoK: Exploring the Potential of Large Language Models for Improving Digital Forensic Investigation Efficiency,Yes.,3.,"""The review identifies current challenges within existing digital forensic processes and explores both the obstacles and possibilities of incorporating LLMs.""",2024-02-29T17:13:44Z
Watermark Stealing in Large Language Models,Yes.,5.,"""We dispute this claim, identifying watermark stealing (WS) as a fundamental vulnerability of these schemes."" and ""Our findings challenge common beliefs about LLM watermarking, stressing the need for more robust schemes.""",2024-02-29T17:12:39Z
"Deep Learning for Cross-Domain Data Fusion in Urban Computing: Taxonomy, Advances, and Outlook",Yes.,1.,"""Furthermore, we shed light on the interplay between Large Language Models (LLMs) and urban computing, postulating future research directions that could revolutionize the field.""",2024-02-29T16:56:23Z
Generalizable Whole Slide Image Classification with Fine-Grained Visual-Semantic Interaction,Yes.,2.,"""existing methods leverage coarse-grained pathogenetic descriptions for visual representation supervision, which are insufficient to capture the complex visual appearance of pathogenetic images, hindering the generalizability of models on diverse downstream tasks.""",2024-02-29T16:29:53Z
SEED: Customize Large Language Models with Sample-Efficient Adaptation for Code Generation,Yes.,4.,"""Although Large Language Models (LLMs) have made significant progress in code generation, they still struggle with code generation tasks in specific scenarios. These scenarios usually necessitate the adaptation of LLMs to fulfill specific needs, but the limited training samples available in practice lead to poor code generation performance.""",2024-02-29T16:09:02Z
RL-GPT: Integrating Reinforcement Learning and Code-as-policy,Yes.,3.,"""Large Language Models (LLMs) have demonstrated proficiency in utilizing various tools by coding, yet they face limitations in handling intricate logic and precise control.""",2024-02-29T16:07:22Z
PlanGPT: Enhancing Urban Planning with Tailored Language Model and Efficient Retrieval,Yes.,3.,"""general-purpose large language models often struggle to meet the specific needs of planners.""",2024-02-29T15:41:20Z
GSM-Plus: A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers,Yes.,5.,"""One essential and frequently occurring evidence is that when the math questions are slightly changed, LLMs can behave incorrectly."" and ""Our experiments on 25 LLMs and 4 prompting techniques show that while LLMs exhibit different levels of math reasoning abilities, their performances are far from robust.""",2024-02-29T15:26:14Z
Let LLMs Take on the Latest Challenges! A Chinese Dynamic Question Answering Benchmark,Yes.,3.,"""Previous work has noted that due to the extremely high cost of iterative updates of LLMs, they are often unable to answer the latest dynamic questions well.""",2024-02-29T15:22:13Z
RiNALMo: General-Purpose RNA Language Models Can Generalize Well on Structure Prediction Tasks,Yes.,1.,"""Motivated by the successes of protein language models, we introduce RiboNucleic Acid Language Model (RiNALMo) to help unveil the hidden code of RNA.""",2024-02-29T14:50:58Z
Memory-Augmented Generative Adversarial Transformers,Yes.,5.,"""Conversational AI systems that rely on Large Language Models, like Transformers, have difficulty interweaving external data (like facts) with the language they generate. Vanilla Transformer architectures are not designed for answering factual questions with high accuracy.""",2024-02-29T14:47:24Z
PeLLE: Encoder-based language models for Brazilian Portuguese based on open data,Yes.,1.,"""We also evaluate PeLLE models against a set of existing multilingual and PT-BR refined pretrained Transformer-based LLM encoders, contrasting performance of large versus smaller-but-curated pretrained models in several downstream tasks.""",2024-02-29T14:34:03Z
PRSA: Prompt Reverse Stealing Attacks against Large Language Models,Yes.,2.,"""this problem still has not been comprehensively explored yet"" and ""PRSA poses a severe threat in real world scenarios.""",2024-02-29T14:30:28Z
Teaching Large Language Models an Unseen Language on the Fly,Yes.,5.,"""Existing large language models struggle to support numerous low-resource languages, particularly the extremely low-resource ones where there is minimal training data available for effective parameter updating.""",2024-02-29T13:50:47Z
Enhancing Long-Term Recommendation with Bi-level Learnable Large Language Model Planning,Yes.,2.,"""the model's pre-training may not naturally encompass these principles, necessitating the need to inspire or teach the model.""",2024-02-29T13:49:56Z
Unveiling Typographic Deceptions: Insights of the Typographic Vulnerability in Large Vision-Language Model,Yes.,5.,"""However, the Typographic Attack, which disrupts vision-language models (VLMs) such as Contrastive Language-Image Pretraining (CLIP), has also been expected to be a security threat to LVLMs."" and ""Based on the evaluation results, we investigate the causes why typographic attacks may impact VLMs and LVLMs, leading to three highly insightful",2024-02-29T13:31:56Z
Whispers that Shake Foundations: Analyzing and Mitigating False Premise Hallucinations in Large Language Models,Yes.,5.,"""Large Language Models (LLMs) have shown impressive capabilities but still suffer from the issue of hallucinations. A significant type of this issue is the false premise hallucination, which we define as the phenomenon when LLMs generate hallucinated text when confronted",2024-02-29T12:35:45Z
Controllable Preference Optimization: Toward Controllable Multi-Objective Alignment,,,,2024-02-29T12:12:30Z
Pointing out the Shortcomings of Relation Extraction Models with Semantically Motivated Adversarials,Yes.,5.,"""investigations have shown that these models tend to rely on shortcut features, leading to inaccurate predictions and causing the models to be unreliable at generalization to out-of-distribution (OOD) samples"" and ""the performance of these models significantly deteriorates on the modified datasets (avg. of -48.5% in F1), which indicates that these models rely to a great extent",2024-02-29T12:01:46Z
Exploring the Efficacy of Large Language Models in Summarizing Mental Health Counseling Sessions: A Benchmark Study,Yes.,3.,"""However, these models share the same weakness by demonstrating a potential for improvement in the opportunity costs and perceived effectiveness metrics.""",2024-02-29T11:29:47Z
"FhGenie: A Custom, Confidentiality-preserving Chat AI for Corporate and Scientific Use",Yes.,2.,"""However, the use of free public services poses a risk of data leakage, as service providers may exploit user input for additional training and optimization without clear boundaries.""",2024-02-29T09:43:50Z
EyeGPT: Ophthalmic Assistant with Large Language Models,Yes.,3.,"""large language models (LLM) trained with general world knowledge might not possess the capability to tackle medical-related tasks at an expert level.""",2024-02-29T09:35:41Z
Analyzing and Reducing Catastrophic Forgetting in Parameter Efficient Tuning,Yes.,5.,"""However, when LLMs are continuously fine-tuned on complex and diverse domain-specific downstream tasks, the inference performance on historical tasks decreases dramatically, which is known as a catastrophic forgetting problem.""",2024-02-29T05:27:45Z
How do Large Language Models Handle Multilingualism?,Yes.,1.,"""Large language models (LLMs) demonstrate remarkable performance across a spectrum of languages.""",2024-02-29T02:55:26Z
On the Decision-Making Abilities in Role-Playing using Large Language Models,Yes.,1.,"""Our goal is to provide metrics and guidance for enhancing the decision-making abilities of LLMs in role-playing tasks.""",2024-02-29T02:22:23Z
ToolNet: Connecting Large Language Models with Massive Tools via Tool Graph,Yes.,5.,"""large language models (LLMs) remain significantly limited in properly using massive external tools"" and ""Such a paradigm ignores the intrinsic dependency between tools and offloads all reasoning loads to LLMs, making them restricted to a limited number of specifically designed tools.""",2024-02-29T02:04:00Z
FlexLLM: A System for Co-Serving Large Language Model Inference and Parameter-Efficient Finetuning,Yes.,1.,"""Parameter-efficient finetuning (PEFT) is a widely used technique to adapt large language models for different tasks.""",2024-02-29T01:33:08Z
NeuroPrune: A Neuro-inspired Topological Sparse Training Algorithm for Large Language Models,Yes.,3.,"""expensive training as well as inference remains a significant impediment to their widespread applicability.""",2024-02-28T22:21:47Z
